,osmid,y,x,street_count,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
5766,258322280,51.0183372,13.8271883,3,13.8271883,51.0183372,,,POINT (13.8271883 51.0183372),7.0,2.0,None,None
5767,411396441,51.0186924,13.8274571,1,13.8274571,51.0186924,,,POINT (13.8274571 51.0186924),7.0,2.0,None,None
5768,258322857,51.017657,13.8283195,3,13.8283195,51.017657,,,POINT (13.8283195 51.017657),7.0,2.0,None,None
5769,258322745,51.0172784,13.8288756,3,13.8288756,51.0172784,,,POINT (13.8288756 51.0172784),7.0,2.0,None,None
5770,258322855,51.016542,13.8280657,3,13.8280657,51.016542,,,POINT (13.8280657 51.016542),7.0,2.0,None,None
5771,258322744,51.0168177,13.827773,3,13.827773,51.0168177,,,POINT (13.827773 51.0168177),7.0,2.0,None,None
5772,258337798,51.0576979,13.8165458,1,13.8165458,51.0576979,,,POINT (13.8165458 51.0576979),6.0,4.0,None,None
5773,258337813,51.057776,13.816445,4,13.816445,51.057776,,,POINT (13.816445 51.057776),6.0,4.0,None,None
5774,258337804,51.0582651,13.8167367,1,13.8167367,51.0582651,,,POINT (13.8167367 51.0582651),6.0,4.0,None,None
5775,258337852,51.0574272,13.8181954,1,13.8181954,51.0574272,turning_circle,,POINT (13.8181954 51.0574272),7.0,3.0,None,None
5776,1749506939,51.0596523,13.8128084,3,13.8128084,51.0596523,,,POINT (13.8128084 51.0596523),6.0,4.0,None,None
5777,258338673,51.0568199,13.8194985,1,13.8194985,51.0568199,,,POINT (13.8194985 51.0568199),7.0,3.0,None,None
5778,258338834,51.0633314,13.8223231,3,13.8223231,51.0633314,,,POINT (13.8223231 51.0633314),7.0,4.0,None,None
5779,294211389,51.035553,13.8539063,1,13.8539063,51.035553,,,POINT (13.8539063 51.035553),8.0,2.0,None,None
5780,258339074,51.0363672,13.8551002,1,13.8551002,51.0363672,,,POINT (13.8551002 51.0363672),8.0,3.0,None,None
5781,3194624811,51.0401773,13.8493141,3,13.8493141,51.0401773,,,POINT (13.8493141 51.0401773),7.0,3.0,None,None
5782,258340900,51.0674772,13.8676273,3,13.8676273,51.0674772,,,POINT (13.8676273 51.0674772),8.0,4.0,None,None
5783,258340923,51.0665609,13.8685481,3,13.8685481,51.0665609,,,POINT (13.8685481 51.0665609),8.0,4.0,None,None
5784,3730499830,51.0653201,13.8608923,1,13.8608923,51.0653201,,,POINT (13.8608923 51.0653201),8.0,4.0,None,None
5785,258340918,51.0675768,13.8706775,1,13.8706775,51.0675768,,,POINT (13.8706775 51.0675768),8.0,4.0,None,None
5786,260048773,51.0661747,13.8688954,3,13.8688954,51.0661747,,,POINT (13.8688954 51.0661747),8.0,4.0,None,None
5787,258341170,51.0672873,13.8725791,1,13.8725791,51.0672873,,,POINT (13.8725791 51.0672873),8.0,4.0,None,None
5788,258409178,50.99472,13.8816932,4,13.8816932,50.99472,,,POINT (13.8816932 50.99472),8.0,1.0,None,None
5789,258409186,50.994453,13.8803707,3,13.8803707,50.994453,,,POINT (13.8803707 50.994453),8.0,1.0,None,None
5790,267765689,50.9941392,13.882065,3,13.882065,50.9941392,,,POINT (13.882065 50.9941392),8.0,1.0,None,None
5791,276291688,51.003916,13.8773365,3,13.8773365,51.003916,,,POINT (13.8773365 51.003916),8.0,1.0,None,None
5792,2144695572,51.0022572,13.8941289,3,13.8941289,51.0022572,,,POINT (13.8941289 51.0022572),9.0,1.0,None,None
5793,258409193,50.99439,13.8801357,3,13.8801357,50.99439,,,POINT (13.8801357 50.99439),8.0,1.0,None,None
5794,258409200,50.9939386,13.8801101,1,13.8801101,50.9939386,,,POINT (13.8801101 50.9939386),8.0,1.0,None,None
5795,258409233,50.9928375,13.8825846,3,13.8825846,50.9928375,,,POINT (13.8825846 50.9928375),,,,
5796,276289917,50.9918524,13.8856193,1,13.8856193,50.9918524,,,POINT (13.8856193 50.9918524),,,,
5797,258413616,51.0540625,13.6878628,1,13.6878628,51.0540625,,,POINT (13.6878628 51.0540625),3.0,3.0,0,1
5798,2654062093,51.0546291,13.6877404,3,13.6877404,51.0546291,,,POINT (13.6877404 51.0546291),3.0,3.0,0,1
5799,258413617,51.0546669,13.6883526,1,13.6883526,51.0546669,,,POINT (13.6883526 51.0546669),3.0,3.0,0,1
5800,258413620,51.0543534,13.6873049,1,13.6873049,51.0543534,,,POINT (13.6873049 51.0543534),3.0,3.0,0,1
5801,259028798,51.0570751,13.8840662,3,13.8840662,51.0570751,,,POINT (13.8840662 51.0570751),8.0,3.0,None,None
5802,2134259665,51.0575415,13.8848424,1,13.8848424,51.0575415,,,POINT (13.8848424 51.0575415),8.0,4.0,None,None
5803,259029529,51.0610535,13.8544977,3,13.8544977,51.0610535,,,POINT (13.8544977 51.0610535),8.0,4.0,None,None
