Origin,Destination,Demand,TT,TTobs,FFTT,Fitness:,9.927679048,Total Demand:,391076.988,TSTT:,73108.93432
0,77,4.942392896,27.82687561,27.05348796,23.89793255,,,,,,
0,29,0.594550759,13.76444638,12.70986679,12.1269151,,,,,,
0,14,7.68164145,14.84336914,14.90468422,14.69132577,,,,,,
0,110,3.927326463,35.82123903,34.70355653,28.52170235,,,,,,
0,130,3.807908667,41.51688755,38.80537023,31.1965519,,,,,,
0,53,0,21.58360013,20.85457789,19.58008495,,,,,,
0,79,4.993652198,23.45680269,22.75663624,20.6805588,,,,,,
0,108,4.271756116,32.20489442,30.47841281,27.2121961,,,,,,
0,134,3.713210118,40.01799775,37.43039329,31.7025217,,,,,,
0,52,0,16.68055187,16.62464286,15.0214137,,,,,,
0,28,2.852437276,21.83512033,20.98103834,20.94586173,,,,,,
0,73,5.0024593,26.0567408,25.02378095,22.21175655,,,,,,
0,106,0,32.20128883,30.51373866,26.0018782,,,,,,
0,55,5.545378945,23.24810076,22.88003331,21.27654955,,,,,,
0,75,4.689774193,26.19170639,25.53003367,23.6741617,,,,,,
0,104,4.926606971,29.01825401,27.92969255,24.0135805,,,,,,
0,54,6.408542205,21.15544241,20.59895445,19.2405581,,,,,,
0,3,0.636123537,7.079928068,6.87814872,7.041383591,,,,,,
0,57,9.432272553,26.85607495,27.71245142,25.80106654,,,,,,
0,118,0.495625098,38.43448518,34.02215651,28.8430589,,,,,,
0,13,0,12.0302391,11.93810566,11.96295001,,,,,,
0,85,12.00598131,29.088412,28.96871796,21.1890101,,,,,,
0,27,0.256755487,20.99195305,20.13532093,20.29380113,,,,,,
0,1,0.380942722,4.538151491,4.101324334,4.5237355,,,,,,
0,56,7.20669698,24.47111031,24.56757426,23.05713055,,,,,,
0,116,0.746336913,35.98730452,32.68101489,27.8412471,,,,,,
0,87,10.77020469,23.76225479,24.22253765,19.75034735,,,,,,
0,59,11.31708194,22.51669305,22.96269419,17.81834802,,,,,,
0,114,4.433518493,35.64392864,32.18922148,27.5627679,,,,,,
0,6,0.194992958,26.89561559,25.70997704,25.99712563,,,,,,
0,26,0.387622377,14.19939243,14.00540421,14.09055423,,,,,,
0,81,0,28.03697277,27.36947787,25.5930347,,,,,,
0,58,7.280295956,30.46204172,30.40864569,29.40806344,,,,,,
0,112,0.253979398,33.44386021,32.90746735,29.7455195,,,,,,
0,83,0.43474794,28.77226399,28.38874551,27.47377856,,,,,,
0,126,3.768398494,39.80265608,38.47794007,31.8961316,,,,,,
0,61,6.473349038,19.46653184,20.07790025,16.9267297,,,,,,
0,131,3.792250078,41.83429634,40.55684692,31.8753059,,,,,,
0,93,5.226097824,27.26321227,25.53954381,21.6210885,,,,,,
0,25,10.46639696,12.9784754,12.78258913,11.78728123,,,,,,
0,12,0.415644239,9.4900815,9.352123153,9.454122409,,,,,,
0,124,3.728074597,38.04825593,36.61719956,31.7617851,,,,,,
0,60,6.170116195,17.65383124,17.49328877,15.6078849,,,,,,
0,135,4.420294802,42.97883302,43.22496149,37.0102734,,,,,,
0,95,5.219669941,30.10638035,29.47896257,23.14333835,,,,,,
0,122,1.573230705,37.91052195,34.50309351,29.8600427,,,,,,
0,63,11.16384877,23.41962577,23.59126223,18.5573641,,,,,,
0,24,0,11.66904204,11.97430884,11.3833616,,,,,,
0,89,18.55969087,22.60360577,23.23711952,19.575256,,,,,,
