fishnetID,osmid,lon,lat
0,627254459,55.1086292,25.0371228
0,90583072,55.0971632,25.0151991
0,8094383418,55.1015453,25.0277487
0,6658584908,55.1145056,25.0144266
1,8326592111,55.1519695,25.007284
1,1013841352,55.1442775,25.0354127
1,6932325514,55.147328,25.0180615
1,7037446897,55.1476891,25.040272
2,90106658,55.1649307,25.0256289
2,7037446900,55.1578774,25.0395879
2,7543186775,55.1707994,25.0302017
2,2858768223,55.1583668,25.0415563
3,1851928085,55.1931265,25.0415895
3,3644114036,55.2198433,25.0383268
3,5799915289,55.2281956,25.0409707
3,3643958252,55.2024951,25.0382399
4,5801804848,55.2395716,25.0241706
4,3481015887,55.255124,25.0072395
4,5483266259,55.2591155,25.0353469
4,5483266254,55.2620638,25.0337152
5,1014769036,55.2775453,25.0188942
5,1849016037,55.2988031,25.0396535
5,3644827845,55.2708947,25.012722
5,1014769108,55.2844837,25.0249862
6,1619248458,55.4429135,25.0333826
6,1619249550,55.4400574,25.0368313
6,1619248813,55.4459488,25.0296693
6,6522074462,55.4496222,25.0248484
7,1192151748,55.4606285,25.0114965
7,1192151818,55.4755081,25.0075651
7,89469529,55.4611351,25.0105592
9,4898083854,55.1285876,25.0603423
9,4545323625,55.131853,25.0526247
9,634110844,55.1265505,25.0506588
9,626358155,55.1357514,25.0672804
10,1597238211,55.1897217,25.0706504
10,4898464565,55.1668512,25.0481849
10,94605405,55.1661975,25.0754999
10,3646806609,55.1618752,25.0427938
11,90106037,55.2186215,25.0498857
11,3641502993,55.1923079,25.0674245
11,2112372854,55.2217775,25.0528195
11,633283292,55.1976096,25.0643817
12,1197133556,55.2389815,25.0546384
12,4864727355,55.2512707,25.046911
12,1202764428,55.2482878,25.058756
12,6553506544,55.2315203,25.0452373
13,21162710,55.289363,25.0614026
13,1626862837,55.300104,25.0602808
13,1014787900,55.2713975,25.0555688
13,1014769754,55.2714049,25.0575182
14,1014765335,55.3420984,25.0660217
14,1014766518,55.312074,25.0526767
14,1014762396,55.3066672,25.0516055
14,533856201,55.3099667,25.0745386
15,5771368472,55.3730356,25.0751869
15,7574256840,55.3474549,25.0671262
