From,To,Demand,TT,Distance
26793864,104977276,,0.39421632047477745,674
26793864,191592819,,1.0123126543209877,216
25783680,1399484450,,0.0554,8
25783680,1359232822,,0.7008904444444445,75
1263630893,1263630866,,0.2762626436781609,29
25783640,8657725924,,0.13698409090909092,22
8657725924,67745266,,1.0922223435225618,458
1234326336,31462115,,5.942374639769453,1735
25629704,7011602391,,4.1414191729323315,532
25629704,61650854,,3.2051269230769224,689
40834830,246781623,,1.8459709021601016,787
61650854,26365550,,2.1148183006535946,408
6622140390,767059660,,1.555727976190476,392
25629696,266586086,,0.10110714285714285,14
25629696,257890648,,0.46166593806921674,183
266586086,61091579,,1.3404908805031448,159
25629582,26272868,,5.69183498630673,1704
591407340,32618986,,0.07275555555555555,6
25629569,6622140388,,0.058225000000000006,6
6622140388,605288600,,0.24787549019607846,34
25629578,605288596,,0.19481142857142858,35
25629578,25629582,,1.0760199004975126,268
25629564,33471556,,0.09041538461538462,13
25629564,25629582,,1.8562174050632911,632
25584085,25584096,,4.193081472868218,645
6719655534,2139678386,,0.069825,18
25629548,25629578,,1.7666351190476188,504
25629548,219725819,,0.18079416666666664,60
1467951848,25583986,,0.9994760479041915,334
25584075,2159444673,,2.200511403508772,456
2159444673,25584085,,0.3935864468864469,91
2159444673,32547188,,2.6511663143058493,946
166133612,258050048,,6.314667961667962,1287
311733853,8349434254,,0.112459375,32
311733853,8349434257,,0.13050625,24
26506280,206873951,,0.08114151857835218,619
26504597,166133612,,9.488436805555555,1944
26504597,311733853,,7.1779190056965305,1931
26504597,824321806,,1.8954596421471173,503
166133612,311733853,,6.574145896400941,991
26365599,6630741032,,0.05255238095238095,7
26365599,1451082616,,0.10579871794871794,39
1451082616,1548250308,,0.8972079069767442,215
26498406,1020345251,,0.08068958333333333,40
8574313982,321734966,,1.6621572112960163,661
26365550,3654959450,,1.6615345528455285,492
26365550,61091579,,2.4363138557637702,587
61091579,321734966,,5.437262051282051,1625
26082709,191593252,,0.09884924568965515,928
26082709,7838739155,,3.289888228874337,1069
191593252,252166913,,2.445678291599354,2476
8574313982,8574313981,,0.15472944444444445,480
32618987,31877896,,3.402508428720083,961
32618987,32618986,,2.360735559006211,644
33957110,33957092,,0.5876993589743591,130
4223876367,26498406,,0.05145714285714286,14
26082576,32618987,,1.7422211361737676,399
5288960678,5472868281,,2.1036845297029703,404
5288960678,60171014,,5.643135478744537,839
32618987,5472868281,,3.2348652838427947,916
1359232822,166142988,,4.549128177586824,931
1359232822,1846713781,,1.6998511673151753,514
1272925883,31460429,,0.08004644545282662,1763
26082576,8594864818,,3.07438971106413,473
31461005,3661087849,,3.429312854442344,529
394324816,394324815,,0.08718120218579234,610
244116589,244116593,,0.10868229166666667,16
56110088,31461465,,4.027553424092409,808
8661003177,159481610,,4.015321197007481,401
31461005,394324816,,3.470379752288638,619
31461005,244116589,,4.8826957321187585,988
31461005,56110088,,1.2458843137254902,204
43095796,43087964,,2.0219041666666664,484
31241710,334410588,,3.5496647832817336,646
31241743,8606134608,,3.7756565855181026,1068
31460429,8661003177,,0.1918179012345679,27
29663307,111047883,,1.6184988888888887,495
29663307,223618645,,0.00875,0
111047883,59739550,,0.928743231441048,229
43095796,104973410,,0.07064999999999999,12
29487849,29487859,,0.41702470588235296,85
29487849,243813693,,1.172434210526316,285
29487859,8253955474,,4.6067857142857145,966
8253955474,72998152,,0.0659090909090909,11
5291635123,27049508,,0.06431666666666667,9
313868248,6687031939,,0.1811662447257384,948
306542749,5464354432,,0.157809375,48
29487748,168178739,,0.0571218270571827,478
26832002,26832095,,5.779588131160733,1657
26832095,764098855,,0.0143148,0
27049507,5291635123,,2.106042757417103,382
27049507,178165092,,1.7820183023872678,377
206873951,31877896,,2.4814605432780845,724
26659923,26659924,,0.04395517582961862,673
191592819,191593121,,0.0631,6
26832002,767059660,,0.30874358974358973,26
257532974,257532994,,0.08276640508221225,1338
8383473504,8383473503,,0.13194444444444445,9
31877896,7451318495,,0.6627285223367697,291
31909001,247717937,,5.97883932853717,1251
31462141,257532974,,2.3142920150501674,1196
166032738,61719522,,0.058891025641025635,13
61719527,244085209,,1.7618324900793652,336
278542629,6050245082,,0.28068279569892474,124
6616106965,166148174,,1.8588102055800295,454
6615962112,166142970,,3.9841168754894287,1277
31462141,166032738,,3.2136256837098696,841
31462141,278542629,,0.4070526315789474,95
31462115,6616106961,,0.1999823529411765,34
31462115,6616106965,,0.4347894736842105,38
31462115,6615962112,,2.515799369189907,502
6616106961,61719398,,6.685398977987421,2544
31461814,67745266,,0.7849676616915423,134
67750942,6643623476,,2.686567017954723,427
67745266,5171189455,,0.25925732087227416,107
1234326339,88764652,,0.050060714285714285,14
31461802,67771248,,1.6209017632241816,397
31461802,191592669,,0.05366500000000001,10
191592669,67774559,,1.4094941485068604,413
31461814,67750942,,0.03852916666666666,8
61719412,61719406,,0.023989853925745586,16430
31461477,1399440591,,2.1566035714285716,364
31461477,5552541289,,1.9990621468926553,531
5552541289,79631304,,10.247257840742549,2047
56110088,56112423,,2.932856099518459,623
56110088,4214976420,,2.500003511235955,712
31461465,61719412,,5.819183214920072,2252
31461465,31461477,,2.9331217486338796,915
6618656318,4347479379,,4.111441323877068,705
123437780,6618679495,,0.08632592592592593,9
6773499491,7700852512,,0.957974358974359,195
130168824,5352201573,,5.459106450366937,1726
88913693,454740145,,0.9976865497076024,399
32476363,88921544,,0.12495384615384615,13
32476363,6618656318,,4.614002399848828,882
6618656318,6618679495,,4.319047846889952,627
32476390,92315778,,1.6779235176880918,669
32476390,123437780,,1.928611111111111,348
32476317,4798255428,,0.5873975409836065,61
