From,To,Volume,EstimatedTT
113794494,15618026,325.28,0.02
113794494,26291274,1502.18,0.25
3411658,15618078,1004.56,0.15
3411658,25622663,1762.77,0.22
15618078,3030258494,1004.56,0.08
15618078,25622151,1402.24,0.04
25622663,25622670,1762.77,0.92
15511907,2071674,620.05,0.96
3855350,11769597,257.12,0.02
3855350,1501721437,1259.64,0.44
9100179,3137684026,700.11,0.69
3137684026,3137684031,790.02,0.29
3137684031,3137684026,500.16,0.19
9100190,9982673425,61.74,0.05
9982673432,2970916246,70.5,0.04
9982673425,9100190,70.5,0.05
10919218,8224298741,1102.87,0.01
8224298741,346633166,0.0,0.02
8224298741,346633485,1102.87,0.2
10919223,11008027,1382.28,0.55
25740441,25740442,640.6,0.11
11008027,2075215,2368.41,0.02
11008027,11008006,623.74,0.24
86684589,3121844724,93.33,0.05
10919237,10919235,0.0,0.06
10919237,10919238,623.74,0.06
10919238,10049596107,565.23,0.07
10049596107,10919237,623.74,0.01
3073762517,3877390797,92.4,0.03
10919767,536575,2199.44,0.47
126667225,18178749,368.24,0.11
126667225,31271217,443.66,0.04
3151457278,18178797,1488.2,0.26
2262218571,18178769,1138.41,0.56
3147805129,2262248282,1184.75,0.05
10919786,536663,1969.5,0.3
10919786,3146686054,441.11,0.01
3146686054,21552195,682.35,0.01
3146686054,21527733,1405.92,0.44
10919799,15613225,2779.09,0.04
10919799,1952603929,36.63,0.45
15613225,1698611463,2780.05,1.29
15613225,15613290,129.7,0.02
1952603929,15613225,130.66,0.44
10940911,773684928,1305.33,1.49
773684928,4186859645,1305.33,0.28
773684928,1758438692,0.0,0.48
10941033,26910102,0.0,0.43
10941033,10940911,0.0,0.11
26910102,12262641,0.0,0.01
26910102,26910582,0.0,0.26
3324432562,25621845,831.7,0.79
11004892,3780365870,848.67,1.64
3780365870,3879014011,988.96,1.6
7260653744,2272203032,2145.56,0.19
11005259,1762496623,1197.05,0.1
1762496623,433065573,1764.62,0.97
11005798,25600624,146.97,0.72
312068888,312068717,901.21,0.06
11007218,95145062,1596.71,0.42
95145062,159729140,843.96,0.02
95145062,1670657170,879.4,0.9
11007703,344624368,766.76,0.73
344624368,344625887,696.3,0.05
344624368,99089590,126.65,0.03
95145069,159725096,1111.89,0.79
11008006,2075215,565.23,0.24
11068788,828163530,666.39,0.01
11068788,25621138,967.6,0.02
828163530,4862265262,2471.63,1.17
25621138,773660261,32.99,0.02
25621138,25621140,2871.67,0.34
203786445,415524744,128.52,0.03
2970916246,9982673432,61.74,0.04
3183738525,11070793,0.0,0.04
2241122861,2241123813,0.0,0.03
81580487,81580494,716.98,0.1
3137621725,28238725,1138.88,0.25
2078553223,85748936,740.49,0.07
9946740207,9946740209,443.03,0.06
11768081,376974958,804.45,0.19
376974958,30788689,0.0,0.04
376974958,288155029,804.45,0.23
11769730,11769758,160.17,0.32
11769730,29348253,892.79,0.04
29348253,252007120,892.79,0.28
29348253,534628,380.61,0.02
3121547154,534324289,1193.45,0.08
12262630,26910582,388.4,0.01
12262630,12262641,1014.39,0.26
26910582,26910090,0.0,0.01
26910582,656211460,388.4,0.43
12262641,12262886,282.14,0.01
12262641,248219548,732.25,0.63
12262886,26910102,0.0,0.01
12262886,839865307,282.14,0.03
248219548,211626783,272.68,0.36
248219548,248219582,459.56,0.15
839865307,10940911,1437.2,0.48
12961684,784730663,1852.24,1.38
64804962,33477280,103.88,0.96
784730663,12961684,1847.38,0.23
15017262,1363071246,0.0,0.02
15017262,15017430,0.0,1.08
1065689955,1363071255,0.0,0.04
1698611463,25272054,4918.08,1.47
15613290,10919799,36.29,0.01
15613290,15613314,2619.48,0.26
15613314,15613331,128.32,0.06
15613314,25096432,2491.16,0.06
15613331,15613353,1355.06,0.39
25096432,15613331,1226.74,0.06
25096432,24945369,2773.45,0.04
15613353,2338426490,1355.06,0.28
15613353,26730552,0.0,0.04
2338426490,15613573,2047.72,0.24
26730552,3025700050,0.0,0.06
15613573,1629974641,2047.72,1.41
1629974641,15866451,758.52,0.63
1629974641,25269438,1034.1,0.58
15614141,12262630,1144.21,0.7
15614141,10941037,0.0,0.1
