from,to,length,volume,EstimatedTT,CO2,lengthm
581020614,29217073,47.039,1394.8981447152612,4.800506511148638,16290.51802132554,0.029228670469
29793425,29793610,269.456,497.5512323032892,19.759048589367865,28360.272102045736,0.16743214417600003
29217073,246283590,16.661,2341.519961714301,5.175362034435804,21771.8066410752,0.010352662231
29793427,29793610,128.154,1017.0216545506264,9.814569968532414,27996.225265545207,0.079631179134
29793610,208721773,435.67,1087.9068837148434,44.60650791160294,117912.41382614154,0.27071270357
215084065,29237094,315.14,5147.451852261004,17.942666818973986,325587.78440543945,0.19581885694
2133247519,98425546,198.177,2146.519850066371,10.71998742554589,85061.91904707432,0.123141440667
29237094,2133247519,270.023,2845.695248604833,14.325885385472136,153509.28325181,0.16778446153300003
29237094,5239457462,591.618,2301.756603656177,32.5102838081787,272557.04414615966,0.36761426827800003
581020609,245569271,1539.625,1464.5724929510502,141.20588817791892,526167.3046017832,0.956678325875
581020614,581020609,61.173,771.049411939487,7.150688716289796,12809.29835110799,0.038011128183
246283590,227778611,1236.896,1186.8129476875213,92.90443156355434,313095.26418202004,0.768571304416
4625168023,246283590,1546.836,1681.2221586532175,164.3246674625903,662259.2443929717,0.9611590321560001
32124695,29793427,193.638,1022.6123467929064,18.535410688157246,47318.95674585071,0.12032103769800001
208721773,427615136,16.533,1087.9068837148434,1.692747711117426,4474.59301257281,0.010273126743
29794284,29794285,147.161,1586.9700434290687,14.595124412422614,56980.88265022913,0.091441577731
29796354,29794284,13.542,790.0945971361339,1.089497718037356,2343.824270571467,0.008414606082
29793425,29794284,321.903,1331.3921708113885,27.511032838067358,96475.18916989915,0.200021189013
29794280,29793425,417.321,1315.4507477816226,35.401504245913785,123138.81588603137,0.259311167091
29794074,31776718,162.367,2309.532005177632,12.143152068709002,79858.85358274021,0.100890145157
31705842,31776718,563.627,1052.8374630715691,43.54856171149856,127892.53079654851,0.350221472617
29794074,29794077,523.547,451.6091798673055,47.709734680946156,54982.0695257382,0.32531692293700004
31776724,29794074,514.902,2287.7309243340246,38.45519866564451,250737.73826818788,0.319945170642
31706588,1472721975,51.301,963.3136559770765,4.6519760193377335,11461.936203781717,0.031876953671000005
1472721954,31706588,107.404,1002.7914201454836,10.089056638871874,25464.454250751005,0.066737730884
31706267,31706123,212.135,1424.1712696956845,34.20447003367242,104377.8404245849,0.131814537085
31706062,31706267,263.077,963.3136559770765,23.85582922826676,58778.03143568907,0.163468418567
208721773,29794280,280.474,1268.590071237766,21.178965254890034,76032.75569580194,0.174278409854
32124693,208721773,112.085,1268.590071237766,8.463687616657332,30384.746615244087,0.069646368535
1374356024,31705842,278.413,1096.0849348225431,21.76763597409213,66072.9753695232,0.172997764223
29794112,1766803140,2431.982,839.2683655611202,251.59590138411997,511076.00791651005,1.511163087322
31776724,31631609,207.219,944.0126880662926,23.11199725200795,51441.94332833917,0.128759877249
208863157,31776724,1261.466,3116.10976771228,102.48210801326348,864681.9668153984,0.783838389886
31705842,29794077,160.221,1041.072652620007,15.618637701399468,40283.199536110355,0.099556682991
31705853,31776724,400.264,1554.5979880749828,31.988616077672873,135929.90729254615,0.24871244194400002
29794316,29794074,250.347,468.7554150678368,22.858981136764253,27318.255723173443,0.15555836573700002
31705853,29794077,498.594,110.55182842041106,35.90038353874616,11591.672971646625,0.309811852374
213943474,31700661,2511.377,1382.4142242379976,220.12038487184319,791233.2024439333,1.560496837867
29794279,29794280,16.751,738.4890105539746,1.22742006229857,2616.1449492857855,0.010408585621000001
31700661,31700825,11.142,1286.66282203856,0.933070990472046,3196.4645674905587,0.006923315682
31700661,437733306,287.586,182.31061152264544,20.70755331022503,11025.94058553555,0.17869760040600002
1766803140,437849119,67.718,456.487599657031,6.174352739402646,7190.545249867841,0.042078001378
1766803140,1207291265,68.75,382.7807659040892,4.98201693409686,5545.421113426808,0.042719256250000004
29794112,31700661,158.173,86.55920932320771,11.38849404758094,2879.2085032002083,0.09828411518300001
31777190,29794112,505.315,240.19647260688305,45.52395845027979,28054.295922266927,0.313988086865
29783885,618066334,65.029,549.1002854389413,4.810327071441252,7575.556031484284,0.040407134759
618066330,29783885,157.589,549.1002854389413,11.657178072265536,18358.33704109823,0.097921234519
581020631,581020620,32.515,808.5421875560098,2.642520158999346,5783.949481749652,0.020203878065
581020631,581020611,63.342,136.90506319859983,4.5634503017563555,1823.9903546720736,0.039358881882
8635817624,29583132,1790.684,934.2943358511184,134.77574043364817,357092.2333886648,1.112679107764
246283580,29583132,17.8,11.15291490349092,1.2816000059741999,41.74797565234673,0.0110604038
4109587566,4109567674,76.551,1372.2241488510124,14.249419004951909,40571.52674528018,0.047566571421
29583132,581020631,892.438,945.4472507546096,67.31094140465117,180227.34681177515,0.554535092498
5416283756,29784714,438.112,705.916286700646,31.691561474784734,65133.39352115493,0.272230091552
209370661,29784714,328.99,475.7453399184739,23.710129015779227,32924.21428212856,0.20442484529000002
127962991,29784714,3270.214,85.1183844453298,294.32391464202226,64305.12597161739,2.032016143394
209396025,29784714,1470.64,692.4802135422001,113.22179516789394,219185.4730672116,0.91381304744
31461017,618066334,35.067,1080.6475967848594,19.123046239124267,28742.34966891594,0.021789616857
29794077,29784599,609.627,869.461121476576,64.31315962707086,134378.25978324626,0.378804538617
618066326,29783885,154.275,0.0,11.1078,0.0,0.095862011025
618066334,31703742,37.087,1629.7478822238006,8.345840959741775,26957.523012493846,0.023044786277000004
5416283756,5416283759,27.04,1274.136424085994,3.492764430747012,10052.286363870802,0.01680187184
