from,to,volume,EstimatedTT,from,to,length,CO2,lengthm
4792060032,1882885523,136.99,1.2,4792060032,1882885523,29.413,810.1558433486124,0.018276385223
1882885520,4792060032,144.9,1.2,1882885520,4792060032,29.653,864.5105704701249,0.018425514263
2144147747,1882885520,87.57,718.2,2144147747,1882885520,11973.583,211708.1460212151,7.440037242293
2144158768,2144147747,0.0,1270.8,2144158768,2144147747,21180.199,0.0,13.160761432829
759760173,3648318291,0.0,882.6,759760173,3648318291,14706.478,0.0,9.138178941338
8324128095,3648318291,348.24,352.8,8324128095,3648318291,8823.55,618897.8588004832,5.482698087049999
1339869856,2144001882,89.61,1142.3999999999999,1339869856,2144001882,19044.762,344582.355440573,11.833862808702
2236712521,1339869856,856.19,11.4,2236712521,1339869856,187.59,32489.675420341107,0.11656298589
1374265099,1339869856,838.95,138.0,1374265099,1339869856,2294.591,388828.5430307068,1.425792304261
1037930678,2726498303,85.32,760.2,1037930678,2726498303,12671.104,218291.07468769755,7.873456563584
760299834,1037930678,689.11,618.6,760299834,1037930678,10298.602,1433206.0012746109,6.399252623342001
954462737,410560986,724.56,8.4,954462737,410560986,135.16,19880.60435670229,0.08398450436
1918893332,410560986,730.8,312.0,1918893332,410560986,5194.237,766588.4215264729,3.227548238927
410560986,2464228277,0.0,2.4,410560986,2464228277,39.267,0.0,0.024399375057000003
4482502578,954462737,724.56,87.6,4482502578,954462737,1456.42,213149.25972777573,0.90497715182
2464228274,954462737,0.0,6.6,2464228274,954462737,108.198,0.0,0.067231099458
1419478125,1918893332,799.36,7.199999999999999,1419478125,1918893332,165.877,26550.68810503284,0.10307115736700001
1918893332,1419478125,802.93,7.199999999999999,1918893332,1419478125,213.334,35662.481461022995,0.132559560914
1374265099,760299834,754.9,364.20000000000005,1374265099,760299834,7226.591,1088442.238241151,4.490394076261
1374265099,760299834,754.9,364.20000000000005,1374265099,760299834,6060.952,924049.3310633102,3.7660998051920003
7151493358,4482502578,755.87,652.1999999999999,7151493358,4482502578,10851.838,1656632.319345073,6.743017429898
2464171345,4482502578,0.0,457.8,2464171345,4482502578,7630.411,0.0,4.741316113481
2236712519,2236712521,856.19,3.5999999999999996,2236712519,2236712521,57.886,10062.38790634349,0.035968681706000004
2236712521,2236712524,0.0,4.8,2236712521,2236712524,76.71,0.0,0.04766536941
2236712524,1339989102,0.0,346.8,2236712524,1339989102,5777.507,0.0,3.5899753020969998
2236712524,2236712519,0.0,4.8,2236712524,2236712519,84.872,0.0,0.052736999512
8418569274,1419478125,799.36,945.6,8418569274,1419478125,18353.915,2928268.452725954,11.404590517465001
956664817,8418569274,44.38,1345.8,956664817,8418569274,33645.708,300745.1783327574,20.906467225668
1240885071,8418569274,826.87,739.2,1240885071,8418569274,18446.153,3071503.7657877128,11.461904535762999
7151493358,2236712519,856.19,116.39999999999999,7151493358,2236712519,1934.364,334548.1606458215,1.2019576930440001
759760173,7151493358,331.77,2242.2,759760173,7151493358,56050.764,3745385.2067128443,34.828319277444
3648427214,759760173,250.13,106.8,3648427214,759760173,1781.136,89949.94371222597,1.106746257456
3648427159,759760173,66.06,64.80000000000001,3648427159,759760173,1080.217,14408.325190992247,0.671215517507
590670952,1251959005,0.0,5.3999999999999995,590670952,1251959005,91.983,0.0,0.057155568693
8887464543,590670952,19.51,67.2,8887464543,590670952,1119.398,4410.112201794411,0.695561454658
590670952,1251958976,191.62,27.6,590670952,1251958976,458.274,17740.584254996644,0.284758173654
2238169735,590670952,0.0,9.0,2238169735,590670952,147.108,0.0,0.091408645068
1251959005,2238169737,135.38,5.3999999999999995,1251959005,2238169737,91.569,2497.519344621694,0.056898321099000004
1251958976,1251959005,135.38,29.4,1251958976,1251959005,490.262,13400.681806905393,0.304634589202
8887464543,6264836121,20.28,70.19999999999999,8887464543,6264836121,1165.022,4773.475409255655,0.723910885162
6264836121,8887464543,19.51,69.6,6264836121,8887464543,1161.428,4574.594698682952,0.7216776777880001
1251959075,1251958976,135.38,43.199999999999996,1251959075,1251958976,715.151,19567.632732966238,0.444374092021
3648427214,590671017,584.79,649.8,3648427214,590671017,16238.731,1912570.5935392955,10.090276520201
590671017,5783437918,0.0,1.2,590671017,5783437918,24.044,0.0,0.014940244324
7140650993,590671017,660.02,564.6,7140650993,590671017,14097.002,1873759.8119861083,8.759468229742
9852474752,3648427214,260.1,88.2,9852474752,3648427214,1465.629,77004.98551751692,0.910699357359
6264836117,7140650993,641.05,28.2,6264836117,7140650993,710.608,91818.10891188128,0.441551203568
7140650990,7140650993,0.0,11.4,7140650990,7140650993,185.919,0.0,0.11552467494900001
3648427159,9852474785,63.9,1.2,3648427159,9852474785,24.089,307.09049705818313,0.014968206018999999
9852474758,3648427159,66.06,1.2,9852474758,3648427159,23.016,303.56014766338427,0.014301474936
1251959075,1251959089,191.62,2.4,1251959075,1251959089,44.498,1704.7497523691256,0.027649766758
1251958991,1251959075,135.38,1.2,1251958991,1251959075,23.57,636.728313276254,0.01464571447
1251959089,1251958991,78.39,1.2,1251959089,1251958991,22.909,358.59718767801667,0.014234988238999999
1983925774,1251958991,110.05,36.0,1983925774,1251958991,600.201,13336.526677331456,0.37294749557100004
2238169737,2238169735,135.38,22.8,2238169737,2238169735,378.654,10355.858389866456,0.235284614634
2238169735,2238169737,0.0,3.5999999999999996,2238169735,2238169737,59.883,0.0,0.037209559593
1251959013,1983925783,110.05,43.199999999999996,1251959013,1983925783,716.027,15923.182122182676,0.444918413017
1251959053,1251959013,110.05,258.0,1251959053,1251959013,4297.781,95508.25097571807,2.670516477751
1251959055,1251959013,113.23,42.599999999999994,1251959055,1251959013,713.248,16297.116942336907,0.443191623008
1251959055,1983925783,0.0,1.2,1251959055,1983925783,21.474,0.0,0.013343320854
1983925783,1983925774,110.05,4.8,1983925783,1983925774,80.488,1787.0752840998828,0.050012909048
2932723852,1251959053,720.98,229.8,2932723852,1251959053,5743.923,834075.1789974438,3.5691071784329997
1863095137,1251959053,903.34,1790.4,1863095137,1251959053,24788.093,4713607.33809797,15.402602135503
2932723852,1875756352,734.23,9.6,2932723852,1875756352,243.559,36069.18828892515,0.151340499389
1875756351,2932723852,720.98,9.6,1875756351,2932723852,243.64,35431.26009894303,0.15139083043999998
1863095137,1863095166,305.41,21.0,1863095137,1863095166,345.243,21332.06922832045,0.214523988153
590683045,1863095137,903.34,9.6,590683045,1863095137,131.921,25145.669596042895,0.081971883691
1983925776,1251959055,113.23,4.2,1983925776,1251959055,73.326,1667.39970303687,0.045562649946
1251959089,1983925776,113.23,36.6,1251959089,1983925776,609.115,13929.107794269981,0.378486396665
1983925774,1983925776,0.0,1.2,1983925774,1983925776,16.363,0.0,0.010167493673
1875756286,1875756336,0.0,17.4,1875756286,1875756336,288.888,0.0,0.179506625448
1875756286,1875756314,740.49,7.800000000000001,1875756286,1875756314,190.697,28386.677355715918,0.118493585587
6264836117,1875756286,632.6,4.2,6264836117,1875756286,110.857,14210.893821432413,0.068883324947
1875756330,1875756336,0.0,7.199999999999999,1875756330,1875756336,118.003,0.0,0.073323642113
1875756336,1875756351,0.0,21.599999999999998,1875756336,1875756351,357.606,0.0,0.222205997826
1875756314,1875756342,740.49,4.8,1875756314,1875756342,120.981,18057.26402876261,0.075174084951
1875756330,1875756314,0.0,13.2,1875756330,1875756314,221.359,0.0,0.137546063189
1875756288,6264836117,641.05,6.6,1875756288,6264836117,169.45,21937.266483686137,0.10529131594999999
1875756300,1875756288,20.28,21.0,1875756300,1875756288,353.242,1444.7231970022008,0.219494334782
2932724826,1875756288,620.77,4.8,2932724826,1875756288,122.887,15401.051292556358,0.076358418077
1875756300,1875756291,19.51,10.799999999999999,1875756300,1875756291,179.902,708.7637837045428,0.111785885642
6264836121,1875756291,20.28,49.8,6264836121,1875756291,833.043,3409.5447859592346,0.517628761953
1875756352,1875756291,0.0,33.6,1875756352,1875756291,555.582,0.0,0.345222542922
1875756317,1875756300,19.51,12.0,1875756317,1875756300,202.686,797.0733007458521,0.125943202506
1875756330,1875756317,19.51,8.4,1875756330,1875756317,138.481,546.379321490805,0.086048077451
1875756317,2932724825,0.0,11.4,1875756317,2932724825,193.57,0.0,0.12027878447
2932724826,1875756317,113.46,12.0,2932724826,1875756317,199.791,4577.800546348135,0.124144333461
1875756342,1875756351,720.98,9.0,1875756342,1875756351,223.494,32434.51202052475,0.138872690274
1875756342,1875756330,19.51,12.0,1875756342,1875756330,196.008,774.4318601570908,0.12179368696800001
2932724825,2932724826,734.23,6.0,2932724825,2932724826,156.567,23260.127386804714,0.097286193357
1875756352,2932724825,734.23,8.4,1875756352,2932724825,205.783,30378.3103830841,0.127867588493
8324128095,9852474752,341.74,1.2,8324128095,9852474752,24.103,1643.2842524639368,0.014976905213000002
9852474785,8324128095,348.24,1.2,9852474785,8324128095,18.109,1296.6534080513636,0.011252407439000002
9852474758,9852474785,284.34,0.6,9852474758,9852474785,19.651,1238.3205580574472,0.012210561521
9852474752,9852474758,351.06,0.6,9852474752,9852474758,14.038,987.6773384714629,0.008722806098
457494478,448900361,448.48,211.2,457494478,448900361,3523.542,319035.3710922247,2.189426816082
457494270,448900361,518.36,522.0,457494270,448900361,8702.079,910785.6336873563,5.407219530309
2118024845,448900361,0.0,3641.3999999999996,2118024845,448900361,60690.532,0.0,37.711336559372
2958585640,457494478,0.0,4309.8,2958585640,457494478,71830.08,0.0,44.63312863968
457494575,457494478,355.38,386.40000000000003,457494575,457494478,9656.862,691189.1205599207,6.000493997802
457494270,457494260,496.71,22.2,457494270,457494260,549.898,54967.73060443649,0.34169067015800003
457494260,457494270,498.38,22.8,457494260,457494270,564.861,56654.14368861837,0.350988244431
2145233137,2118024845,72.12,1435.8,2145233137,2118024845,23934.666,348535.7783908303,14.872307347086
457494065,457494260,595.98,359.40000000000003,457494065,457494260,8986.543,1078728.3066932696,5.583977210453
983160480,457494065,657.67,72.6,983160480,457494065,1820.205,241170.85193534518,1.131022601055
457495502,2958585640,106.38,262.8,457495502,2958585640,6568.249,140727.77076742446,4.081319449379
457498103,2958585640,136.56,271.8,457498103,2958585640,6796.414,186935.81772038093,4.223094563594
2145233411,457494575,148.23,286.8,2145233411,457494575,4781.48,143105.3705015929,2.97107300908
457495149,457494575,161.91,1465.2,457495149,457494575,24419.263,798332.6090000853,15.173421869573
1864654857,7266194046,249.98,3.0,1864654857,7266194046,77.713,3927.2812679042736,0.048288604522999996
7266194044,1864654857,245.08,4.8,7266194044,1864654857,113.619,5584.72918389743,0.070599551649
2145233252,2145233411,155.06,861.5999999999999,2145233252,2145233411,14361.627,449647.8760233892,8.923898530617
8498824976,2145233411,0.0,28.2,8498824976,2145233411,472.476,0.0,0.293582884596
