,Unnamed: 0,osmid,y,x,street_cou,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
26355,26355,8315230351,14.5119264,121.0623767,3,121.0623767,14.5119264,,,POINT (121.0623767 14.5119264),5.0,0.0,None,None
26356,26356,8314284013,14.6516198,120.9571311,3,120.9571311,14.6516198,,,POINT (120.9571311 14.6516198),0.0,6.0,None,None
26357,26357,8314073915,14.5325443,121.0682993,1,121.0682993,14.5325443,,,POINT (121.0682993 14.5325443),5.0,1.0,None,None
26358,26358,8314078973,14.570837699999998,121.03232279999999,1,121.03232279999999,14.570837699999998,,,POINT (121.0323228 14.5708377),3.0,2.0,None,None
26359,26359,8314080103,14.689856699999998,121.04169440000001,1,121.04169440000001,14.689856699999998,,,POINT (121.0416944 14.6898567),4.0,7.0,None,None
26360,26360,8314082975,14.6431294,121.061986,1,121.061986,14.6431294,,,POINT (121.061986 14.6431294),5.0,5.0,None,None
26361,26361,8314091956,14.574882800000001,120.99923170000001,1,120.99923170000001,14.574882800000001,,,POINT (120.9992317 14.5748828),2.0,2.0,1,2
26362,26362,8314094299,14.669754600000001,121.06703799999998,1,121.06703799999998,14.669754600000001,,,POINT (121.067038 14.6697546),5.0,6.0,None,None
26363,26363,8314094302,14.6702642,121.06704479999999,3,121.06704479999999,14.6702642,,,POINT (121.0670448 14.6702642),5.0,6.0,None,None
26364,26364,8314102256,14.607647699999998,121.00921559999999,1,121.00921559999999,14.607647699999998,,,POINT (121.0092156 14.6076477),2.0,4.0,1,0
26365,26365,8314106768,14.5343157,121.06577730000001,1,121.06577730000001,14.5343157,,,POINT (121.0657773 14.5343157),5.0,1.0,None,None
26366,26366,8314106775,14.534559699999997,121.06413710000001,1,121.06413710000001,14.534559699999997,,,POINT (121.0641371 14.5345597),5.0,1.0,None,None
26367,26367,8314108420,14.588701,121.02745130000001,1,121.02745130000001,14.588701,,,POINT (121.0274513 14.588701),3.0,3.0,None,None
26368,26368,8314109491,14.607985800000002,121.0099149,1,121.0099149,14.607985800000002,,,POINT (121.0099149 14.6079858),2.0,4.0,1,0
26369,26369,8314144219,14.650537900000002,120.96855929999998,1,120.96855929999998,14.650537900000002,,,POINT (120.9685593 14.6505379),1.0,6.0,None,None
26370,26370,8314116469,14.6913343,121.04104129999999,1,121.04104129999999,14.6913343,,,POINT (121.0410413 14.6913343),4.0,7.0,None,None
26371,26371,8314124623,14.683644000000001,120.99416029999999,1,120.99416029999999,14.683644000000001,,,POINT (120.9941603 14.683644),2.0,7.0,None,None
26372,26372,8314129246,14.68631,120.995999,1,120.995999,14.68631,,,POINT (120.995999 14.68631),2.0,7.0,None,None
26373,26373,8314153268,14.6849945,120.99361110000001,1,120.99361110000001,14.6849945,,,POINT (120.9936111 14.6849945),2.0,7.0,None,None
26374,26374,8314153593,14.663915,120.96212129999999,1,120.96212129999999,14.663915,,,POINT (120.9621213 14.663915),0.0,6.0,None,None
26375,26375,8314172820,14.546162599999999,121.005494,1,121.005494,14.546162599999999,,,POINT (121.005494 14.5461626),2.0,1.0,None,None
26376,26376,8647540032,14.694966899999999,121.0096966,1,121.0096966,14.694966899999999,,,POINT (121.0096966 14.6949669),2.0,7.0,None,None
26377,26377,8314175284,14.544525,121.02992490000001,1,121.02992490000001,14.544525,,,POINT (121.0299249 14.544525),3.0,1.0,None,None
26378,26378,8314175285,14.543958100000001,121.02837109999999,1,121.02837109999999,14.543958100000001,,,POINT (121.0283711 14.5439581),3.0,1.0,None,None
26379,26379,8314180195,14.663689300000001,120.96146019999999,1,120.96146019999999,14.663689300000001,,,POINT (120.9614602 14.6636893),0.0,6.0,None,None
26380,26380,8314183264,14.648976000000001,120.96663889999999,1,120.96663889999999,14.648976000000001,,,POINT (120.9666389 14.648976),1.0,5.0,None,None
26381,26381,8314183641,14.687242699999999,120.99356759999999,1,120.99356759999999,14.687242699999999,,,POINT (120.9935676 14.6872427),2.0,7.0,None,None
26382,26382,8314189835,14.5440759,121.0067037,1,121.0067037,14.5440759,,,POINT (121.0067037 14.5440759),2.0,1.0,None,None
26383,26383,8314208453,14.566679,121.0853206,1,121.0853206,14.566679,,,POINT (121.0853206 14.566679),5.0,2.0,None,None
26384,26384,8314208454,14.5666467,121.08573090000002,3,121.08573090000002,14.5666467,,,POINT (121.0857309 14.5666467),5.0,2.0,None,None
26385,26385,8314209431,14.5454551,121.00370759999998,1,121.00370759999998,14.5454551,,,POINT (121.0037076 14.5454551),2.0,1.0,None,None
26386,26386,8314209478,14.692639300000002,121.06189950000001,1,121.06189950000001,14.692639300000002,,,POINT (121.0618995 14.6926393),5.0,7.0,None,None
26387,26387,8314230662,14.5097559,121.06880220000001,1,121.06880220000001,14.5097559,,,POINT (121.0688022 14.5097559),5.0,0.0,None,None
