fishnetID,carbon,CI
0,0.7322367600409669,1.2957265966263494
10,1.8871236091408805,1.6971253994707705
101,0.007015477714266716,1.3969046809948422
103,0.25801399745927095,1.3823441189204564
105,1.6900184794221642,1.3295618920171506
107,0.543470305056746,1.2814055262467599
110,0.02766855190897743,1.4120041893975992
111,0.9901701502167336,1.325604735203474
113,0.24091928215705377,1.3239863082628303
116,0.6343538614077431,1.2004425988630347
117,0.2799926646011909,1.2235627785948509
119,0.5604691769271499,1.2569074441199164
12,0.4889091080546949,1.1696014626191684
14,0.45338625508366404,1.212734895692432
16,1.9780642019199277,1.6140674473369097
18,3.423931091752628,1.4310000243866865
20,4.468504118626191,1.4640836009683842
22,2.553118374200693,1.5302064579738683
24,1.3409114913562639,1.5918266284273317
27,0.5241819247882268,1.3511671410101835
28,1.9808657659495341,1.169066777745295
3,0.738065760092828,1.4516405129658612
30,1.9096358023545525,1.21097455174437
32,1.631417444400551,1.372711525974274
34,1.1257912701893913,1.5213769233705436
36,1.9035390772230112,1.5672185266503982
38,2.0661945559405943,1.5621072219918446
4,0.39685988491041085,1.3743377798321008
40,1.8179491705179103,1.5667149149432589
42,2.032411857966362,1.4727082792497117
44,2.541954223498559,1.4735885144981609
46,1.9508616161392556,1.6934028241954693
48,4.883161259247958,1.512102359646107
50,4.7945806375957325,1.5090454019439146
52,3.2018951499356767,1.5240609277121897
56,0.2399371552805555,1.367344509144017
59,0.4224211148381928,1.335147619940605
6,1.8148912972676587,1.2877807106638146
61,2.4965486666465586,1.2663743736316255
63,4.774544640152909,1.4228208410126741
65,5.646236433353216,1.6017250215679755
67,1.7636072486834744,1.796680481348695
69,4.090672935755233,1.6385677729085446
71,1.0834446850450241,1.6994128011016156
73,2.307994810678052,1.8047728511036711
75,7.645405741533683,1.7613497683032424
77,3.059893806109043,1.512122726162113
8,2.4531487979864806,1.4628115463988882
80,2.2756713021174626,1.4731786726405849
82,0.0,1.4421929057950928
84,0.0,1.2956785463079004
86,0.49475140933311407,1.5096099545259194
88,0.3760336247562906,1.5200131963609531
89,5.694379715584486,1.4345443689316117
91,3.149323175039099,1.6047396926536122
93,1.0324902053371228,1.4060542522922548
95,0.09281257077957192,1.3443811291856298
97,2.304041502205928,1.3802317239912758
99,2.339198957838129,1.3797106162072459
