fishnetID,CO2,fishnetid,CO2psqkm
423,6815699.313,362,25906.08906
425,24495405.68,364,10297.95243
426,4456954.088,366,1873.718761
429,30306258.66,368,12740.85492
431,32478818.83,370,13654.20666
435,7403634.41,372,3133.964168
437,6074486.644,374,23141.97372
439,12893025.4,376,49118.563
44,556429.8359,378,2119.830924
441,14596367.49,380,55736.55635
443,6159871.884,382,23467.26589
445,39360438.55,384,149951.4754
447,37530428.68,387,143310.783
449,1319303.207,389,5037.78886
451,24793615.05,391,94674.97469
453,14562031.89,393,6164.119354
455,1617868.887,395,684.8451504
457,4661027.299,396,1973.016458
459,31808689.2,398,13464.64272
46,22227355.69,400,9408.856842
49,10932892.77,402,4660.293675
51,1419463.417,404,605.0655138
53,5355864.797,406,2283.009936
55,13193536.34,408,5623.923624
57,82606315.5,412,35212.06122
59,228954142.7,415,390378.6384
6,71302719.24,417,122004.4765
61,28220982.33,419,12115.08394
63,42728183.52,421,18342.93094
65,10353351.74,423,4444.626483
67,38919884.95,425,16708.05317
69,59913265.19,426,25720.3746
71,38463675.08,429,16512.20524
72,6760110.24,431,11608.26758
74,56854663.72,435,97979.58512
76,18020035.26,437,31054.54264
78,51972902.81,439,22311.62873
8,62692146.16,441,26913.3301
80,10824360.64,443,4646.827537
82,2549510.875,445,1094.488417
84,5506003.383,447,2363.691398
86,87162379.22,449,37688.34969
89,131606361.7,451,56905.58959
91,77064615.16,453,33322.15333
93,41866624.74,455,18102.81004
96,35345693.43,457,15283.20895
98,36462955.92,459,15766.30475
