from,to,demand,TT,distance,estimated?
536652,18629762,,0.0333708,0,Yes
25479302,18627237,,1.1623968,0,Yes
25479302,28796755,,0.04379519999999999,0,Yes
18629762,264218470,,0.2299842222222222,150,No
18629762,264223496,,0.017261111111111112,15,No
25599929,2526224454,,0.8433683544303797,79,No
264218470,264223496,,0.862547111111111,150,No
3899207524,309517759,,0.03237575757575758,11,No
536663,21527849,,0.1781639880952381,56,No
536663,536667,,1.7454408000000003,0,Yes
21527849,2297622,,0.011633,0,Yes
21527849,21552197,,0.0704052,0,Yes
21647397,2297615,,0.7133584175084174,99,No
21647058,1632149359,,0.2755332,0,Yes
536670,24945363,,0.015129600000000002,0,Yes
536670,2075220,,0.418513,0,Yes
24945363,21660961,,0.010830000000000001,0,Yes
2075220,25096430,,0.028701599999999997,0,Yes
2075220,3869392962,,0.6958714563862927,856,No
344434421,10919786,,0.2158524,0,Yes
1630023963,311941598,,0.216768,0,Yes
3100041009,25873173,,0.17809440000000004,0,Yes
31296012,3148489413,,0.11874359999999998,0,Yes
536675,3148489416,,0.5843666666666666,136,No
3148489416,3148489413,,0.025073333333333333,10,No
3148489416,31296012,,0.18021333333333334,110,No
248219433,248219482,,0.4441314543028686,2998,No
2071674,518252065,,0.18065572916666664,96,No
518252065,29348253,,0.23623440000000004,0,Yes
11769758,3853550,,0.8067744000000002,0,Yes
534316145,518252065,,0.046705199999999995,0,Yes
2071676,18178669,,0.7476864000000001,0,Yes
18178669,534743,,0.054318,0,Yes
18178669,534744,,0.06609885057471264,58,No
7101166877,16574525,,0.14899177215189874,79,No
2287857538,5824956622,,0.1754936274509804,34,No
2274921120,206133365,,2.389563636363636,1254,No
2072802,30151417,,3.0536623138602508,1455,No
316507154,316507156,,0.9426123325453112,423,No
30151417,30151418,,0.05344761904761905,21,No
2072807,1485594848,,0.028529999999999996,5,No
2072807,1485594778,,0.2677647186147186,77,No
1485594848,159725096,,0.03345185185185185,18,No
1485594848,11007703,,0.3977832,0,Yes
1485594778,1485594848,,0.08388959999999998,0,Yes
2072816,244038925,,0.35436960000000006,0,Yes
244038925,244038942,,0.1727076,0,Yes
2075215,25755498,,0.0180276,0,Yes
2075215,2039066667,,5.641988850093108,2864,No
25755498,25755497,,0.01662820512820513,13,No
25755498,25755500,,0.04827125000000001,40,No
2039066667,25755506,,3.4661879064114247,2194,No
25096430,25096432,,0.026717543859649123,19,No
25096430,10919799,,0.5395847619047619,280,No
3869392962,25096430,,0.970799067164179,268,No
21540856,21647397,,0.2841674326241135,1175,No
2297619,3790101104,,3.146012508555783,974,No
3790101104,21552197,,1.167706270627063,101,No
3790101104,21527849,,0.08309399999999999,0,Yes
2297622,21552199,,0.028268,0,Yes
2297622,21527762,,0.0658956,0,Yes
21552199,21552200,,0.18524200000000002,0,Yes
21527762,536663,,0.0130092,0,Yes
21527762,3146686054,,0.5815288888888889,225,No
3411653,113794494,,0.2821718253968254,462,No
26165869,262185367,,0.27577872340425535,47,No
113794494,15618026,,0.10532183908045976,435,No
113794494,26291274,,0.5845700000000001,175,No
3411658,15618078,,0.33491056910569106,123,No
3411658,25622663,,0.24011098039215686,85,No
15618078,3030258494,,0.08405681818181818,66,No
15618078,25622151,,0.051770833333333335,24,No
25622663,25622670,,0.5309075268817204,372,No
15511907,2071674,,0.8177208000000001,0,Yes
3855350,11769597,,0.018264000000000002,0,Yes
3855350,1501721437,,0.4169508000000001,0,Yes
9100179,3137684026,,0.53733,0,Yes
3137684026,3137684031,,0.174306,0,Yes
3137684031,3137684026,,0.7419469437652811,409,No
9100190,9982673425,,0.05186315789473683,38,No
9982673432,2970916246,,0.47107317073170735,41,No
9982673425,9100190,,0.051022368421052636,38,No
10919218,8224298741,,0.02996153846153846,13,No
8224298741,346633166,,0.11503837667454689,423,No
8224298741,346633485,,0.14488499999999999,90,No
10919223,11008027,,1.2846053097345134,452,No
25740441,25740442,,0.18138159722222222,96,No
11008027,2075215,,0.013856249999999999,16,No
11008027,11008006,,0.2442144,0,Yes
86684589,3121844724,,0.0532644,0,Yes
10919237,10919235,,0.05647919999999999,0,Yes
10919237,10919238,,0.059241600000000005,0,Yes
10919238,10049596107,,0.06925079999999999,0,Yes
10049596107,10919237,,0.058563636363636366,11,No
3073762517,3877390797,,0.10239583333333334,24,No
10919767,536575,,0.7357300295857987,338,No
126667225,18178749,,0.9117814814814813,99,No
126667225,31271217,,0.10878172845863371,1942,No
3151457278,18178797,,0.24534719999999993,0,Yes
2262218571,18178769,,0.7025687224669602,227,No
3147805129,2262248282,,0.08179375,32,No
10919786,536663,,0.9636839339339339,222,No
10919786,3146686054,,0.022625,16,No
3146686054,21552195,,0.013082400000000003,0,Yes
3146686054,21527733,,0.12861480000000003,0,Yes
10919799,15613225,,0.0126864,0,Yes
10919799,1952603929,,0.4462919999999999,0,Yes
15613225,1698611463,,0.38696500000000006,0,Yes
15613225,15613290,,0.0511647453297142,6263,No
1952603929,15613225,,1.2128433333333335,370,No
10940911,773684928,,1.3484583032490975,2493,No
773684928,4186859645,,0.2760186,0,Yes
773684928,1758438692,,0.4834548000000001,0,Yes
10941033,26910102,,0.43153399999999986,0,Yes
10941033,10940911,,0.11577492753623188,230,No
26910102,12262641,,0.02589074074074074,18,No
26910102,26910582,,0.2571522857142858,0,Yes
3324432562,25621845,,0.7881888000000002,0,Yes
11004892,3780365870,,1.6175292000000003,0,Yes
3780365870,3879014011,,1.5643415999999997,0,Yes
7260653744,2272203032,,0.13100520000000002,0,Yes
11005259,1762496623,,0.08501520000000001,0,Yes
1762496623,433065573,,0.7989683999999999,0,Yes
11005798,25600624,,0.7243050000000002,0,Yes
312068888,312068717,,0.222003386372909,817,No
11007218,95145062,,0.2840604,0,Yes
95145062,159729140,,0.0171612,0,Yes
