,Unnamed: 0,gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total,node_count,lane_length,percent_residential_roads_(by_length)
0,0,0,0,0.0,0.0,38.2524848,38.42635104090909,43.0082382,43.238030046875,141800.0,23,10893.664,46.8270379329529
1,1,0,0,0.0,1.0,38.2524848,38.42635104090909,43.238030046875,43.46782189375,152200.0,24,26812.558,42.62857064757859
2,2,0,0,1.0,1.0,38.42635104090909,38.60021728181818,43.238030046875,43.46782189375,855800.0,139,29785.840000000004,89.51364285585284
3,3,1,0,,,38.60021728181818,38.94794976363636,43.0082382,43.46782189375,144800.0,26,70229.04800000002,None
4,4,2,0,,,38.94794976363636,39.29568224545454,43.0082382,43.46782189375,561400.0,100,58746.16099999999,None
5,5,4,0,,,39.64341472727273,39.99114720909091,43.0082382,43.46782189375,179000.0,29,83338.84599999995,None
6,6,5,0,,,39.99114720909091,40.33887969090909,43.0082382,43.46782189375,141200.0,26,157101.13399999993,None
7,7,6,0,,,40.33887969090909,40.68661217272727,43.0082382,43.46782189375,422800.0,67,169574.22600000002,None
8,8,7,0,,,40.68661217272727,41.03434465454546,43.0082382,43.46782189375,175600.0,29,157128.78100000002,None
9,9,8,0,,,41.03434465454546,41.38207713636364,43.0082382,43.46782189375,59200.0,14,197483.48,None
10,10,9,0,,,41.38207713636364,41.72980961818182,43.0082382,43.46782189375,62000.0,11,201319.954,None
11,11,10,0,,,41.72980961818182,42.0775421,43.0082382,43.46782189375,36400.0,6,128670.48099999994,None
12,12,0,1,,,38.2524848,38.60021728181818,43.46782189375,43.9274055875,8400.0,2,26028.204,None
13,13,1,1,,,38.60021728181818,38.94794976363636,43.46782189375,43.9274055875,26200.0,5,15339.246,None
14,14,2,1,,,38.94794976363636,39.29568224545454,43.46782189375,43.9274055875,124800.0,22,32644.64100000001,None
15,15,3,1,,,39.29568224545454,39.64341472727273,43.46782189375,43.9274055875,100600.0,16,30538.353000000003,None
16,16,4,1,,,39.64341472727273,39.99114720909091,43.46782189375,43.9274055875,77400.0,13,15721.561000000003,None
17,17,5,1,,,39.99114720909091,40.33887969090909,43.46782189375,43.9274055875,397600.0,64,351726.909,None
18,18,6,1,,,40.33887969090909,40.68661217272727,43.46782189375,43.9274055875,331800.0,53,376706.485,None
19,19,7,1,,,40.68661217272727,41.03434465454546,43.46782189375,43.9274055875,586000.0,102,441975.811,None
20,20,8,1,,,41.03434465454546,41.38207713636364,43.46782189375,43.9274055875,41600.0,6,176452.702,None
21,21,9,1,,,41.38207713636364,41.72980961818182,43.46782189375,43.9274055875,141600.0,21,209183.795,None
22,22,10,1,0.0,0.0,41.72980961818182,41.90367585909091,43.46782189375,43.697613740625,39200.0,10,106077.826,38.955363022588394
23,23,10,1,1.0,0.0,41.90367585909091,42.0775421,43.46782189375,43.697613740625,348200.0,56,140689.69100000005,66.38898294747942
24,24,10,1,0.0,1.0,41.72980961818182,41.90367585909091,43.697613740625,43.9274055875,1400.0,1,29327.26500000001,49.83094870831752
25,25,10,1,1.0,1.0,41.90367585909091,42.0775421,43.697613740625,43.9274055875,496800.0,77,113682.072,60.63890011570048
26,26,0,2,,,38.2524848,38.60021728181818,43.9274055875,44.38698928125,17400.0,3,7335.044,None
27,27,1,2,,,38.60021728181818,38.94794976363636,43.9274055875,44.38698928125,45000.0,8,81807.284,None
28,28,2,2,,,38.94794976363636,39.29568224545454,43.9274055875,44.38698928125,266200.0,58,223216.20499999996,None
29,29,3,2,,,39.29568224545454,39.64341472727273,43.9274055875,44.38698928125,443000.0,66,32517.062,None
30,30,4,2,,,39.64341472727273,39.99114720909091,43.9274055875,44.38698928125,295400.0,45,10334.266,None
31,31,5,2,0.0,0.0,39.99114720909091,40.16501345,43.9274055875,44.15719743437501,472400.0,71,158902.683,73.56603822790855
32,32,5,2,0.0,1.0,39.99114720909091,40.16501345,44.15719743437501,44.38698928125,550000.0,86,228261.819,27.157736342026915
33,33,5,2,1.0,1.0,40.16501345,40.33887969090909,44.15719743437501,44.38698928125,957000.0,146,213968.886,63.13711393067398
34,34,6,2,,,40.33887969090909,40.68661217272727,43.9274055875,44.38698928125,129200.0,19,234109.44900000005,None
35,35,7,2,,,40.68661217272727,41.03434465454546,43.9274055875,44.38698928125,208600.0,31,205059.475,None
36,36,8,2,,,41.03434465454546,41.38207713636364,43.9274055875,44.38698928125,98800.0,16,244692.358,None
37,37,9,2,,,41.38207713636364,41.72980961818182,43.9274055875,44.38698928125,14200.0,3,268556.493,None
38,38,10,2,1.0,0.0,41.90367585909091,42.0775421,43.9274055875,44.15719743437501,938600.0,145,112054.37099999994,71.29209532300185
39,39,10,2,0.0,1.0,41.72980961818182,41.90367585909091,44.15719743437501,44.38698928125,5600.0,2,47247.52999999997,42.09708253048969
40,40,10,2,1.0,1.0,41.90367585909091,42.0775421,44.15719743437501,44.38698928125,387400.0,51,65378.062,57.11980046572065
41,41,0,3,,,38.2524848,38.60021728181818,44.38698928125,44.846572975,95000.0,21,114394.54100000004,None
42,42,2,3,,,38.94794976363636,39.29568224545454,44.38698928125,44.846572975,872800.0,187,116380.629,None
43,43,3,3,,,39.29568224545454,39.64341472727273,44.38698928125,44.846572975,380000.0,71,227463.49900000016,None
44,44,4,3,1.0,0.0,39.81728096818182,39.99114720909091,44.38698928125,44.616781128125,565200.0,92,54143.201,41.21913051769234
45,45,4,3,0.0,1.0,39.64341472727273,39.81728096818182,44.616781128125,44.846572975,97200.0,16,37423.57200000001,12.567205887590593
