Centroid,Proportion,Proportion
0,0.000364303489293052,0.000364303489293052
2,0.000364303489293052,0.000364303489293052
4,0.000364303489293052,0.000364303489293052
6,0.0008704294108237021,0.0008704294108237021
8,0.00024529691050853645,0.00024529691050853645
10,0.0038255568046138668,0.0038255568046138668
12,0.000273376633531002,0.000273376633531002
14,0.000273376633531002,0.000273376633531002
16,0.000273376633531002,0.000273376633531002
18,0.0020891499530580324,0.0020891499530580324
20,0.005061526348226378,0.005061526348226378
22,0.005196760081431172,0.005196760081431172
24,0.004514347534543764,0.004514347534543764
26,0.008832510218168855,0.008832510218168855
28,0.0011475067783531226,0.0011475067783531226
30,0.0011475067783531226,0.0011475067783531226
32,0.0011475067783531226,0.0011475067783531226
34,0.0021006791731121143,0.0021006791731121143
36,0.0021006791731121143,0.0021006791731121143
38,0.0021006791731121143,0.0021006791731121143
40,0.0021006791731121143,0.0021006791731121143
42,0.0024384385523706573,0.0024384385523706573
44,0.0024384385523706573,0.0024384385523706573
48,0.0024384385523706573,0.0024384385523706573
50,0.002348584207859655,0.002348584207859655
52,0.0005129716540664822,0.0005129716540664822
54,0.0027357810017628287,0.0027357810017628287
56,0.007959561437584032,0.007959561437584032
58,0.002507666041868283,0.002507666041868283
59,0.002507666041868283,0.002507666041868283
61,0.002507666041868283,0.002507666041868283
63,0.0105567148004536,0.0105567148004536
65,0.008863402026832227,0.008863402026832227
66,0.006303820467711808,0.006303820467711808
68,0.0027103178637491107,0.0027103178637491107
70,0.004276386211730092,0.004276386211730092
72,0.0024997847178039336,0.0024997847178039336
74,0.009515706606882623,0.009515706606882623
76,0.0019645760540137284,0.0019645760540137284
78,0.0010916948258197637,0.0010916948258197637
80,0.00746474669571718,0.00746474669571718
82,0.0038919751179052483,0.0038919751179052483
84,0.0024471381298505758,0.0024471381298505758
87,0.00015867932877282077,0.00015867932877282077
89,0.00015867932877282077,0.00015867932877282077
92,0.010422977185497364,0.010422977185497364
94,0.019854986146018088,0.019854986146018088
96,0.0073359224470587615,0.0073359224470587615
98,0.00800737411690327,0.00800737411690327
100,0.015976919496879682,0.015976919496879682
102,0.007101276642406747,0.007101276642406747
104,0.0010212568108547266,0.0010212568108547266
106,0.0010874283572688225,0.0010874283572688225
108,0.007606783757283748,0.007606783757283748
110,0.009937980514805735,0.009937980514805735
112,0.0015286914429119714,0.0015286914429119714
113,0.007458156257711939,0.007458156257711939
115,0.01629622406458327,0.01629622406458327
116,0.009407992480366419,0.009407992480366419
118,0.019410508937683122,0.019410508937683122
120,0.013855074822041567,0.013855074822041567
122,0.0048234879086734425,0.0048234879086734425
124,0.013331853162799704,0.013331853162799704
126,0.008776296228584573,0.008776296228584573
128,0.0027869991576255967,0.0027869991576255967
130,0.0005257569472891366,0.0005257569472891366
132,0.00034559622575861996,0.00034559622575861996
134,0.0018106448891571341,0.0018106448891571341
136,0.0018106448891571341,0.0018106448891571341
138,0.0018106448891571341,0.0018106448891571341
140,0.005300481326579392,0.005300481326579392
142,0.009975948101993398,0.009975948101993398
146,0.01967190532190486,0.01967190532190486
148,0.001905822495834629,0.001905822495834629
150,0.0027197551668440116,0.0027197551668440116
152,0.0027197551668440116,0.0027197551668440116
154,0.0027197551668440116,0.0027197551668440116
156,0.0027197551668440116,0.0027197551668440116
158,0.009473046837314526,0.009473046837314526
160,0.0065334007459776884,0.0065334007459776884
162,0.0025900558471897996,0.0025900558471897996
164,0.005253741191952983,0.005253741191952983
166,0.01176237308466277,0.01176237308466277
168,0.005313988193038424,0.005313988193038424
170,0.005313988193038424,0.005313988193038424
172,0.005313988193038424,0.005313988193038424
174,0.004674959028903928,0.004674959028903928
176,0.004674959028903928,0.004674959028903928
178,0.004674959028903928,0.004674959028903928
180,0.004674959028903928,0.004674959028903928
182,0.004674959028903928,0.004674959028903928
183,0.004674959028903928,0.004674959028903928
185,0.004674959028903928,0.004674959028903928
187,0.0016662842928793775,0.0016662842928793775
189,0.00891908847237405,0.00891908847237405
191,0.0056793649293016306,0.0056793649293016306
193,0.008680760527351995,0.008680760527351995
195,0.018199380046835127,0.018199380046835127
197,0.013132443554703922,0.013132443554703922
199,0.002757533908313274,0.002757533908313274
201,0.00805895769107043,0.00805895769107043
203,0.0038581852447906466,0.0038581852447906466
205,0.0001234603212903023,0.0001234603212903023
208,0.0006004215013225991,0.0006004215013225991
210,0.0006004215013225991,0.0006004215013225991
212,0.005670863561237852,0.005670863561237852
214,0.012597734511071825,0.012597734511071825
216,0.00782903613946362,0.00782903613946362
218,0.012184948269560748,0.012184948269560748
220,0.011755314662421077,0.011755314662421077
223,0.008788283132807585,0.008788283132807585
225,0.012112328111720428,0.012112328111720428
227,0.002045863952761644,0.002045863952761644
229,0.002045863952761644,0.002045863952761644
231,0.002045863952761644,0.002045863952761644
233,0.002045863952761644,0.002045863952761644
235,0.009546245872325988,0.009546245872325988
237,0.0030301612119324486,0.0030301612119324486
239,0.0030301612119324486,0.0030301612119324486
241,0.0030301612119324486,0.0030301612119324486
243,0.0030301612119324486,0.0030301612119324486
245,0.006026342066384796,0.006026342066384796
247,0.009361620740362614,0.009361620740362614
249,5.8446863636261665e-06,5.8446863636261665e-06
251,8.625972127307197e-07,8.625972127307197e-07
253,8.625972127307197e-07,8.625972127307197e-07
255,8.625972127307197e-07,8.625972127307197e-07
257,8.625972127307197e-07,8.625972127307197e-07
259,8.625972127307197e-07,8.625972127307197e-07
261,8.625972127307197e-07,8.625972127307197e-07
263,8.625972127307197e-07,8.625972127307197e-07
265,8.625972127307197e-07,8.625972127307197e-07
267,0.002252738233814026,0.002252738233814026
269,0.002252738233814026,0.002252738233814026
271,0.002252738233814026,0.002252738233814026
273,0.002252738233814026,0.002252738233814026
275,0.002252738233814026,0.002252738233814026
