highway,lanelength,proportion
motorway,2094769.878,0.041666615804273645
motorway_link,217560.638,0.00432745172292317
primary,14912244.871,0.2966162461780478
primary_link,228937.235,0.0045537411599336115
road,58668.46000000001,0.0011669616831526716
secondary,16024041.319,0.31873074951222846
secondary_link,108972.402,0.002167546542982542
trunk,16125898.467,0.32075676807264764
trunk_link,503445.172,0.01001391932381055
