fishnetID,carbon,CI
0,1.2932499298374323,1.7838389843908717
10,2.7776008545924062,2.399106756598873
101,0.04443900084556231,1.8253769360481897
103,0.5102094779612947,1.8119582806162378
105,2.7758884141188016,1.87522043138536
107,1.4814289614453706,1.717305295754275
110,0.043791530105101166,1.927112685674098
111,1.7242784910613018,1.7512206245835016
113,0.45294850069636283,1.7940483118069601
116,0.8962090303224005,1.6344419540580948
117,0.3378852451290971,1.533384320449119
119,0.9416770759546422,1.6111943479177318
12,0.5705330831085543,1.5669763566483417
14,0.5714283078128555,1.4741674902717863
16,2.8045251212795774,2.371720855988134
18,4.681176432884314,2.217641969130221
20,6.155349560651756,2.2254236571166874
22,3.7382826744586155,2.279326995237996
24,1.9860057029579987,2.225941498172558
27,0.7504456463847192,1.8766602514493664
28,3.4233814334172097,1.4083926897107868
3,1.07301074959682,2.0829614094946725
30,3.4358715672050435,1.474107460656521
32,2.9507683664966575,1.8121210853481053
34,1.4647512995412098,2.036400886461257
36,3.3730741979882874,2.3112902828373385
38,3.559534518529547,2.274874111102236
4,0.49522759575023156,2.0362292264254878
40,2.9609802776659064,2.293083399589425
42,3.141471548609492,2.254340364192667
44,2.6416020080542033,2.2883563477505815
46,3.089860561857003,2.5378325527204626
48,4.597648590134196,1.9363825707017417
50,9.546349793128595,2.3972910413318393
52,8.56972380789269,2.3330381996930685
56,0.33842694350611746,1.9953798285509001
59,0.5088774468540705,1.8348374426648524
6,2.3449258243826074,1.750963830061541
61,3.9910531525776567,1.6062910663118612
63,7.22211615885124,1.919708501954625
65,9.69743287483076,2.2981582703323906
67,2.9315255111791543,2.766188940781929
69,3.633745334922719,2.6843516474494633
71,1.2320982081205543,2.4262904734996704
73,2.9231169064670808,2.6441744817235304
75,12.82105747009919,2.587119120111544
77,3.1832382024312778,3.1135727994153033
8,3.402120493937509,2.088222741783391
80,2.9017440830721397,2.271007349476867
82,0.0,2.1216582778637307
84,0.0,1.738019480808297
86,0.6281408805365595,1.958657953432028
88,0.5902856481769044,1.9450040019189487
89,8.422870965677568,1.9424046938433133
91,3.6822848570591553,2.258119273312185
93,1.4523045819804676,2.085059977678822
95,0.17489376379239058,1.7990638211557861
97,3.3336506948289006,1.8638198496805194
99,3.0196859242425074,1.8687951609194549
