fishnetID,osmid
2,1955478118
2,1955478089
4,987043356
4,269596847
6,4551421701
6,6166892124
8,269435993
8,5586902731
10,922263849
10,269542131
12,7965782225
15,1836907356
15,1838139883
15,360340414
15,269435574
19,269432606
19,8596337363
24,3847643267
24,1836923934
26,269438278
26,1845897089
28,269438583
29,2769048061
29,360803923
31,2769050507
31,483411311
35,8237762531
35,1579808171
35,4019121947
39,11144591854
39,3895874574
39,1853124884
39,4035001465
41,1856697397
41,1856011662
41,269611886
49,8567414339
49,8567414319
53,8237762303
53,9490066521
56,1345926080
62,1856937349
62,6152410546
66,1858422314
66,1858422312
68,1668205352
68,275307860
70,1676386728
70,251149703
70,1685397273
72,274961625
72,276018604
74,446252628
74,293256647
79,1851774668
82,802432837
82,5390853181
82,3856466958
84,270466090
84,1842969827
86,272459342
86,1669712979
89,251148694
89,276018078
89,8583339902
89,251149729
91,276524408
91,10131942154
91,804297276
91,805075603
93,155521820
93,565473752
97,36410070
97,3809337571
97,8420996033
102,43400613
102,6145985920
105,1840022356
105,3856467557
108,6321753890
108,7874942020
112,1677796434
112,251150004
115,251148337
115,8064811481
115,573803596
115,804322535
117,6536640153
117,10131942146
117,3607367661
119,357217930
119,805901573
122,821909453
125,251114644
125,251115327
125,357483587
125,251120756
127,251119972
129,4195166425
129,4195166421
131,6321753886
132,2410800187
132,153799143
135,251147380
135,2146155915
137,2149932782
137,3633024100
139,828109873
139,9892016460
139,582683799
139,357218402
139,638499613
142,36410492
143,36433261
143,2297377191
147,251115293
147,36408673
147,6164683725
147,572684539
151,6131714090
151,6131714091
154,2352582756
154,399204289
158,7871414786
158,4713303340
160,153799150
160,9046996467
162,567064398
162,4179497343
162,989163704
164,365373255
164,155501630
164,5581259109
169,250679203
169,819929841
169,250678859
169,6939406197
173,7229807073
173,3217770292
175,251110819
175,6897170564
175,251110816
177,952669332
179,7023212209
179,5465573640
181,1305739807
181,1171066982
183,294536433
186,365373695
186,365374402
188,357254517
188,6351359526
190,153791599
190,988989347
198,251109645
198,2062506602
198,8445978240
198,250692401
200,6281867408
200,1211280648
200,2296291519
200,838712128
207,6351359523
208,357255317
208,10151963675
208,510488924
210,365131334
210,988757781
214,250664454
214,251140818
214,6742071240
216,2318403662
216,7214467399
218,250691827
218,250702474
218,250700142
220,6220792258
221,574812197
221,8445978239
228,1174962706
228,668992246
228,262413077
230,652688299
230,951713740
230,7331500784
232,962356785
232,952764144
232,6355624058
232,8212395770
232,360079251
234,250714051
234,97788195
234,597677303
234,95663420
237,4238774499
237,213006831
243,445393555
243,1374277430
248,355620571
250,98303894
250,7608268128
250,250922398
250,358465079
252,358464212
252,358464160
252,97788471
252,358465449
261,152950258
261,3127222347
261,1580970852
263,272563468
263,152806682
263,8744664680
265,251137967
265,251140901
270,1955394123
270,6390445794
270,1294018429
270,250720245
272,8993558378
272,8993558379
274,250717184
274,358483881
274,314862169
276,515962418
276,250717176
276,516020609
276,250717178
278,347498168
278,1052495300
280,347434823
280,5610732646
282,8113207733
282,347434009
282,6342888025
282,1285517623
289,598498294
289,598498277
292,584358272
292,6764928337
294,155488516
294,360124100
297,566620950
297,3550574298
297,3907743497
299,304824743
299,3746268827
302,360033064
302,619352458
302,250719484
302,3206655517
304,314861336
305,548617079
307,347433886
307,533913737
309,347492399
309,6901798365
311,7229011616
311,1285491933
311,6196285009
318,155491049
318,8473909272
318,155489788
318,3760801648
321,153765837
321,7663248235
325,411798636
325,304824615
327,315068804
329,564890835
329,6348360304
333,1292305523
333,35488413
333,6552777311
335,6279842645
335,9676967442
335,2965316534
339,338484240
339,338484231
342,3764764447
342,3764764448
346,599162401
346,8080740346
346,2192311336
350,4357835534
350,8522000592
353,6279680545
353,360031401
353,524144324
355,359103011
355,3095197570
358,597692693
358,1305700915
358,3105638878
358,2302094979
361,3811346974
361,4237796481
367,6056031388
367,2786683259
369,272965172
369,360145390
371,303118728
371,304549819
373,153775097
373,303116017
375,8522014525
375,6141158210
375,4548837668
377,9506549098
379,1838193525
379,3174415758
379,360030156
379,3890238706
381,519955061
384,4047540128
384,2186462803
387,8620746935
387,8620746932
389,5693846355
389,5656215424
389,3397245095
393,272965193
393,4872087114
397,153845102
397,2804854714
399,283566919
402,2052491287
402,5664734927
402,3149087980
404,359103335
404,6355929641
404,361374909
407,360927855
407,5453963413
410,150563272
410,2338147770
410,360000059
412,559938648
412,1789031233
412,36645011
412,359999214
415,577419535
415,577419530
418,294184359
418,6181491316
423,304546351
424,304545813
424,304546360
427,35488370
427,534798760
429,656656246
429,1652750337
431,3916865350
431,5564287072
431,2197786009
433,8925242198
435,559494652
435,559494659
435,939569797
437,3127007821
437,6901904010
437,7124267898
441,294145226
441,938502038
444,9888048510
447,360083541
447,6312819170
449,311702528
449,537542394
451,35488354
451,330727068
451,412346065
451,522148495
453,6362191689
453,6362289690
453,1125240919
455,5630846013
455,5630846011
461,294114688
461,360006487
464,7961788473
464,3395638295
466,7961788474
466,984771986
468,365311012
468,7961882706
468,1849643026
470,9888048506
470,9888048491
472,364664871
472,656260055
475,656415165
475,656415304
475,4495207709
475,656415259
475,656415296
477,537549856
477,4511478858
479,656656253
479,6532093938
482,153871218
482,360020256
484,250929192
484,153872014
484,153873215
484,966278539
486,7895164206
486,6148063153
486,363984897
486,363984889
488,966314702
490,566679103
492,360011644
494,6214463046
494,984639848
496,600919204
496,3659642593
498,736546855
498,3901361257
502,4102664148
502,4102664149
508,153845006
508,960933558
511,155570772
511,290732710
511,4494253020
511,939228168
514,155584020
514,360021897
514,966199812
514,246587961
516,638733560
516,8080790286
518,6193836671
518,965324283
518,966153833
519,363972646
519,968962553
519,363972551
521,2264256718
521,2264256753
523,737260647
531,1180722170
533,559981014
533,538492355
535,559981005
535,960933537
537,3647297316
539,280572805
539,9492760846
539,4494253032
539,9039105817
541,155578058
541,9754284214
544,6213489339
545,6122403704
545,6122403706
547,279591116
547,363970709
552,663736337
554,280562373
556,279593180
556,559984203
558,4003904536
558,559984270
558,280565535
560,663420279
560,663420285
562,155586576
562,3659672680
565,6951697728
565,6951697725
567,279591449
567,972481643
571,11199095519
571,11199141241
573,280556440
573,279596089
574,279596234
574,8562130407
576,614393755
576,1037445372
578,35487997
578,3750576439
578,3659656280
578,973016840
578,973017226
580,11158410258
580,10302230348
582,360224583
582,6193856004
584,279591661
584,6131362077
584,360194250
588,5492295752
588,936539388
588,338489173
591,9002190809
591,338488739
593,662411193
593,6117170048
595,615901147
598,279592740
598,585200697
598,662948268
600,973037227
600,279592453
602,360215100
602,279592213
602,360216930
604,360196238
604,3659672696
606,279591918
606,279591921
608,330844768
610,280851900
610,6122124143
612,35487986
612,360200740
612,360200725
612,360199439
614,360201326
614,2320157557
616,952161852
616,952161551
617,5218269701
617,6704527141
619,1371124968
619,6195379250
621,330844702
622,1539636992
622,1768139004
624,35487981
624,360200670
629,8700270246
629,8700270225
631,365388314
631,278009603
633,280851929
633,6915877615
635,280856889
635,280852178
637,8700270282
637,155867049
637,8700263915
639,4247776576
639,4247776522
641,5436315656
641,5436315640
643,913575819
643,913575909
645,6086591549
645,620791698
647,155589682
647,273145143
647,273144940
649,7655163080
649,7655163057
651,364329641
651,918553570
652,6086591533
