highway,lanelength,proportion
motorway,399165.86199999996,0.14656961610778277
motorway_link,152333.718,0.05593538098589012
primary,676977.931,0.24857936238072148
primary_link,51389.184,0.018869582015939565
road,6250.027999999999,0.002294946266278887
secondary,1157340.223,0.4249634759377437
secondary_link,32293.682,0.011857909265414123
trunk,222618.789,0.0817433391688929
trunk_link,25018.094,0.009186387871336613
