gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,highway,ref,nodeID,geometry,lanecapacity
11,10,None,None,False,328.424,70,1685397273,37.9398204,23.6442773,2,23.6442773,37.9398204,,,946,POINT (23.6442773 37.9398204),2800
11,11,None,None,False,1769.32,72,274961625,37.9390416,23.6482135,3,23.6482135,37.9390416,,,941,POINT (23.6482135 37.9390416),4200
11,11,None,None,False,1769.32,72,276018604,37.9394419,23.6486866,3,23.6486866,37.9394419,traffic_signals,,942,POINT (23.6486866 37.9394419),4200
11,12,None,None,False,2329.18,74,446252628,37.9393386,23.6608832,2,23.6608832,37.9393386,,,951,POINT (23.6608832 37.9393386),2800
11,12,None,None,False,2329.18,74,293256647,37.9394936,23.661745,2,23.661745,37.9394936,,,1025,POINT (23.661745 37.9394936),2800
11,22,None,None,False,18.516,82,802432837,37.9343468,23.7517374,3,23.7517374,37.9343468,,,2119,POINT (23.7517374 37.9343468),4200
11,22,None,None,False,18.516,82,5390853181,37.9377628,23.7518456,3,23.7518456,37.9377628,,,2536,POINT (23.7518456 37.9377628),4200
11,22,None,None,False,18.516,82,3856466958,37.9397527,23.7506325,3,23.7506325,37.9397527,,,2780,POINT (23.7506325 37.9397527),4200
11,23,None,None,False,98.029,84,270466090,37.9334119,23.7569732,3,23.7569732,37.9334119,,,879,POINT (23.7569732 37.9334119),5400
11,23,None,None,False,98.029,84,1842969827,37.9360712,23.7586494,3,23.7586494,37.9360712,,,1985,POINT (23.7586494 37.9360712),5400
12,8,None,None,False,152.076,86,272459342,37.9435106,23.6212207,4,23.6212207,37.9435106,,,899,POINT (23.6212207 37.9435106),7200
12,8,None,None,False,152.076,86,1669712979,37.9418014,23.6220318,1,23.6220318,37.9418014,,E1,2414,POINT (23.6220318 37.9418014),1800
12,10,None,None,False,18.724,89,251148694,37.9454455,23.6424558,4,23.6424558,37.9454455,,,782,POINT (23.6424558 37.9454455),5600
12,10,None,None,False,18.724,89,276018078,37.9402892,23.6446823,4,23.6446823,37.9402892,traffic_signals,,795,POINT (23.6446823 37.9402892),5600
12,10,None,None,False,18.724,89,8583339902,37.9443103,23.6445379,4,23.6445379,37.9443103,,,803,POINT (23.6445379 37.9443103),5600
12,10,None,None,False,18.724,89,251149729,37.9415665,23.6422552,4,23.6422552,37.9415665,,,787,POINT (23.6422552 37.9415665),5600
12,11,None,None,False,744.691,91,276524408,37.9429641,23.6470196,4,23.6470196,37.9429641,traffic_signals,,777,POINT (23.6470196 37.9429641),6300
12,11,None,None,False,744.691,91,10131942154,37.9438164,23.6523901,1,23.6523901,37.9438164,,,3146,POINT (23.6523901 37.9438164),1400
12,11,None,None,False,744.691,91,804297276,37.9471881,23.6459711,3,23.6459711,37.9471881,,,2131,POINT (23.6459711 37.9471881),2800
12,11,None,None,False,744.691,91,805075603,37.9412315,23.6502169,3,23.6502169,37.9412315,crossing,,948,POINT (23.6502169 37.9412315),4200
12,12,None,None,False,559.86,93,155521820,37.9441531,23.6636156,3,23.6636156,37.9441531,,,429,POINT (23.6636156 37.9441531),6000
12,12,None,None,False,559.86,93,565473752,37.9435331,23.6580259,3,23.6580259,37.9435331,,,1787,POINT (23.6580259 37.9435331),4200
12,15,None,None,False,45.27,97,36410070,37.9427466,23.6846777,4,23.6846777,37.9427466,,,84,POINT (23.6846777 37.9427466),7200
12,15,None,None,False,45.27,97,3809337571,37.9415399,23.6870099,3,23.6870099,37.9415399,,,2777,POINT (23.6870099 37.9415399),5400
12,15,None,None,False,45.27,97,8420996033,37.9406913,23.690574,1,23.690574,37.9406913,,,445,POINT (23.690574 37.9406913),2400
12,20,None,None,False,1096.064,102,43400613,37.941059,23.7312745,2,23.7312745,37.941059,,,152,POINT (23.7312745 37.941059),4200
12,20,None,None,False,1096.064,102,6145985920,37.9452211,23.7345387,3,23.7345387,37.9452211,,,154,POINT (23.7345387 37.9452211),4200
12,22,None,None,False,431.768,105,1840022356,37.9461258,23.747296,3,23.747296,37.9461258,,,739,POINT (23.747296 37.9461258),4200
12,22,None,None,False,431.768,105,3856467557,37.9401061,23.7504025,3,23.7504025,37.9401061,,,2781,POINT (23.7504025 37.9401061),4200
12,35,None,None,False,7924.505,108,6321753890,37.9471025,23.8647125,3,23.8647125,37.9471025,,,2968,POINT (23.8647125 37.9471025),5400
12,35,None,None,False,7924.505,108,7874942020,37.9417973,23.8672272,1,23.8672272,37.9417973,,,3072,POINT (23.8672272 37.9417973),1800
13,9,None,None,False,160.924,112,1677796434,37.949148,23.6360871,4,23.6360871,37.949148,,,799,POINT (23.6360871 37.949148),6400
13,9,None,None,False,160.924,112,251150004,37.9486772,23.6358576,3,23.6358576,37.9486772,,,800,POINT (23.6358576 37.9486772),5400
13,11,None,None,False,1116.024,115,251148337,37.9483962,23.6509343,4,23.6509343,37.9483962,traffic_signals,,776,POINT (23.6509343 37.9483962),7500
13,11,None,None,False,1116.024,115,8064811481,37.9485398,23.6468599,3,23.6468599,37.9485398,,,2433,POINT (23.6468599 37.9485398),5000
13,11,None,None,False,1116.024,115,573803596,37.9485348,23.6543411,3,23.6543411,37.9485348,,,1207,POINT (23.6543411 37.9485348),4200
13,11,None,None,False,1116.024,115,804322535,37.9518412,23.6472149,3,23.6472149,37.9518412,,,770,POINT (23.6472149 37.9518412),4200
