,gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total
0,0,0,None,None,37.8541518,37.861314126829264,23.545631500000002,23.55471725526316,0.0
1,1,0,None,None,37.861314126829264,37.86847645365853,23.545631500000002,23.55471725526316,0.0
2,2,0,None,None,37.86847645365853,37.875638780487805,23.545631500000002,23.55471725526316,0.0
3,3,0,None,None,37.875638780487805,37.88280110731707,23.545631500000002,23.55471725526316,0.0
4,4,0,None,None,37.88280110731707,37.88996343414634,23.545631500000002,23.55471725526316,0.0
5,5,0,None,None,37.88996343414634,37.897125760975605,23.545631500000002,23.55471725526316,0.0
6,6,0,None,None,37.897125760975605,37.90428808780488,23.545631500000002,23.55471725526316,0.0
7,7,0,None,None,37.90428808780488,37.911450414634146,23.545631500000002,23.55471725526316,0.0
8,8,0,None,None,37.911450414634146,37.91861274146341,23.545631500000002,23.55471725526316,0.0
9,9,0,None,None,37.91861274146341,37.92577506829268,23.545631500000002,23.55471725526316,0.0
10,10,0,None,None,37.92577506829268,37.93293739512195,23.545631500000002,23.55471725526316,0.0
11,11,0,None,None,37.93293739512195,37.94009972195122,23.545631500000002,23.55471725526316,0.0
12,12,0,None,None,37.94009972195122,37.94726204878049,23.545631500000002,23.55471725526316,0.0
13,13,0,None,None,37.94726204878049,37.954424375609754,23.545631500000002,23.55471725526316,0.0
14,14,0,None,None,37.954424375609754,37.96158670243902,23.545631500000002,23.55471725526316,0.0
15,15,0,None,None,37.96158670243902,37.968749029268295,23.545631500000002,23.55471725526316,0.0
16,16,0,None,None,37.968749029268295,37.97591135609756,23.545631500000002,23.55471725526316,0.0
17,17,0,None,None,37.97591135609756,37.98307368292683,23.545631500000002,23.55471725526316,0.0
18,18,0,None,None,37.98307368292683,37.990236009756096,23.545631500000002,23.55471725526316,0.0
19,19,0,None,None,37.990236009756096,37.99739833658536,23.545631500000002,23.55471725526316,0.0
20,20,0,None,None,37.99739833658536,38.00456066341464,23.545631500000002,23.55471725526316,0.0
21,21,0,None,None,38.00456066341464,38.0117229902439,23.545631500000002,23.55471725526316,0.0
22,22,0,None,None,38.0117229902439,38.01888531707317,23.545631500000002,23.55471725526316,0.0
23,23,0,None,None,38.01888531707317,38.02604764390244,23.545631500000002,23.55471725526316,0.0
24,24,0,None,None,38.02604764390244,38.033209970731704,23.545631500000002,23.55471725526316,0.0
25,25,0,None,None,38.033209970731704,38.04037229756098,23.545631500000002,23.55471725526316,0.0
26,26,0,None,None,38.04037229756098,38.047534624390245,23.545631500000002,23.55471725526316,2400.0
27,27,0,None,None,38.047534624390245,38.05469695121951,23.545631500000002,23.55471725526316,0.0
28,28,0,None,None,38.05469695121951,38.06185927804878,23.545631500000002,23.55471725526316,0.0
29,29,0,None,None,38.06185927804878,38.06902160487805,23.545631500000002,23.55471725526316,0.0
30,30,0,None,None,38.06902160487805,38.07618393170732,23.545631500000002,23.55471725526316,0.0
31,31,0,None,None,38.07618393170732,38.08334625853659,23.545631500000002,23.55471725526316,22400.0
32,32,0,None,None,38.08334625853659,38.09050858536585,23.545631500000002,23.55471725526316,0.0
33,33,0,None,None,38.09050858536585,38.09767091219512,23.545631500000002,23.55471725526316,0.0
34,34,0,None,None,38.09767091219512,38.104833239024394,23.545631500000002,23.55471725526316,0.0
35,35,0,None,None,38.104833239024394,38.11199556585366,23.545631500000002,23.55471725526316,0.0
36,36,0,None,None,38.11199556585366,38.11915789268293,23.545631500000002,23.55471725526316,0.0
37,37,0,None,None,38.11915789268293,38.126320219512195,23.545631500000002,23.55471725526316,0.0
38,38,0,None,None,38.126320219512195,38.13348254634147,23.545631500000002,23.55471725526316,0.0
39,39,0,None,None,38.13348254634147,38.140644873170736,23.545631500000002,23.55471725526316,0.0
40,40,0,None,None,38.140644873170736,38.1478072,23.545631500000002,23.55471725526316,0.0
41,0,1,None,None,37.8541518,37.861314126829264,23.55471725526316,23.563803010526318,0.0
42,1,1,None,None,37.861314126829264,37.86847645365853,23.55471725526316,23.563803010526318,0.0
43,2,1,None,None,37.86847645365853,37.875638780487805,23.55471725526316,23.563803010526318,0.0
44,3,1,None,None,37.875638780487805,37.88280110731707,23.55471725526316,23.563803010526318,0.0
45,4,1,None,None,37.88280110731707,37.88996343414634,23.55471725526316,23.563803010526318,0.0
46,5,1,None,None,37.88996343414634,37.897125760975605,23.55471725526316,23.563803010526318,0.0
47,6,1,None,None,37.897125760975605,37.90428808780488,23.55471725526316,23.563803010526318,0.0
48,7,1,None,None,37.90428808780488,37.911450414634146,23.55471725526316,23.563803010526318,0.0
49,8,1,None,None,37.911450414634146,37.91861274146341,23.55471725526316,23.563803010526318,0.0
50,9,1,None,None,37.91861274146341,37.92577506829268,23.55471725526316,23.563803010526318,0.0
51,10,1,None,None,37.92577506829268,37.93293739512195,23.55471725526316,23.563803010526318,0.0
52,11,1,None,None,37.93293739512195,37.94009972195122,23.55471725526316,23.563803010526318,0.0
53,12,1,None,None,37.94009972195122,37.94726204878049,23.55471725526316,23.563803010526318,0.0
54,13,1,None,None,37.94726204878049,37.954424375609754,23.55471725526316,23.563803010526318,0.0
55,14,1,None,None,37.954424375609754,37.96158670243902,23.55471725526316,23.563803010526318,0.0
56,15,1,None,None,37.96158670243902,37.968749029268295,23.55471725526316,23.563803010526318,5000.0
57,16,1,None,None,37.968749029268295,37.97591135609756,23.55471725526316,23.563803010526318,0.0
58,17,1,None,None,37.97591135609756,37.98307368292683,23.55471725526316,23.563803010526318,0.0
