,Unnamed: 0,gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total,node_count,lane_length,percent_residential_roads_(by_length)
0,5,15,2,,,37.96158670243902,37.968749029268295,23.56380301052632,23.572888765789475,15800.0,3,151.66799999999998,None
1,6,30,2,,,38.06902160487805,38.07618393170732,23.56380301052632,23.572888765789475,5600.0,2,2225.866,None
2,9,15,4,,,37.96158670243902,37.968749029268295,23.581974521052636,23.59106027631579,32400.0,6,8028.942000000001,None
3,10,25,4,,,38.0332099707317,38.04037229756098,23.581974521052636,23.59106027631579,8600.0,1,3552.9600000000005,None
4,11,26,4,,,38.04037229756098,38.047534624390245,23.581974521052636,23.59106027631579,84200.0,19,8954.447,None
5,12,27,4,,,38.047534624390245,38.05469695121951,23.581974521052636,23.59106027631579,4200.0,1,126.287,None
6,13,28,4,,,38.05469695121951,38.06185927804878,23.581974521052636,23.59106027631579,8400.0,2,939.167,None
7,14,30,4,,,38.06902160487805,38.07618393170732,23.581974521052636,23.59106027631579,22400.0,8,3525.7,None
8,15,15,5,,,37.96158670243902,37.968749029268295,23.59106027631579,23.600146031578948,7200.0,2,2309.7739999999994,None
9,16,17,5,,,37.97591135609756,37.98307368292683,23.59106027631579,23.600146031578948,46800.0,12,13291.150999999998,None
10,17,22,5,,,38.0117229902439,38.01888531707317,23.59106027631579,23.600146031578948,16800.0,3,1027.542,None
11,18,24,5,,,38.02604764390244,38.0332099707317,23.59106027631579,23.600146031578948,57600.0,7,1474.235,None
12,19,28,5,,,38.05469695121951,38.06185927804878,23.59106027631579,23.600146031578948,25200.0,6,3153.228000000001,None
13,20,30,5,,,38.06902160487805,38.07618393170732,23.59106027631579,23.600146031578948,15400.0,5,6405.31,None
14,21,13,6,,,37.94726204878049,37.95442437560976,23.600146031578948,23.609231786842106,3600.0,1,0.0,None
15,22,15,6,,,37.96158670243902,37.968749029268295,23.600146031578948,23.609231786842106,101900.0,21,22.128,None
16,23,16,6,,,37.968749029268295,37.97591135609756,23.600146031578948,23.609231786842106,26200.0,5,5149.608,None
17,24,21,6,,,38.00456066341464,38.0117229902439,23.600146031578948,23.609231786842106,36000.0,9,242.15999999999997,None
18,25,22,6,,,38.0117229902439,38.01888531707317,23.600146031578948,23.609231786842106,59400.0,12,242.16,None
19,26,30,6,,,38.06902160487805,38.07618393170732,23.600146031578948,23.609231786842106,7000.0,3,1342.398,None
20,27,33,6,,,38.09050858536585,38.09767091219512,23.600146031578948,23.609231786842106,60000.0,8,5240.401,None
21,28,13,7,,,37.94726204878049,37.95442437560976,23.609231786842106,23.618317542105263,32400.0,6,6313.374000000002,None
22,29,14,7,,,37.95442437560976,37.96158670243902,23.609231786842106,23.618317542105263,66400.0,12,97.604,None
23,30,15,7,,,37.96158670243902,37.968749029268295,23.609231786842106,23.618317542105263,78100.0,14,17.616,None
24,31,21,7,,,38.00456066341464,38.0117229902439,23.609231786842106,23.618317542105263,9600.0,2,731.9359999999999,None
25,32,22,7,,,38.0117229902439,38.01888531707317,23.609231786842106,23.618317542105263,9600.0,2,1136.222,None
26,33,24,7,,,38.02604764390244,38.0332099707317,23.609231786842106,23.618317542105263,13400.0,2,7835.894999999995,None
27,34,29,7,,,38.06185927804878,38.06902160487805,23.609231786842106,23.618317542105263,14000.0,3,2340.3480000000013,None
28,35,30,7,,,38.06902160487805,38.07618393170732,23.609231786842106,23.618317542105263,11200.0,4,1821.124,None
29,36,33,7,,,38.09050858536585,38.09767091219512,23.609231786842106,23.618317542105263,28000.0,2,4080.228,None
30,37,12,8,,,37.94009972195122,37.94726204878049,23.618317542105263,23.62740329736842,54000.0,12,152.07600000000002,None
31,38,13,8,,,37.94726204878049,37.95442437560976,23.618317542105263,23.62740329736842,54000.0,14,3768.106,None
32,39,29,8,,,38.06185927804878,38.06902160487805,23.618317542105263,23.62740329736842,15400.0,4,4233.957999999999,None
33,40,32,8,,,38.08334625853659,38.09050858536585,23.618317542105263,23.62740329736842,108000.0,13,18089.774,None
34,41,33,8,,,38.09050858536585,38.09767091219512,23.618317542105263,23.62740329736842,4000.0,1,0.0,None
35,42,11,9,,,37.93293739512195,37.94009972195122,23.62740329736842,23.636489052631585,8400.0,4,24.814,None
36,43,12,9,,,37.94009972195122,37.94726204878049,23.62740329736842,23.636489052631585,90000.0,16,6175.386,None
37,44,13,9,,,37.94726204878049,37.95442437560976,23.62740329736842,23.636489052631585,45800.0,9,160.924,None
38,45,14,9,,,37.95442437560976,37.96158670243902,23.62740329736842,23.636489052631585,8400.0,2,5814.514000000002,None
39,46,10,10,,,37.92577506829268,37.93293739512195,23.636489052631585,23.64557480789474,8400.0,2,2070.321999999999,None
40,47,11,10,,,37.93293739512195,37.94009972195122,23.636489052631585,23.64557480789474,30800.0,8,328.424,None
41,48,12,10,,,37.94009972195122,37.94726204878049,23.636489052631585,23.64557480789474,56000.0,12,18.724,None
42,49,13,10,,,37.94726204878049,37.95442437560976,23.636489052631585,23.64557480789474,34800.0,6,2975.0,None
43,50,15,10,,,37.96158670243902,37.968749029268295,23.636489052631585,23.64557480789474,39200.0,8,1585.6270000000004,None
44,51,16,10,,,37.968749029268295,37.97591135609756,23.636489052631585,23.64557480789474,19000.0,4,1134.174,None
45,52,17,10,,,37.97591135609756,37.98307368292683,23.636489052631585,23.64557480789474,4200.0,1,499.568,None
46,53,22,10,,,38.0117229902439,38.01888531707317,23.636489052631585,23.64557480789474,37000.0,5,1328.2939999999996,None
