gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,KM
0,22,None,None,2167.2980000000002
0,23,None,None,381.70000000000005
0,35,None,None,2076.784
1,22,None,None,10178.359999999999
1,23,None,None,3878.8489999999997
2,23,None,None,8452.759
2,24,None,None,1798.783
2,35,None,None,1933.0239999999997
3,20,None,None,12501.965000000002
3,23,None,None,10180.259999999998
3,35,None,None,3572.01
4,22,None,None,9920.938
4,23,None,None,4368.856
4,36,None,None,1350.0699999999997
5,19,None,None,8001.706999999999
5,22,None,None,4993.786
5,23,None,None,5569.484
5,24,None,None,2203.499
5,25,None,None,863.7240000000002
5,36,None,None,8063.926999999999
5,37,None,None,1654.6390000000001
6,19,None,None,3217.455
6,22,None,None,8800.065
7,18,None,None,7383.674
7,19,None,None,5292.204000000001
7,20,None,None,3808.4799999999996
7,21,None,None,7470.464
7,22,None,None,9078.406
7,37,None,None,2972.935999999999
8,17,None,None,7060.68
8,18,None,None,921.1759999999999
8,21,None,None,10344.527999999998
8,22,None,None,6540.061999999999
8,23,None,None,6500.23
8,36,None,None,8893.607999999997
9,16,None,None,5408.535999999997
9,17,None,None,2595.1420000000003
9,19,None,None,2415.7380000000003
9,21,None,None,5652.815
9,37,None,None,3232.2129999999993
10,10,None,None,2070.321999999999
10,15,None,None,13243.529999999997
10,16,None,None,3335.0860000000002
10,17,None,None,7896.6979999999985
10,18,None,None,4191.7699999999995
10,19,None,None,2197.987
10,21,None,None,2760.413
10,22,None,None,5255.27
10,23,None,None,5310.130999999999
11,9,None,None,1959.7240000000004
11,10,None,None,13035.782000000003
11,11,None,None,3202.66
11,12,None,None,2545.102000000001
11,15,None,None,4090.0820000000003
11,16,None,None,11998.064
11,18,None,None,3452.568
11,20,None,None,2022.0010000000002
11,21,None,None,6267.673999999999
11,22,None,None,3842.968
11,23,None,None,2984.6150000000002
12,8,None,None,4780.650000000001
12,9,None,None,6175.386
12,10,None,None,6582.6
12,11,None,None,4815.661
12,12,None,None,2810.744
12,13,None,None,20848.77
12,14,None,None,13860.333999999999
12,15,None,None,15557.725
12,16,None,None,8095.116999999999
12,17,None,None,7339.908
12,18,None,None,439.702
12,20,None,None,3209.254
12,21,None,None,2688.179
12,22,None,None,3317.494
12,23,None,None,1905.7519999999995
12,35,None,None,8015.972999999999
13,7,None,None,6313.374000000002
13,8,None,None,3768.106
13,9,None,None,4203.948
13,10,None,None,2975.0
13,11,None,None,13477.521999999999
13,12,None,None,9024.223
13,13,None,None,3865.33
13,14,None,None,3171.758
13,17,None,None,944.4799999999999
13,18,None,None,4378.125999999999
13,21,None,None,10312.612
13,22,None,None,231.696
13,24,None,None,6799.238
13,34,None,None,1312.389
13,35,None,None,630.333
14,7,None,None,10637.919999999998
14,9,None,None,5814.514000000002
14,11,None,None,7753.943999999999
14,13,None,None,1277.9279999999999
14,14,None,None,17028.261
14,15,None,None,2935.32
14,16,None,None,469.157
14,17,None,None,9076.105000000001
14,18,None,None,9591.880000000003
14,19,None,None,16008.676
14,20,None,None,7908.197
14,21,None,None,8486.507999999998
14,25,None,None,7246.217999999999
14,34,None,None,2085.92
15,1,None,None,2373.9580000000005
15,2,None,None,4719.067999999999
15,4,None,None,8028.942000000001
15,5,None,None,2309.7739999999994
15,6,None,None,10911.916000000001
15,7,None,None,17984.416
15,10,None,None,10208.105
15,11,None,None,5371.413
15,14,None,None,6621.097
15,16,None,None,695.2620000000001
15,17,None,None,6458.759000000001
15,18,None,None,11491.197999999999
15,19,None,None,8788.532
15,20,None,None,7976.186
15,21,None,None,1980.2949999999996
15,22,None,None,5250.642
15,24,None,None,3269.327999999999
15,25,None,None,1795.505
15,26,None,None,6889.634999999999
15,33,None,None,6718.993999999995
16,6,None,None,5149.608
16,10,None,None,5115.884
16,11,None,None,6851.659000000001
16,12,None,None,4824.404
16,13,None,None,6728.181999999998
16,14,None,None,7484.296999999999
16,16,None,None,6140.770000000001
16,17,None,None,16722.039
16,18,None,None,889.8139999999999
16,20,None,None,5082.135
16,21,None,None,9566.599
16,22,None,None,11415.562
16,23,None,None,9578.306000000002
16,26,None,None,6364.495
16,27,None,None,10021.171
16,36,None,None,6616.371999999999
17,5,None,None,13291.150999999998
17,10,None,None,499.568
17,11,None,None,4588.894
17,12,None,None,12342.163000000006
17,13,None,None,13203.878999999999
17,14,None,None,19181.626
17,18,None,None,13064.49
17,19,None,None,2220.8229999999994
17,20,None,None,9388.874
17,21,None,None,264.406
17,22,None,None,6889.269
17,23,None,None,6898.231999999999
17,25,None,None,4124.57
17,26,None,None,6342.818000000001
17,27,None,None,4238.2699999999995
17,35,None,None,6768.112
18,15,None,None,15745.065
18,18,None,None,14656.554
18,19,None,None,12601.909
18,20,None,None,11847.041000000001
18,22,None,None,3831.612
18,23,None,None,14611.949
18,24,None,None,6465.634
18,26,None,None,5466.571
18,29,None,None,16773.096999999998
18,35,None,None,7190.079
18,37,None,None,2853.4679999999994
19,14,None,None,11076.624
19,15,None,None,7559.138
19,16,None,None,17871.773999999998
19,18,None,None,1617.2179999999998
19,19,None,None,8984.191
19,20,None,None,15274.39
19,21,None,None,1680.1239999999993
19,22,None,None,3638.1059999999993
19,24,None,None,7689.803
19,25,None,None,13100.157
19,26,None,None,933.232
19,33,None,None,18382.005999999998
19,34,None,None,2381.35
19,35,None,None,11512.562
19,36,None,None,5571.096
20,12,None,None,6766.591000000001
20,14,None,None,10168.793
20,15,None,None,9815.56
20,16,None,None,8387.566
20,17,None,None,17914.441000000003
20,18,None,None,2071.3219999999997
20,19,None,None,4379.978999999999
20,20,None,None,7860.274
20,22,None,None,2280.9579999999996
20,23,None,None,1875.318
20,24,None,None,11173.934
20,26,None,None,4358.026
20,27,None,None,3605.495
20,30,None,None,3996.3099999999995
20,31,None,None,11784.408999999998
20,33,None,None,5597.870000000001
20,34,None,None,4666.726000000001
20,35,None,None,7358.138
20,36,None,None,3487.026
21,6,None,None,8151.411
21,7,None,None,731.9359999999999
21,11,None,None,5352.197
21,13,None,None,5071.610999999999
21,15,None,None,3859.524
21,18,None,None,18876.539999999997
21,19,None,None,1351.2799999999997
21,20,None,None,1558.048
21,23,None,None,3256.623
21,24,None,None,1219.259
21,25,None,None,7432.888000000001
21,27,None,None,8298.598
21,32,None,None,29470.726
21,33,None,None,8661.823000000002
21,35,None,None,14526.788
22,5,None,None,1027.5420000000001
22,6,None,None,13742.475999999999
22,7,None,None,1136.222
22,10,None,None,10254.557
22,11,None,None,4410.868
22,12,None,None,9653.515999999998
22,13,None,None,3417.4979999999996
22,14,None,None,607.379
22,15,None,None,96.382
22,16,None,None,9461.548
22,17,None,None,3725.3899999999994
22,18,None,None,1276.6379999999997
22,19,None,None,20860.767
22,20,None,None,16059.470000000001
22,22,None,None,5253.214
22,26,None,None,5670.236000000001
22,27,None,None,6720.314
22,28,None,None,1236.1100000000001
22,29,None,None,2592.5779999999995
22,30,None,None,13143.794
22,31,None,None,4104.964
22,32,None,None,14049.159
22,35,None,None,4256.924
23,16,None,None,3862.38
23,18,None,None,2770.9480000000003
23,19,None,None,3013.084
23,20,None,None,6100.677
23,21,None,None,2781.157
23,23,None,None,5117.852
23,26,None,None,11656.218
23,27,None,None,199.72199999999998
23,28,None,None,9239.405000000002
23,30,None,None,3626.538000000001
23,31,None,None,17361.855
23,32,None,None,17816.702
23,34,None,None,6553.343999999999
24,5,None,None,9466.368
24,7,None,None,12859.412999999997
24,16,None,None,14824.853000000003
24,17,None,None,4099.335999999999
24,18,None,None,7289.665999999999
24,19,None,None,2276.23
24,20,None,None,9098.333
24,21,None,None,1028.218
24,24,None,None,4791.026
24,25,None,None,1373.976
24,27,None,None,6252.95
24,29,None,None,2627.6720000000005
24,30,None,None,10663.197
24,31,None,None,5064.255
25,4,None,None,3552.9600000000005
25,10,None,None,11464.507999999998
25,14,None,None,4655.775999999998
25,17,None,None,6535.012000000001
25,18,None,None,1854.718
25,19,None,None,2767.9929999999995
25,20,None,None,6100.675
25,21,None,None,7103.646000000001
25,22,None,None,5994.299
25,23,None,None,4261.16
25,24,None,None,8047.29
25,25,None,None,8671.918
25,26,None,None,3393.0799999999995
25,27,None,None,6903.419
25,28,None,None,7064.2119999999995
25,30,None,None,13129.451
25,33,None,None,8238.864000000003
25,34,None,None,6266.811
26,0,None,None,5051.420000000001
26,3,None,None,8298.074
26,4,None,None,8954.447
26,14,None,None,711.532
26,15,None,None,3085.607
26,18,None,None,2973.5060000000003
26,20,None,None,3843.162
26,21,None,None,6176.079
26,22,None,None,5873.966
26,23,None,None,2123.558
26,25,None,None,7053.838999999999
26,26,None,None,5174.045
26,27,None,None,5814.6089999999995
26,28,None,None,16557.176
26,32,None,None,9234.473999999998
26,33,None,None,841.2040000000002
27,4,None,None,2464.0570000000002
27,12,None,None,2358.7140000000004
27,18,None,None,7557.830000000001
27,20,None,None,2180.5699999999997
27,21,None,None,12267.081
27,22,None,None,6863.124
27,24,None,None,1574.2809999999997
27,25,None,None,3684.922
27,26,None,None,17600.824
27,28,None,None,4477.405999999999
27,29,None,None,11180.133
27,30,None,None,5116.584
27,32,None,None,5725.974000000002
27,33,None,None,1811.115999999999
27,34,None,None,2001.1899999999996
27,35,None,None,6291.762000000001
28,4,None,None,1245.5410000000002
28,5,None,None,3838.6020000000008
28,11,None,None,1651.852
28,12,None,None,24933.810000000005
28,20,None,None,3315.2159999999994
28,21,None,None,4258.158
28,22,None,None,12918.664
28,23,None,None,14041.964
28,24,None,None,10726.506000000001
28,25,None,None,8443.058
28,26,None,None,3257.676
28,27,None,None,2936.4049999999997
28,28,None,None,2251.353
28,31,None,None,1558.0330000000001
28,32,None,None,1702.8679999999997
28,34,None,None,2486.1140000000005
28,35,None,None,1621.3179999999998
28,36,None,None,1117.368
29,7,None,None,3928.514000000001
29,8,None,None,4233.957999999999
29,10,None,None,1445.324
29,11,None,None,9912.052
29,13,None,None,3794.0460000000003
29,18,None,None,4525.651000000001
29,20,None,None,10706.124
29,21,None,None,14199.107
29,22,None,None,6301.81
29,23,None,None,7828.918
29,24,None,None,1563.821
29,25,None,None,5165.138
29,29,None,None,8287.227
29,30,None,None,2905.439
29,34,None,None,714.9680000000001
30,2,None,None,2225.866
30,3,None,None,3372.946
30,4,None,None,3525.7
30,5,None,None,6405.3099999999995
30,6,None,None,1342.398
30,7,None,None,1821.1239999999998
30,14,None,None,11145.398
30,15,None,None,6395.667000000001
30,17,None,None,20119.979
30,18,None,None,11061.42
30,20,None,None,1436.2130000000002
30,21,None,None,6759.853999999999
30,23,None,None,7249.5470000000005
30,25,None,None,6765.620999999999
30,26,None,None,2640.3189999999995
30,27,None,None,1611.1670000000001
30,29,None,None,2199.8820000000005
31,0,None,None,5346.112
31,1,None,None,1058.41
31,14,None,None,32427.543999999998
31,18,None,None,2298.3960000000006
31,19,None,None,1686.563
31,20,None,None,4797.795999999999
31,21,None,None,3847.642
31,23,None,None,1630.6029999999998
31,25,None,None,6183.733
31,26,None,None,1887.0779999999995
31,27,None,None,2445.773
31,29,None,None,3221.255000000001
32,8,None,None,18089.774
32,14,None,None,3130.012
32,18,None,None,4497.012000000001
32,21,None,None,5837.4259999999995
32,23,None,None,5088.83
32,24,None,None,2528.065
32,26,None,None,14289.057999999999
32,27,None,None,1156.2559999999999
32,28,None,None,4001.5949999999993
32,29,None,None,10609.788
33,6,None,None,5240.401
33,7,None,None,4080.228
33,15,None,None,14583.276999999998
33,16,None,None,2334.0580000000004
33,19,None,None,2455.361
33,21,None,None,3363.301
33,23,None,None,831.017
33,24,None,None,3066.272
33,25,None,None,12112.301999999998
33,26,None,None,4684.161
33,27,None,None,15707.187
33,28,None,None,2161.583
33,29,None,None,1846.0240000000001
34,13,None,None,3847.636
34,21,None,None,5822.945000000001
34,29,None,None,18877.203
34,30,None,None,3969.9
34,31,None,None,2975.975
34,36,None,None,3386.864
34,37,None,None,1512.9629999999997
35,13,None,None,880.914
35,20,None,None,2447.55
35,29,None,None,23293.09
35,30,None,None,2402.508
36,23,None,None,7540.679999999999
36,30,None,None,964.9559999999999
36,31,None,None,5599.186
36,33,None,None,6655.450999999999
37,21,None,None,2211.447
37,22,None,None,1686.3839999999993
37,31,None,None,6249.3369999999995
37,34,None,None,3666.858
38,27,None,None,4176.997
39,30,None,None,1655.502
39,31,None,None,2551.89
39,32,None,None,18510.51
39,33,None,None,1410.225
39,34,None,None,2978.5029999999997
40,31,None,None,887.7450000000001
40,32,None,None,1014.812
40,33,None,None,370.176
