,osmid,y,x,street_cou,lon,lat,ref,highway,geometry
796,188872078,45.5544016,-73.8095609,4,-73.8095609,45.5544016,,motorway_junction,POINT (-73.80956089999999 45.5544016)
797,254472723,45.5542347,-73.8087241,4,-73.8087241,45.5542347,,motorway_junction,POINT (-73.80872410000001 45.5542347)
798,188872122,45.5506646,-73.8054967,3,-73.8054967,45.5506646,,,POINT (-73.80549670000001 45.5506646)
799,188872151,45.5476316,-73.8021999,3,-73.8021999,45.5476316,,,POINT (-73.80219990000001 45.5476316)
800,255022314,45.5449379,-73.7992761,3,-73.7992761,45.5449379,,,POINT (-73.7992761 45.5449379)
801,188872285,45.5691782,-73.7614537,3,-73.7614537,45.5691782,22,motorway_junction,POINT (-73.7614537 45.5691782)
802,369608054,45.5724197,-73.7554331,4,-73.7554331,45.5724197,,,POINT (-73.7554331 45.5724197)
803,582743511,45.5799761,-73.7443298,3,-73.7443298,45.5799761,,,POINT (-73.7443298 45.5799761)
804,188877087,45.5435381,-73.796841,3,-73.796841,45.5435381,15,motorway_junction,POINT (-73.796841 45.5435381)
805,583079880,45.5640571,-73.8191653,4,-73.8191653,45.5640571,17,motorway_junction,POINT (-73.81916529999999 45.5640571)
806,189725364,45.5427151,-73.6627785,2,-73.6627785,45.5427151,,traffic_signals,POINT (-73.6627785 45.5427151)
807,2431664738,45.5408235,-73.6639338,3,-73.6639338,45.5408235,,,POINT (-73.6639338 45.5408235)
808,191394327,45.5515107,-73.6555066,4,-73.6555066,45.5515107,,,POINT (-73.6555066 45.5515107)
809,225961733,45.5459456,-73.6395045,3,-73.6395045,45.5459456,,,POINT (-73.6395045 45.5459456)
810,191394388,45.5545271,-73.6540687,4,-73.6540687,45.5545271,,traffic_signals,POINT (-73.6540687 45.5545271)
811,3243349289,45.5551901,-73.6681186,4,-73.6681186,45.5551901,,,POINT (-73.6681186 45.5551901)
812,3243344571,45.5583147,-73.6670345,4,-73.6670345,45.5583147,,,POINT (-73.6670345 45.5583147)
813,226055300,45.5494411,-73.6361298,3,-73.6361298,45.5494411,,,POINT (-73.63612980000001 45.5494411)
814,431246535,45.5593211,-73.6512229,4,-73.6512229,45.5593211,,traffic_signals,POINT (-73.65122289999999 45.5593211)
815,191394933,45.5514007,-73.674355,1,-73.674355,45.5514007,,traffic_signals,POINT (-73.67435500000001 45.5514007)
816,391422516,45.5503712,-73.6710202,4,-73.6710202,45.5503712,,,POINT (-73.6710202 45.5503712)
817,191395170,45.5597167,-73.6716963,1,-73.6716963,45.5597167,,,POINT (-73.67169629999999 45.5597167)
818,3243344573,45.5583782,-73.6672592,4,-73.6672592,45.5583782,,,POINT (-73.6672592 45.5583782)
819,194165769,45.5764222,-73.8883111,3,-73.8883111,45.5764222,14,motorway_junction,POINT (-73.8883111 45.5764222)
820,583072924,45.5805484,-73.878546,3,-73.878546,45.5805484,,,POINT (-73.878546 45.5805484)
821,1766493420,45.5841892,-73.8753434,3,-73.8753434,45.5841892,,,POINT (-73.87534340000001 45.5841892)
822,194165787,45.5927276,-73.8682748,3,-73.8682748,45.5927276,16,motorway_junction,POINT (-73.86827479999999 45.5927276)
823,194165791,45.6056837,-73.8575103,3,-73.8575103,45.6056837,,,POINT (-73.8575103 45.6056837)
824,530782707,45.6143223,-73.85169,3,-73.85169,45.6143223,19,motorway_junction,POINT (-73.85169 45.6143223)
825,194165806,45.6210977,-73.8490453,4,-73.8490453,45.6210977,20,motorway_junction,POINT (-73.8490453 45.6210977)
