,gridID_lat,gridID_lon,inner_grid,inner_gr_1,lanelength,fishnetID,osmid,y,x,street_cou,lon,lat,ref,highway,lanecapaci,geometry
92,1,8,None,None,45470.433,24,3688210919,45.4669733,-73.4919543,3,-73.4919543,45.4669733,,,40000.0,POINT (-73.4919543 45.4669733)
93,1,8,None,None,45470.433,24,31141827,45.4747929,-73.4986988,3,-73.4986988,45.4747929,76,motorway_junction,16000.0,POINT (-73.4986988 45.4747929)
94,1,8,None,None,45470.433,24,262070652,45.465083,-73.4941482,3,-73.4941482,45.465083,,,5500.0,POINT (-73.4941482 45.465083)
95,1,8,None,None,45470.433,24,261995690,45.4675866,-73.4878749,2,-73.4878749,45.4675866,,,6000.0,POINT (-73.48787489999999 45.4675866)
96,2,1,None,None,47696.423,25,110796375,45.4918595,-73.8519522,3,-73.8519522,45.4918595,,traffic_signals,16100.0,POINT (-73.8519522 45.4918595)
97,2,1,None,None,47696.423,25,5412431777,45.5060114,-73.8216936,3,-73.8216936,45.5060114,,,5600.0,POINT (-73.8216936 45.5060114)
98,2,1,None,None,47696.423,25,4341072885,45.5011591,-73.8143652,3,-73.8143652,45.5011591,,,5600.0,POINT (-73.8143652 45.5011591)
99,2,1,None,None,47696.423,25,604129352,45.5003672,-73.83899,3,-73.83899,45.5003672,,,9800.0,POINT (-73.83899 45.5003672)
100,2,2,None,None,28247.174000000003,26,605795761,45.5089681,-73.7622065,3,-73.7622065,45.5089681,8,motorway_junction,18000.0,POINT (-73.7622065 45.5089681)
101,2,2,None,None,28247.174000000003,26,7402172833,45.489787,-73.7694367,3,-73.7694367,45.489787,,,5500.0,POINT (-73.7694367 45.489787)
102,2,2,None,None,28247.174000000003,26,605206810,45.4878049,-73.7657501,1,-73.7657501,45.4878049,,,2800.0,POINT (-73.76575010000001 45.4878049)
103,2,2,None,None,28247.174000000003,26,98451494,45.478272,-73.7910837,3,-73.7910837,45.478272,,,4900.0,POINT (-73.7910837 45.478272)
104,2,3,None,None,76691.90499999998,27,583078007,45.4956038,-73.7449794,4,-73.7449794,45.4956038,6,motorway_junction,20000.0,POINT (-73.74497940000001 45.4956038)
105,2,3,None,None,76691.90499999998,27,4500062054,45.4938873,-73.7561317,3,-73.7561317,45.4938873,,,18000.0,POINT (-73.7561317 45.4938873)
106,2,3,None,None,76691.90499999998,27,4686563252,45.495541,-73.7539896,3,-73.7539896,45.495541,,,18000.0,POINT (-73.7539896 45.495541)
107,2,3,None,None,76691.90499999998,27,8604332286,45.4905826,-73.75007,4,-73.75007,45.4905826,60,motorway_junction,16000.0,POINT (-73.75006999999999 45.4905826)
108,2,4,None,None,79785.02000000005,28,17052789,45.4913831,-73.7013317,4,-73.7013317,45.4913831,62,motorway_junction,16000.0,POINT (-73.7013317 45.4913831)
109,2,4,None,None,79785.02000000005,28,2092720937,45.4799245,-73.6707696,1,-73.6707696,45.4799245,,,1400.0,POINT (-73.6707696 45.4799245)
110,2,4,None,None,79785.02000000005,28,245485071,45.489405,-73.685192,3,-73.685192,45.489405,,,4200.0,POINT (-73.685192 45.489405)
111,2,4,None,None,79785.02000000005,28,4065624311,45.4768143,-73.703189,3,-73.703189,45.4768143,,,5600.0,POINT (-73.70318899999999 45.4768143)
112,2,5,0,1,23961.518999999997,30,31699856,45.4875258,-73.6372779,4,-73.6372779,45.4875258,425,,15400.0,POINT (-73.6372779 45.4875258)
113,2,5,0,1,23961.518999999997,30,612118968,45.4805712,-73.6228002,4,-73.6228002,45.4805712,,,7700.0,POINT (-73.6228002 45.4805712)
114,2,5,0,1,23961.518999999997,30,8647480814,45.4853009,-73.6323453,3,-73.6323453,45.4853009,,crossing,6200.0,POINT (-73.6323453 45.4853009)
115,2,5,0,1,23961.518999999997,30,209396025,45.4896782,-73.6421285,4,-73.6421285,45.4896782,419,,12600.0,POINT (-73.6421285 45.4896782)
116,2,5,1,0,28261.771000000008,31,98427827,45.4990145,-73.6606628,4,-73.6606628,45.4990145,69,motorway_junction,20000.0,POINT (-73.6606628 45.4990145)
117,2,5,1,0,28261.771000000008,31,217741367,45.5083353,-73.6619133,1,-73.6619133,45.5083353,,,700.0,POINT (-73.66191329999999 45.5083353)
118,2,5,1,0,28261.771000000008,31,224554453,45.4941409,-73.651907,3,-73.651907,45.4941409,,,6900.0,POINT (-73.65190699999999 45.4941409)
119,2,5,1,0,28261.771000000008,31,98425546,45.5038298,-73.667148,3,-73.667148,45.5038298,,motorway_junction,8000.0,POINT (-73.667148 45.5038298)
120,2,5,1,1,20301.191999999995,32,29784714,45.500874,-73.6321966,4,-73.6321966,45.500874,,traffic_signals,16800.0,POINT (-73.6321966 45.500874)
121,2,5,1,1,20301.191999999995,32,5416283760,45.4988327,-73.6273014,3,-73.6273014,45.4988327,,,8400.0,POINT (-73.62730139999999 45.4988327)
122,2,5,1,1,20301.191999999995,32,4515093894,45.5053258,-73.6420488,4,-73.6420488,45.5053258,,,9800.0,POINT (-73.6420488 45.5053258)
123,2,5,1,1,20301.191999999995,32,209370661,45.5024582,-73.6357618,3,-73.6357618,45.5024582,,traffic_signals,9100.0,POINT (-73.6357618 45.5024582)
124,2,6,None,None,74038.786,33,4046033647,45.4794501,-73.591886,3,-73.591886,45.4794501,2,motorway_junction,26000.0,POINT (-73.591886 45.4794501)
125,2,6,None,None,74038.786,33,618066327,45.4947138,-73.5922643,1,-73.5922643,45.4947138,,,700.0,POINT (-73.5922643 45.4947138)
126,2,6,None,None,74038.786,33,229207047,45.4964621,-73.5873898,3,-73.5873898,45.4964621,,,4200.0,POINT (-73.5873898 45.4964621)
127,2,6,None,None,74038.786,33,5098156688,45.4822519,-73.5851507,4,-73.5851507,45.4822519,,traffic_signals,13000.0,POINT (-73.5851507 45.4822519)
128,2,7,0,1,6205.633,35,5414208811,45.4873222,-73.5573106,4,-73.5573106,45.4873222,,traffic_signals,21800.0,POINT (-73.55731059999999 45.4873222)
129,2,7,0,1,6205.633,35,2091616645,45.4825456,-73.558203,2,-73.558203,45.4825456,,,5600.0,POINT (-73.55820300000001 45.4825456)
130,2,7,0,1,6205.633,35,617933841,45.486981,-73.5460007,3,-73.5460007,45.486981,,,4500.0,POINT (-73.54600069999999 45.486981)
131,2,7,0,1,6205.633,35,248408559,45.4865858,-73.5495021,3,-73.5495021,45.4865858,,,12600.0,POINT (-73.5495021 45.4865858)
132,2,7,0,2,6210.182000000001,36,6713056311,45.4823852,-73.5383239,3,-73.5383239,45.4823852,,,18000.0,POINT (-73.53832389999999 45.4823852)
133,2,7,0,2,6210.182000000001,36,618066355,45.4790951,-73.5401308,1,-73.5401308,45.4790951,,,2000.0,POINT (-73.5401308 45.4790951)
134,2,7,0,2,6210.182000000001,36,617933950,45.4876091,-73.5389268,3,-73.5389268,45.4876091,2,motorway_junction,14000.0,POINT (-73.5389268 45.4876091)
135,2,7,1,0,22500.236999999997,37,208735453,45.4954423,-73.5630107,4,-73.5630107,45.4954423,,traffic_signals,25600.0,POINT (-73.56301070000001 45.4954423)
136,2,7,1,0,22500.236999999997,37,1329114156,45.493385,-73.5715745,3,-73.5715745,45.493385,4,motorway_junction,12000.0,POINT (-73.5715745 45.493385)
137,2,7,1,0,22500.236999999997,37,4685162782,45.4961414,-73.5676449,3,-73.5676449,45.4961414,,,5600.0,POINT (-73.5676449 45.4961414)
138,2,7,1,0,22500.236999999997,37,32124567,45.4914226,-73.5699429,4,-73.5699429,45.4914226,,traffic_signals,11200.0,POINT (-73.5699429 45.4914226)
139,2,7,1,1,9678.639,38,32661292,45.489059,-73.5570547,3,-73.5570547,45.489059,,traffic_signals,17200.0,POINT (-73.55705469999999 45.489059)
140,2,7,1,1,9678.639,38,617933863,45.4890542,-73.5470146,1,-73.5470146,45.4890542,,,2000.0,POINT (-73.5470146 45.4890542)
141,2,7,1,1,9678.639,38,6645916276,45.4901432,-73.5495285,3,-73.5495285,45.4901432,,,16000.0,POINT (-73.54952849999999 45.4901432)
142,2,7,1,1,9678.639,38,617933906,45.4892696,-73.5432114,1,-73.5432114,45.4892696,,,2000.0,POINT (-73.5432114 45.4892696)
143,2,7,2,0,22305.815000000002,40,29793292,45.508374,-73.5712786,4,-73.5712786,45.508374,,traffic_signals,22800.0,POINT (-73.5712786 45.508374)
144,2,7,2,0,22305.815000000002,40,426385576,45.4986378,-73.5703158,4,-73.5703158,45.4986378,,,7800.0,POINT (-73.5703158 45.4986378)
145,2,7,2,0,22305.815000000002,40,29794337,45.5075222,-73.5587233,4,-73.5587233,45.5075222,,traffic_signals,5600.0,POINT (-73.5587233 45.5075222)
146,2,7,2,0,22305.815000000002,40,29793610,45.5038379,-73.5617318,4,-73.5617318,45.5038379,,traffic_signals,8400.0,POINT (-73.5617318 45.5038379)
147,2,8,None,None,53216.86099999998,42,31150856,45.4801388,-73.5067962,3,-73.5067962,45.4801388,76,motorway_junction,18000.0,POINT (-73.5067962 45.4801388)
148,2,8,None,None,53216.86099999998,42,300080526,45.4947806,-73.5135215,1,-73.5135215,45.4947806,,,900.0,POINT (-73.5135215 45.4947806)
149,2,8,None,None,53216.86099999998,42,4971114167,45.4787065,-73.5005682,3,-73.5005682,45.4787065,,,4200.0,POINT (-73.5005682 45.4787065)
150,2,8,None,None,53216.86099999998,42,31181532,45.5040885,-73.4824753,3,-73.4824753,45.5040885,,,6000.0,POINT (-73.4824753 45.5040885)
151,3,1,None,None,7361.598000000001,43,255664304,45.5349188,-73.8196119,1,-73.8196119,45.5349188,,,2100.0,POINT (-73.8196119 45.5349188)
152,3,1,None,None,7361.598000000001,43,581075376,45.5119169,-73.8243664,1,-73.8243664,45.5119169,,stop,2100.0,POINT (-73.8243664 45.5119169)
153,3,1,None,None,7361.598000000001,43,110797216,45.5095869,-73.8191116,1,-73.8191116,45.5095869,,traffic_signals,1400.0,POINT (-73.8191116 45.5095869)
154,3,2,None,None,37665.06000000001,44,116352326,45.5148757,-73.7678463,3,-73.7678463,45.5148757,12,motorway_junction,16000.0,POINT (-73.7678463 45.5148757)
155,3,2,None,None,37665.06000000001,44,1343924161,45.5290221,-73.7827584,3,-73.7827584,45.5290221,,,3500.0,POINT (-73.78275840000001 45.5290221)
156,3,2,None,None,37665.06000000001,44,367671683,45.5398971,-73.7991189,3,-73.7991189,45.5398971,,,4900.0,POINT (-73.7991189 45.5398971)
157,3,2,None,None,37665.06000000001,44,460204237,45.5210564,-73.773533,3,-73.773533,45.5210564,,motorway_junction,10000.0,POINT (-73.773533 45.5210564)
158,3,3,None,None,21840.717000000004,45,581376601,45.537398,-73.7441305,3,-73.7441305,45.537398,,,17100.0,POINT (-73.7441305 45.537398)
159,3,3,None,None,21840.717000000004,45,2812355944,45.531705,-73.726491,3,-73.726491,45.531705,,,5400.0,POINT (-73.726491 45.531705)
160,3,3,None,None,21840.717000000004,45,4488960794,45.5139916,-73.7200015,3,-73.7200015,45.5139916,,,7200.0,POINT (-73.7200015 45.5139916)
