,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
10,4322954829,motorway,3,3089.1610000000005,100,Autoroute Félix-Leclerc,1,466406351,4612060247,2000,"LINESTRING (-73.84355549999999 45.4561222, -73.84226 45.4563971, -73.84176840000001 45.4565021, -73.8414782 45.4565695, -73.8411665 45.4566435, -73.8409029 45.4567114, -73.8406186 45.4567877, -73.8403316 45.4568678, -73.8400637 45.4569468, -73.8398067 45.4570254, -73.8395488 45.4571078, -73.839342 45.4571766, -73.8390909 45.457264, -73.83883400000001 45.4573551, -73.83853809999999 45.4574681, -73.8382447 45.457584, -73.8380325 45.4576703, -73.837812 45.4577615, -73.83756409999999 45.4578704, -73.83732860000001 45.4579774, -73.8370793 45.458094, -73.8367985 45.4582296, -73.8354762 45.4588983, -73.83408900000001 45.4596009, -73.8314654 45.4609305, -73.82787759999999 45.462748, -73.8262154 45.4635893, -73.8243111 45.4645555, -73.8234966 45.4649671, -73.8223977 45.4655222, -73.8218104 45.4658201, -73.8206137 45.4664268, -73.81996030000001 45.4667575, -73.81901070000001 45.467239, -73.8163267 45.4685945, -73.8140968 45.4697259, -73.81071420000001 45.4714402)"
11,2077014213,motorway_link,1,644.12,100,,1,"[197462322, 926423314]",4322954829,2000,"LINESTRING (-73.8513681 45.4542466, -73.85003 45.4545787, -73.8495418 45.4546996, -73.8491374 45.4547969, -73.8485649 45.4549274, -73.84795320000001 45.455064, -73.84773869999999 45.4551136, -73.84746749999999 45.4551784, -73.8469551 45.455308, -73.846497 45.4554239, -73.8440949 45.4559941, -73.84355549999999 45.4561222)"
12,16874298,motorway,2,300.59499999999997,100,Autoroute du Souvenir,1,11392948,7721254396,2000,"LINESTRING (-73.8134452 45.4425389, -73.813204 45.4425874, -73.8129339 45.4426413, -73.8124052 45.442749, -73.81211209999999 45.4428148, -73.8117901 45.4428887, -73.8115339 45.4429526, -73.8112565 45.4430247, -73.8110482 45.4430795, -73.81082170000001 45.443142, -73.8106203 45.4431986, -73.8103399 45.4432782, -73.8101705 45.4433293, -73.80981629999999 45.4434383)"
13,101395196,motorway,2,528.26,100,Autoroute du Souvenir,1,11392948,16874298,2000,"LINESTRING (-73.81997459999999 45.4412812, -73.81900349999999 45.4414706, -73.81810419999999 45.4416435, -73.81692580000001 45.4418703, -73.8155828 45.4421317, -73.8134452 45.4425389)"
14,1952721666,motorway_link,1,553.4650000000001,100,,1,"[941947968, 12219786, 942542813]",16874298,2000,"LINESTRING (-73.8151304 45.4421962, -73.8151024 45.4420824, -73.8150444 45.4418445, -73.8150335 45.4418063, -73.8150243 45.4417707, -73.8150186 45.4417244, -73.8150225 45.4416784, -73.81503069999999 45.4416313, -73.815045 45.4415836, -73.8150648 45.4415374, -73.8150929 45.4414846, -73.8151252 45.4414382, -73.81516209999999 45.4413985, -73.8152127 45.4413525, -73.8152659 45.4413151, -73.8153319 45.4412756, -73.81540510000001 45.4412378, -73.8154693 45.4412106, -73.81554029999999 45.4411869, -73.8156237 45.4411661, -73.8157454 45.4411408, -73.81585699999999 45.4411183, -73.81610619999999 45.4410718, -73.8161733 45.4410632, -73.8162359 45.4410596, -73.8163055 45.4410637, -73.81637499999999 45.4410729, -73.81644350000001 45.4410905, -73.8165128 45.4411145, -73.8165674 45.4411405, -73.816615 45.4411707, -73.8166602 45.4412095, -73.8166978 45.4412506, -73.8167294 45.4412967, -73.8167505 45.4413476, -73.81676349999999 45.4413964, -73.8167674 45.4414487, -73.81676330000001 45.4415036, -73.8167512 45.4415578, -73.8167309 45.4416083, -73.81670680000001 45.4416567, -73.8166736 45.4417023, -73.8166287 45.4417474, -73.81657869999999 45.4417847, -73.81651979999999 45.4418227, -73.8164678 45.4418487, -73.8164242 45.4418669, -73.8163825 45.441881, -73.8163052 45.4419045, -73.81619209999999 45.441932, -73.8159804 45.4419805, -73.8134452 45.4425389)"
15,7721254396,motorway,2,863.834,100,Autoroute du Souvenir,1,11392948,16874301,2000,"LINESTRING (-73.80981629999999 45.4434383, -73.80956140000001 45.4435207, -73.8093312 45.4435975, -73.8090167 45.4437057, -73.8088054 45.4437791, -73.8086184 45.4438488, -73.8084032 45.4439289, -73.8082005 45.4440063, -73.8080119 45.4440794, -73.80781519999999 45.444159, -73.80761219999999 45.4442416, -73.8074129 45.4443251, -73.80701019999999 45.4444894, -73.8063154 45.4447789, -73.80582219999999 45.4449829, -73.80510700000001 45.4452789, -73.8031502 45.4460901, -73.8012193 45.4468851, -73.8009569 45.4469869, -73.8007125 45.4470786, -73.80049959999999 45.4471598, -73.800308 45.447228, -73.800189 45.4472698)"
16,96069702,motorway_link,1,487.66499999999996,100,,1,"[941947970, 942554711, 10807119]",7721254396,2000,"LINESTRING (-73.81466810000001 45.4412433, -73.8146672 45.4415468, -73.81467069999999 45.4416675, -73.814673 45.4417101, -73.81466829999999 45.4417471, -73.8146541 45.4417907, -73.8146323 45.4418308, -73.8145978 45.4418848, -73.8145617 45.4419317, -73.81451610000001 45.4419802, -73.814477 45.4420171, -73.814435 45.4420488, -73.8143706 45.4420871, -73.81428990000001 45.4421255, -73.8141868 45.4421664, -73.81403659999999 45.4422169, -73.8138876 45.4422683, -73.8135549 45.442381, -73.8134402 45.442421, -73.8133493 45.4424504, -73.813225 45.4424901, -73.81309469999999 45.4425268, -73.8129843 45.4425589, -73.8128507 45.4425931, -73.812713 45.4426262, -73.81255109999999 45.4426627, -73.8123796 45.4427005, -73.8121651 45.4427524, -73.8118424 45.4428307, -73.81160680000001 45.4428911, -73.811397 45.4429485, -73.8111602 45.4430174, -73.810864 45.4431073, -73.81060840000001 45.4431857, -73.8103354 45.4432708, -73.81007870000001 45.4433518, -73.80981629999999 45.4434383)"
17,16874301,motorway,2,734.8680000000002,100,Autoroute du Souvenir,1,11392948,7721254407,2000,"LINESTRING (-73.800189 45.4472698, -73.799983 45.4473405, -73.799795 45.4474038, -73.7995926 45.4474706, -73.79940190000001 45.4475325, -73.79918859999999 45.4476011, -73.79897920000001 45.4476632, -73.79875869999999 45.4477276, -73.79854690000001 45.4477907, -73.7983301 45.4478514, -73.7981249 45.447908, -73.7979054 45.4479645, -73.7976896 45.44802, -73.7974543 45.4480782, -73.7971598 45.4481485, -73.7968578 45.448217, -73.7966057 45.4482726, -73.79637529999999 45.4483221, -73.7961462 45.448368, -73.79594590000001 45.4484079, -73.795716 45.4484525, -73.79537430000001 45.4485139, -73.79515670000001 45.4485526, -73.7948849 45.4485966, -73.7946049 45.4486434, -73.7943235 45.4486873, -73.7940787 45.4487192, -73.79383470000001 45.4487547, -73.7935538 45.4487907, -73.7931943 45.4488334, -73.7928002 45.4488781, -73.7911632 45.4490344)"
18,16874301,motorway_link,1,290.792,100,,1,"[941952875, 11396907]",101435479,2000,"LINESTRING (-73.800189 45.4472698, -73.7993725 45.4474543, -73.79910769999999 45.4475179, -73.7989297 45.4475588, -73.7980836 45.4477543, -73.79799850000001 45.447772, -73.79790869999999 45.4477841, -73.797819 45.4477886, -73.79772920000001 45.4477875, -73.7976378 45.4477797, -73.7975496 45.447762, -73.79746919999999 45.4477377, -73.7973952 45.447709, -73.7973259 45.4476747, -73.7972676 45.447636, -73.79721720000001 45.447594, -73.7971699 45.4475432, -73.7971321 45.4474913, -73.7971043 45.4474398, -73.79707019999999 45.4473469, -73.7970505 45.4473022, -73.7970388 45.4472759, -73.79702159999999 45.4472342)"
19,7721254407,motorway,3,242.17700000000002,100,Autoroute du Souvenir,1,941948006,1212602278,2000,"LINESTRING (-73.7911632 45.4490344, -73.79088 45.4490616, -73.79063429999999 45.4490826, -73.7901897 45.4491217, -73.7897284 45.4491591, -73.7893819 45.4491855, -73.78904 45.4492112, -73.7887405 45.4492291, -73.78840769999999 45.4492491, -73.7880767 45.4492642)"
