,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,geometry,capacity
1229,308473190,secondary,3.0,107.649,50,新填地街 Reclamation Street,1,"[101317729, 246483031]",1168183665,"LINESTRING (114.1676802 22.3190063, 114.1676639 22.3190813, 114.1676524 22.3191517, 114.1676417 22.3192014, 114.1674819 22.3199568)",700
1230,308473191,primary,5.0,47.477000000000004,50,亞皆老街 Argyle Street,1,441107643,308473190,"LINESTRING (114.1681318 22.3190943, 114.1680472 22.3190779, 114.1678413 22.3190362, 114.1677883 22.3190278, 114.1676802 22.3190063)",900
1231,332251828,secondary,3.0,111.06500000000001,50,新填地街 Reclamation Street,1,102443799,308473190,"LINESTRING (114.1678871 22.318026, 114.167721 22.3188185, 114.1677098 22.3188762, 114.1676802 22.3190063)",700
1232,308473191,secondary,2.0,311.334,50,上海街 Shanghai Street,1,263839971,332253312,"LINESTRING (114.1681318 22.3190943, 114.1681473 22.3190164, 114.1681671 22.3189166, 114.1681944 22.3187645, 114.1683323 22.3180954, 114.1684026 22.3177464, 114.1684718 22.317396, 114.1684911 22.3173134, 114.1685151 22.3172035, 114.1686778 22.3164227, 114.1686954 22.3163435)",700
1233,1168183728,primary,5.0,27.807000000000002,50,亞皆老街 Argyle Street,1,311890775,308473191,"LINESTRING (114.1683979 22.3191379, 114.1682789 22.319121, 114.1682469 22.3191165, 114.1681318 22.3190943)",900
1234,1168183745,secondary,4.0,106.957,50,上海街 Shanghai Street,1,441107658,308473191,"LINESTRING (114.1679367 22.3200391, 114.1681014 22.3192403, 114.1681066 22.3192151, 114.1681318 22.3190943)",700
1235,308473192,primary,5.0,33.268,50,亞皆老街 Argyle Street,1,311890775,1168183728,"LINESTRING (114.1687163 22.3191904, 114.1685696 22.3191661, 114.1683979 22.3191379)",900
1236,308473192,residential,2.0,108.005,50,砵蘭街 Portland Street,1,311890781,1168183735,"LINESTRING (114.1687163 22.3191904, 114.1687038 22.3192548, 114.168691 22.3193208, 114.1685306 22.3201464)",400
1237,332253313,residential,1.0,311.18399999999997,50,砵蘭街 Portland Street,1,150792162,308473192,"LINESTRING (114.1692783 22.3164408, 114.1692627 22.3165187, 114.1690968 22.3173079, 114.1690734 22.3174155, 114.1690586 22.3174857, 114.1689045 22.3181997, 114.1687543 22.3189579, 114.1687497 22.3189865, 114.1687163 22.3191904)",400
1238,1151084860,primary,5.0,63.14,50,亞皆老街 Argyle Street,1,150771591,308473192,"LINESTRING (114.16932 22.319293, 114.169243 22.319279, 114.1688228 22.3192087, 114.1687904 22.3192028, 114.1687163 22.3191904)",900
