fishnetid,CO2,CO2pcap,CO2psqkm
0,3365556.6130371755,395.2575438678461,33818.865815349585
1,468650.4983898235,1606.3504829423684,4709.244306854337
2,13590291.572353078,622.031849971074,137250.50357756167
3,491228.7045193521,6084.4520542372575,4967.2841398168475
4,1096627.892739026,1536.9691906130445,11103.15474677228
5,4723707.3474513795,367.1865312146678,47887.666369592764
6,12934066.581535874,0.0,131122.06572087272
7,11026889.65826532,515.8925862133354,111787.6223501013
8,314116.452430864,115.75412493583684,3184.427562669641
9,1293959.8584387668,0.0,13134.599407739424
10,6880923.6567066815,3198.941727897109,69846.19746638116
11,8355003.722739077,5439.429611436672,84918.00255423173
12,9692146.303341664,72847.63086725309,98508.35880577897
13,17578964.209130105,3996.16460884727,178667.84709489913
14,21351684.296563253,13224.661590818863,217012.755685343
15,2403625.1361906542,1661.156371497895,24461.253867774492
16,12985934.831259612,2888.9462776609216,132155.48624244297
17,29593728.394312575,55844.979346798245,301169.96708336414
18,10412330.887096943,3326.1127136993714,105964.3891011237
19,23214930.68277822,1807.5929736789,236254.10818187325
20,13879820.09408868,2635.2775154348933,141252.39324906547
21,4096010.8347090622,4950.067227451666,41684.35392208219
22,3454190.9358599433,234.16812639962362,35198.077180249034
23,5137421.227959929,113.86026090932923,52350.13125994302
24,6823825.955501141,1958.1647365690642,69534.53271873255
25,6674023.345261051,439.20932715711837,68096.17403975707
26,3729941.3081277316,91.28536253355085,38057.21366808077
27,16700484.636896027,1833.0334176516453,170397.83194493433
28,561597.2903474283,87.41667536017836,5737.519312827562
29,757575.5158826907,40.456924943106614,7739.717103358897
30,577217.6632593285,70.78738190524471,5897.103756691512
31,1389433.3277856587,114.88714306313888,14195.048104887199
32,14505529.117236422,366.25495989276567,148194.72045784784
33,1302361.1142859752,51.74563051027118,13305.480945017925
34,68986.95454819195,71.70058356789282,705.7194316836894
35,481131.350989192,765.7168665363984,4921.854368105271
36,6108804.465728602,975.1356580611412,62491.5542953731
37,2006043.8861713314,335.6071495457048,82085.32091012913
38,402798.0634153305,42.18603852041019,16482.09619208982
39,2024442.31675123,380.64452930798205,82892.28640098966
40,5027492.065779423,146.15934428510343,205854.377152178
41,4329276.691027776,205.91231637537467,44287.42660120282
42,1708008.9044000302,825.3673681642847,279560.0996162146
43,1536751.213745025,529.7798756157621,251693.65208169544
44,1748489.6794119654,570.398110873193,286466.4453037322
45,2544853.5688397917,1920.3800586405534,416939.9249353228
46,2269770.369351534,1649.3797085333429,371871.2538141425
47,5032699.411032858,205.55893522169907,824539.9029440901
48,4195085.266620739,305.79368137516923,171658.71730414516
49,16853190.343045354,789.1362002426462,690066.330429275
50,17343589.28189543,657.429526849986,710146.0773075651
51,3256432.3612335506,293.56516421642067,532999.8883230062
52,7763592.664254544,1709.1714837193097,1271128.8099712755
53,3637353.0593066807,146.9992105391752,595541.8407009947
54,1273549.4737685253,40.51187664456985,208517.5635868738
55,2345938.357427709,144.7612079109053,384224.7121448198
56,7991689.673553305,302.79950196734194,1308902.5355889136
57,3364289.633532413,77.45450405343331,551013.291514378
58,2898234.472958261,53.83499441965655,474681.40097331617
59,8541709.634698957,227.4143972643572,1399443.8884487855
60,4645008.160254379,184.75811741720702,761021.9218009334
61,4180999.4902379727,102.47700826384518,685000.3611049362
62,2467659.890993773,46.66604310141878,404292.7822310477
63,5593364.600011621,119.73520454247254,57218.73233239171
64,1632922.306654091,182.93452117688886,16704.39012393951
65,383373.9376799582,206.5667603235861,3921.820280279775
66,15780396.286640055,388.93214917431726,161429.53942649285
67,3821999.703668029,156.601149556263,39098.108858878084
68,1408915.6766068214,243.98487464308795,14431.711340792992
69,5555083.392129231,501.6388429106924,56901.46069090455
70,4711776.939401327,196.34177509308535,48263.3601291225
71,26680543.740999036,878.9025314470374,273292.3709194933
72,3016793.532060379,135.29621577614785,1514169.4170265947
73,760574.7210443866,42.60411885728055,381742.72442899604
74,1199352.8103063086,411.0097394751092,601971.373344341
75,1232729.3765177822,95.93149627691,618723.5226928781
76,2354033.668938688,88.2658822933305,1181521.2908263307
77,1546723.3677189602,101.13728846213182,776321.347520562
78,1490449.11096641,74.66345573455045,748216.505330223
79,2114177.68887026,125.22381805655601,1061332.8763627203
80,2631196.0304350043,112.49767476788922,1320879.9175002198
81,1071930.4279032217,47.669180062705834,538117.023131932
82,4496454.905846091,262.1261656724281,2257253.703782583
83,3862970.2211535866,449.67313729688453,1939602.6952583685
84,2644625.9903582064,137.80547724208824,1327870.3705138403
85,3032141.911788573,147.72812155245032,1522442.6510734812
86,4359330.124705196,247.3754353053445,2188825.689905059
87,2211351.8815456717,90.58495903809951,1110322.840730611
88,5183274.426959773,192.32887412578123,2602529.2645907863
89,1487883.2481562567,183.60293825350598,747208.1427796268
90,2446493.793776881,497.80084720949367,1228617.9619499466
91,1673331.740351715,138.77782127080735,840339.5249672822
92,1606947.9166073948,76.30300851460592,807001.8731642462
93,471143.32586711564,66.05838359080951,236606.0172666706
94,4820982.500439804,269.07857214845836,2421075.2994165025
95,1341884.382837193,1559.6819097993532,674014.4387899346
96,12891102.555130973,4645.1468912420905,6475065.486426191
97,530063.3333348621,445.7814684547417,266295.1527602757
98,4181940.2393469443,114.06100439077491,685378.707464012
99,1568290.260945412,33.63157211467351,257027.28648820138
100,2439809.7589314887,423.20031797141604,399860.72572277545
101,8434859.583699958,150.5129045570189,1382842.9334806532
102,7761500.587848359,263.72078821804945,1272866.9665770899
103,1887455.6505909106,140.06823023858414,309538.0746704878
104,7315414.208546543,2934.426207819653,1200103.433200713
105,4126456.0078722364,709.8926115336284,676950.5978504391
106,1160510.6873292183,153.8759382303145,190383.32217781938
107,1103592.0278117594,82.77565471956609,11304.240450880738
108,6086606.048660783,740.9469948018912,62345.91821062215
109,3293026.0697900048,765.2755881370653,33730.90559356099
110,1570289.9445873706,106.18975663952851,16084.6895083267
111,138697.00053942116,62.933912110707844,1420.6918901202719
112,15495664.356263928,3863.00399872997,158932.44023544685
113,12125691.527438445,765.9850075188817,124368.06191010048
114,6015249.358660214,171.6227696358756,61695.85486731121
115,17621089.953842748,1189.9245022109608,180732.0268162817
116,3827370.8885398437,262.83455656169343,157022.85446839404
117,12647825.067889698,277.02795845232976,518893.4265355756
118,1103441.077357443,119.5938132601689,45299.86392731318
119,1098807.797648519,204.1750106888255,11270.004345403377
120,3460086.574877544,191.89652265984404,35488.63670042446
121,2623780.745482699,2106.886947060772,26911.00342230739
122,15293212.82370225,26374.152785287304,157062.45992475958
123,17477149.86291101,2026.9625272144067,179491.65957385497
124,3278976.5155208725,2428.363388153465,33675.33843281588
125,21079654.53599307,768.3660017609093,216489.65681402772
126,7710909.737978147,4820.470818221319,79191.63001691476
127,14134940.19682844,11501.90299674537,145166.9118710267
128,6587956.854332216,573.4732782361503,67658.81841491644
129,7293191.094245396,4026.525128221498,75000.53580662026
130,4345646.924805307,652.4061711972049,44689.05909293361
131,14297973.307009649,1436.5564409867795,147035.17913038997
132,9666673.501595106,338.28717039181186,99408.56926939818
133,6729293.203480603,429.7826437000981,69201.61412733601
134,11886285.176641561,876.7578671849916,122396.17104878036
135,55683019.884896085,4760.355726476724,573382.5434154421
136,6664882.598705124,728.577195828325,68630.030194319
137,94963.70189450076,37.28095445511738,977.8659461533133
138,10178140.683123589,2085.001543287372,104806.96277237263
139,11204617.61745729,1787.4740096028509,115376.86283495063
140,2435941.12380013,3389.7750893843363,401336.28530950786
141,21640270.383666035,3203.666360275971,3565367.6700227163
142,9450359.44729016,930.8123323735008,1557004.8546571832
143,1311680.306056472,816.7595267750628,216107.3994782505
144,11149518.974395942,9602.785874929828,1837561.067274623
145,12029861.46186906,246588.48354569744,1983967.8771977774
146,6118409.487328561,22314.21468876907,63002.85438457715
147,10636587.11405383,2765.9600382879235,109673.24876333287
148,9440408.550263414,747.577895205827,97339.51917646037
149,49854648.91708334,11804.338346288716,514048.46818461665
150,16186813.820577778,0.0,166901.32274518564
