fishnetID,carbon,CI
0,0.6377092550107963,1.3674467081954647
10,1.8523299633283017,1.752991320008669
101,0.006476011004880588,1.4458822110185183
103,0.25370950734929637,1.4367301615556363
105,1.7080145376709908,1.4177523151951361
107,0.5207088208914469,1.3595641451061626
110,0.026685936944972503,1.4450099683409576
111,0.9873103965328739,1.3743290049559012
113,0.2616665942149897,1.3784577248047492
116,0.6202709510146502,1.2333526786176594
117,0.2752841809669294,1.2675572445940224
119,0.5481876419296803,1.3066464263643485
12,0.48036908935971,1.206234923313469
14,0.4447625943875358,1.2215743793068703
16,2.0421775321379627,1.7060573689530638
18,3.1698827511847854,1.6037113928295184
20,4.153111065698247,1.5964412273702946
22,2.520581206007136,1.6244148659965143
24,1.409958024711295,1.652277121171001
27,0.5070162457515077,1.379936378166862
28,2.1512331489735077,1.176708404866123
3,0.7134990768154856,1.533516368534828
30,2.0290919182309652,1.2195194187369598
32,1.7335530315548744,1.4180087895415716
34,1.0206885239410284,1.5892363413311723
36,2.251129529113486,1.6929898624900885
38,2.220655185938164,1.6429612790981993
4,0.38374716378365614,1.49809418135533
40,2.0521454366612484,1.6828540936794574
42,2.269627448514015,1.6291381679182668
44,1.9863202576946966,1.6450517392959816
46,2.3379067867960823,1.843851774076553
48,3.3337143297696894,1.4138452318917478
50,6.729352209162745,1.678374869229276
52,3.998004406509093,1.6648690232059833
56,0.23518876542015468,1.4097355015186148
59,0.41564233439636145,1.361667149302214
6,1.732511527671253,1.354507174616045
61,2.572453011840308,1.2976939388826025
63,5.044218898299131,1.4864473113112424
65,6.459954221454933,1.6848200109217457
67,2.326229935674319,1.9700768821165289
69,2.969373889092208,1.9561725520676443
71,0.9957588450618037,1.7897892081585622
73,1.8845193208429138,1.8775978174596035
75,8.671658677090331,1.8290568792744164
77,2.9942900276759645,1.6291804739854612
8,2.334464216262814,1.5495735636079053
80,2.2391056083258762,1.5279313336960987
82,0.0,1.4811896952934902
84,0.0,1.319305605788798
86,0.48500935366467124,1.525435971285185
88,0.3622294865680931,1.5488964867288302
89,6.1698321608365,1.4948268067114163
91,2.781153146284788,1.6816010907536905
93,0.9457345957862662,1.5338558681249264
95,0.12759096256690233,1.3929268829143664
97,2.376152276925166,1.429548801456202
99,2.2779421385258867,1.4332322847614163
