From,To,Volume,EstimatedTT
442874,26384674,1629.14,0.61
442928,1803689295,0.0,0.03
26384674,264670999,480.92,0.37
26384674,534589,1148.22,0.57
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,370.55,0.32
15866840,1803689315,1611.12,0.59
264670999,534589,240.59,0.33
534589,534591,1388.81,0.38
534591,534626,1262.98,0.66
8083440,534911,1263.36,0.04
534626,534624,0.0,0.07
534626,534625,1262.98,0.08
534608,30409417,1060.57,0.87
30436919,30436908,771.72,1.3
30409417,30409422,446.19,0.02
30409417,30403571,1987.24,0.2
534624,534608,759.29,1.23
534625,30436908,1262.98,0.02
534625,534624,759.29,0.07
30436908,30436907,1290.04,0.02
30436908,534628,744.66,0.38
534628,534629,966.64,0.22
534629,3595409680,1221.01,0.64
11769656,11769730,777.12,0.19
3595409680,3855350,1038.09,0.01
3595409680,7128283652,182.92,0.04
3160432771,30409397,333.16,0.15
30409405,30409419,931.07,0.72
534736,140605768,1755.63,0.13
534306820,2021890013,1445.12,0.19
140605768,534324288,1755.63,0.44
534329195,2021890013,824.66,0.02
534329195,534306820,1755.63,0.27
3853550,3564765835,245.27,0.4
534742,534770,1312.58,0.55
534770,29138173,2222.73,0.08
534743,534744,559.73,0.07
534744,534747,1928.62,0.05
247994358,534742,592.78,0.06
534747,277692998,149.76,0.01
534747,2287846802,1778.86,0.33
277692998,288154283,1664.22,0.08
2287846802,29510418,0.0,0.04
2287846802,2287846804,1778.86,0.12
534749,25235133,2183.53,0.08
534749,7095690293,333.2,0.74
25235133,25235132,906.73,0.01
25235133,534751,1276.81,0.84
7095690293,7095690318,926.53,0.01
534751,534754,777.2,0.84
534754,3098430373,777.2,0.16
29510455,25235132,1092.84,0.68
3098430373,16574394,483.32,0.02
3098430373,2260849842,1159.71,0.85
534758,25873172,1231.72,0.02
534758,2202559858,1318.84,0.63
25873172,25873173,1881.73,0.02
25873172,3100041009,833.56,0.28
2202559858,25873172,1483.57,0.64
534769,546378258,1279.85,0.57
534769,534770,910.15,0.04
546378258,247994363,843.49,0.04
546378258,290077155,436.37,0.24
29138173,1775338888,265.84,0.09
