fishnetID,osmid
0,6183055986
0,1487684505
0,2402252481
0,2021482168
2,1860376273
2,1433254639
2,10879118592
2,130170602
2,7049446155
4,10567634794
4,1480416875
4,9285640577
4,4204457052
4,5113493159
6,1860376341
6,8936102616
8,2894114305
8,10777195442
10,1472205138
10,180540695
10,6830756858
10,10636983006
10,6536918761
12,172868426
12,3192343236
12,4055038892
12,4055038891
12,7366069163
14,2111550697
14,2111471892
14,2111472110
14,7462050407
16,5208047163
16,5208018059
16,3794637664
16,5207959718
16,6640076760
18,415605364
18,6534592973
18,3736211967
18,9811611180
18,2156636200
20,180560896
20,2156526384
20,2157339053
20,180569479
20,6942550335
22,8786281578
22,3529995105
22,3736999143
22,3476277606
22,1894169108
24,4357367259
24,7719517654
24,6771045851
24,7106404514
24,11017454531
26,1355422933
26,8898292007
26,8898291984
26,1355419252
26,8930765843
28,1355530519
28,1355529617
28,1355530050
28,6569598880
28,1967195234
30,4352868900
30,6792322017
30,1509474855
30,4371184829
30,1062820989
32,5914545607
32,9216063088
32,1062756941
32,7314864003
32,7293791820
34,6433491638
34,7644351803
34,6433491662
34,1022605114
34,7733648771
36,2110997038
36,6924025565
36,5543625500
36,3981493830
36,2113129621
38,7643085446
38,1022605600
38,1022606038
38,10665059113
38,1022605806
40,5496747024
40,5541111341
40,5548599823
40,5541110319
40,5541148343
42,5333466159
42,6248863322
42,3036493001
42,6923909539
44,607813100
44,6328526926
44,7724491568
44,3636692782
44,1339883337
46,344128526
48,5938408177
48,1927486520
48,2320305794
48,3914259372
48,2320305827
50,2020654947
50,11202014615
50,11201847260
50,1541472563
50,8933670827
52,2296999830
52,2296999891
52,153176127
54,2194608881
54,6468627876
54,6467577867
54,6468627855
56,7232356317
56,171442753
56,2465070020
56,3754965513
56,9867254472
58,181310019
58,181310414
59,6559138026
59,7721252790
59,180571137
59,7050909008
59,180572656
61,5581199002
61,3750538326
61,3027205280
61,4226806251
61,2946244513
63,8786281559
63,11061267820
63,4350142687
63,6292200862
63,3529995779
65,8786281558
65,3531170374
65,1894383018
66,3787307046
66,3072265837
66,3787280457
66,3787343562
66,2541442851
68,1863584214
68,1355434936
70,9560487376
70,5538275550
70,1027338845
70,7314969003
70,9234980947
72,9844246821
72,10709951121
72,5540052570
72,1161760851
72,3637038413
74,5938332025
74,6216832417
74,1394638896
74,1912721990
74,1394638837
76,1492272446
76,1493149102
76,2752279694
76,6665790207
76,1493769210
78,1860378568
78,1860378563
78,4409691753
78,1457801723
80,6598510475
80,2292324221
80,7770930729
80,2285787643
80,3439797504
82,957045432
82,2307021021
82,3262415095
82,9103170696
82,3262376326
84,171414857
84,6680823801
84,8482535341
84,7721434577
84,6680823818
86,2699029769
87,625869467
87,3027205258
87,625869535
87,3711574437
87,10815850923
89,4001671333
89,1370907636
89,10814122958
89,5141627500
89,6289283659
91,2982659838
92,1328613249
92,1917182899
92,3905258111
92,954394619
94,1917130103
94,1916979979
94,10047335703
94,1917182842
94,1917182875
96,606371223
96,1460091465
96,3136271414
96,10116132841
96,4475345294
98,10712051994
98,3316851549
98,8237483729
98,1471951512
98,1044494385
100,2866873028
100,1033587752
100,2866913591
100,1033587671
100,10932000867
102,5936469443
102,5936475701
102,5938278190
102,5938278214
102,8433207165
104,9248034790
104,2292802254
104,9248039213
104,1351135698
106,2399946336
106,4454848879
106,11162495622
106,127537888
106,6726294149
108,3866508195
108,2307021134
108,9721138248
108,3027841783
108,643137348
110,1893519262
110,10698705744
110,1893519174
110,10806933052
110,6956103268
112,2982402322
112,2982561373
113,2143889519
113,1984095447
113,1254651770
113,1254651791
113,9343973782
115,8267339065
115,2560607999
115,2560608015
115,1355528868
115,4164108322
116,1946241540
116,9260398404
116,3678716056
116,4630058524
116,4193644222
118,4193644232
118,3715282295
118,3136259115
118,3136294513
118,2182526170
120,1356206028
120,3136595925
120,2142274613
120,1046526149
120,3136595904
122,1356159031
122,9005870590
122,9168859278
122,3134708487
122,9235834124
124,8325792458
124,5936469429
124,7364721167
124,7364690868
124,2864593525
126,2937864785
126,2937879232
126,7300758593
126,2937864291
126,2939397440
128,10675048947
128,6271154343
128,2314621942
128,1952397797
128,3081630609
130,5848174151
130,2997526855
130,1875538067
132,9739763550
132,5848173968
132,5841508547
132,5841507557
134,171466399
134,4815192288
134,1273170308
134,10806840974
134,1240885071
136,9739243209
136,1243376462
136,958327297
136,2269413004
136,9738945145
138,8714920785
138,955219475
138,11039865440
138,8779458803
138,957449282
140,171482894
140,2144001882
140,410560986
140,1918893332
142,3587892963
142,1339869856
142,1876496607
142,1374265099
142,996053083
144,4386999399
145,3768422370
146,3673933140
146,2959075042
146,4350101296
146,3834641658
146,925856309
148,3382788645
148,6994231429
148,3630706049
150,2885625348
150,3631373461
150,2769118168
150,3629246429
150,3629246302
152,2106923005
152,1356207630
152,3825525871
152,1045599410
152,9073419028
154,3629235260
154,8375400842
156,2057958248
156,8373419153
156,8373249766
156,1642973184
158,2888956124
158,4088957032
158,8373249728
158,2592357734
160,2874581063
160,1449383838
160,1912808687
160,2782894047
160,2782901121
162,1801834206
162,2320364994
162,1801834303
162,1801834258
162,10276252775
164,7858517273
164,2385590092
164,2385589782
164,7858518239
164,7858474078
166,1224576921
166,1014189549
166,1224572996
166,1224579286
166,1426177126
168,1238531001
168,10994116276
168,1615944445
168,9084208714
168,8917422799
170,1238543023
170,1003273439
170,7867404475
170,7867397933
170,1238543019
172,986391726
172,1877900885
172,10135256079
172,986391589
