gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,highway,ref,nodeID,geometry,lanecapacity
10,3,1,1,False,40570.002,399,10801795539,41.905477,44.5766292,3,44.5766292,41.905477,,,1120,POINT (44.5766292 41.905477),12000.0
10,3,1,1,False,40570.002,399,1980778543,41.9181029,44.5519923,3,44.5519923,41.9181029,,,1293,POINT (44.5519923 41.9181029),12000.0
10,3,1,1,False,40570.002,399,1107603977,41.90233,44.58192,3,44.58192,41.90233,motorway_junction,,1154,POINT (44.58192 41.90233),12000.0
10,3,1,2,False,66201.14899999999,401,220699667,41.8958111,44.7030017,3,44.7030017,41.8958111,motorway_junction,,3240,POINT (44.7030017 41.8958111),12000.0
10,3,1,2,False,66201.14899999999,401,355930070,41.8651324,44.7309924,3,44.7309924,41.8651324,,,3382,POINT (44.7309924 41.8651324),12000.0
10,3,1,2,False,66201.14899999999,401,220702311,41.8922384,44.716157,3,44.716157,41.8922384,motorway_junction,,3243,POINT (44.716157 41.8922384),12000.0
10,3,1,2,False,66201.14899999999,401,220710925,41.8943398,44.7184776,3,44.7184776,41.8943398,,,3251,POINT (44.7184776 41.8943398),8800.0
10,3,1,2,False,66201.14899999999,401,880853245,41.8944335,44.7114687,1,44.7114687,41.8944335,,,3441,POINT (44.7114687 41.8944335),4000.0
10,3,2,0,False,56954.63300000001,403,1059497674,41.9823462,44.4296716,3,44.4296716,41.9823462,,,1113,POINT (44.4296716 41.9823462),12000.0
10,3,2,0,False,56954.63300000001,403,1768638073,41.965283,44.4669601,3,44.4669601,41.965283,,,1276,POINT (44.4669601 41.965283),12000.0
10,3,2,0,False,56954.63300000001,403,2409682386,41.9661342,44.4642407,1,44.4642407,41.9661342,,,1277,POINT (44.4642407 41.9661342),4000.0
10,3,2,0,False,56954.63300000001,403,10718534898,42.0684613,44.4871085,2,44.4871085,42.0684613,,,1245,POINT (44.4871085 42.0684613),2800.0
10,3,2,0,False,56954.63300000001,403,1059498129,41.983657,44.4276781,2,44.4276781,41.983657,,,1100,POINT (44.4276781 41.983657),5400.0
10,3,2,2,False,19805.132000000005,405,1203248037,42.0330821,44.7460117,3,44.7460117,42.0330821,,,3417,POINT (44.7460117 42.0330821),4800.0
10,3,2,2,False,19805.132000000005,405,1203232926,42.0636231,44.746204,3,44.746204,42.0636231,,,3459,POINT (44.746204 42.0636231),2400.0
10,4,None,None,False,346575.267,406,1334375180,41.752533,45.0100341,3,45.0100341,41.752533,,,3390,POINT (45.0100341 41.752533),9600.0
10,4,None,None,False,346575.267,406,6159086902,41.8655448,45.1464918,3,45.1464918,41.8655448,,,6176,POINT (45.1464918 41.8655448),5400.0
10,4,None,None,False,346575.267,406,2582227297,42.0427552,45.2040341,3,45.2040341,42.0427552,,,6154,POINT (45.2040341 42.0427552),4200.0
10,4,None,None,False,346575.267,406,10746538923,42.0271645,45.2109948,3,45.2109948,42.0271645,,,6191,POINT (45.2109948 42.0271645),4200.0
10,4,None,None,False,346575.267,406,2582254695,41.7338146,45.2906533,3,45.2906533,41.7338146,,,6211,POINT (45.2906533 41.7338146),5200.0
10,5,None,None,False,240713.66099999996,408,1172224771,41.9191276,45.485624,4,45.485624,41.9191276,,,6112,POINT (45.485624 41.9191276),7200.0
10,5,None,None,False,240713.66099999996,408,7153618979,41.9906916,45.5846351,3,45.5846351,41.9906916,,,6178,POINT (45.5846351 41.9906916),4200.0
10,5,None,None,False,240713.66099999996,408,1172244903,41.9250507,45.4702564,3,45.4702564,41.9250507,,,6098,POINT (45.4702564 41.9250507),5000.0
10,5,None,None,False,240713.66099999996,408,2064771531,41.9261785,45.4542468,3,45.4542468,41.9261785,,,6138,POINT (45.4542468 41.9261785),5000.0
10,5,None,None,False,240713.66099999996,408,2582232890,42.0546473,45.3570608,3,45.3570608,42.0546473,,,6162,POINT (45.3570608 42.0546473),4200.0
10,6,None,None,False,247146.82500000004,410,9230268396,41.7504523,45.8157783,4,45.8157783,41.7504523,,,6984,POINT (45.8157783 41.7504523),7200.0
10,6,None,None,False,247146.82500000004,410,6214210550,41.7437393,45.8025334,3,45.8025334,41.7437393,,,6977,POINT (45.8025334 41.7437393),4200.0
10,6,None,None,False,247146.82500000004,410,6264492643,41.7419068,45.7974766,4,45.7974766,41.7419068,traffic_signals,,6939,POINT (45.7974766 41.7419068),5600.0
10,6,None,None,False,247146.82500000004,410,288420882,41.7439447,45.7957791,3,45.7957791,41.7439447,,,6930,POINT (45.7957791 41.7439447),4200.0
10,6,None,None,False,247146.82500000004,410,5395042890,41.9301002,45.8237601,3,45.8237601,41.9301002,,,6882,POINT (45.8237601 41.9301002),4200.0
10,7,None,None,False,22354.108000000004,412,2325407129,41.7931611,46.3080736,2,46.3080736,41.7931611,,,6879,POINT (46.3080736 41.7931611),7200.0
10,7,None,None,False,22354.108000000004,412,3918304166,41.787434,46.3149043,2,46.3149043,41.787434,,,7539,POINT (46.3149043 41.787434),7200.0
10,7,None,None,False,22354.108000000004,412,1366792201,41.7891987,46.3110292,2,46.3110292,41.7891987,,,7537,POINT (46.3110292 41.7891987),7200.0
10,10,None,None,False,64835.412000000004,415,907848864,41.7544959,47.9267245,2,47.9267245,41.7544959,,,9066,POINT (47.9267245 41.7544959),2800.0
10,10,None,None,False,64835.412000000004,415,965807762,41.7543095,47.925691,2,47.925691,41.7543095,,,9068,POINT (47.925691 41.7543095),2800.0
10,11,None,None,False,105933.14199999999,417,632726770,42.0356744,48.2940569,4,48.2940569,42.0356744,,,9811,POINT (48.2940569 42.0356744),8400.0
10,11,None,None,False,105933.14199999999,417,4954678230,42.0674928,48.2898231,3,48.2898231,42.0674928,,,9860,POINT (48.2898231 42.0674928),4200.0
10,11,None,None,False,105933.14199999999,417,1127164332,42.0657587,48.2877959,3,48.2877959,42.0657587,,,9829,POINT (48.2877959 42.0657587),5400.0
10,11,None,None,False,105933.14199999999,417,5808467100,41.8287148,48.3978914,1,48.3978914,41.8287148,,,9821,POINT (48.3978914 41.8287148),1400.0
10,11,None,None,False,105933.14199999999,417,1709551911,42.0700366,48.2951716,3,48.2951716,42.0700366,,,9843,POINT (48.2951716 42.0700366),4200.0
10,12,None,None,False,88370.71200000001,419,7388755538,41.7590133,48.5842372,3,48.5842372,41.7590133,,,10682,POINT (48.5842372 41.7590133),5000.0
10,12,None,None,False,88370.71200000001,419,3690004264,41.7880167,48.5479392,3,48.5479392,41.7880167,,,10686,POINT (48.5479392 41.7880167),4200.0
10,12,None,None,False,88370.71200000001,419,3690004252,41.7856858,48.549859,3,48.549859,41.7856858,,,10680,POINT (48.549859 41.7856858),4600.0
10,12,None,None,False,88370.71200000001,419,8123704911,41.7328248,48.5411054,1,48.5411054,41.7328248,,,9879,POINT (48.5411054 41.7328248),1400.0
