highway,lanelength,proportion
motorway,2094769.878,0.0422081978562157
motorway_link,217560.638,0.004383699875995887
primary,14482346.969,0.2918095074355073
primary_link,228937.235,0.004612930619739869
road,58668.46000000001,0.001182129833737984
secondary,15955859.327,0.3214997859731305
secondary_link,108972.402,0.0021957202806804324
trunk,15978895.437,0.321963948026886
trunk_link,503445.172,0.010144080098106387
