From,To,Volume,EstimatedTT,OTT
442874,26384674,2144.4301515496427,0.7670139728687573,0.548816693811075
442928,1803689295,0.0,0.0264788571428571,0.0367761904761904
26384674,264670999,720.9845535607628,0.5028707650743409,0.6350923439340399
26384674,534589,1423.44559798888,0.6946471221589381,0.5008016157989227
1803689298,1803689295,0.0,0.0373765714285714,0.1903436507936507
1803689295,139470345,0.0,0.5937951428571429,0.5937951428571429
442936,15866840,662.9479523452425,0.4194268898494115,0.3128304
15866840,1803689315,2139.938894687803,0.755048995741223,0.5183262857142857
264670999,534589,382.7666077108357,0.3390783792111404,0.3267072000000001
534589,534591,1806.212205699716,0.3927233003213379,0.3658883999999999
534591,534626,1519.9705695596226,0.6742809444295619,0.880032199754902
8083440,534911,1560.9083716001007,0.0423155826692929,0.0325270833333333
534626,534624,38.581085479430044,0.07004169695114149,0.2779428571428571
534626,534625,1481.3894840801922,0.08210480190731766,0.2264351457399103
534608,30409417,1362.700737113178,0.8797919359857971,1.837562030598053
30436919,30436908,1080.9804471523003,1.3043182089721888,1.7805753302611365
30409417,30409422,576.5304399287427,0.020331517212333103,0.0310764705882352
30409417,30403571,2393.8555143678313,0.21992407260237623,0.2074212765957447
534624,534608,1083.0259359988686,1.2353340899697627,1.6295515507672214
534625,30436908,1515.7442860005037,0.022006345866077977,0.0303245232923002
534625,534624,1044.4448505194384,0.07077825361460623,0.0676356
30436908,30436907,1568.0921759095047,0.021330560480810407,0.0210204
30436908,534628,994.2777553229882,0.4041679102389867,0.3648539999999999
534628,534629,1435.8250721393024,0.23358909123206678,0.2137992
534629,3595409680,1809.3860926267055,0.6739433669721008,0.6275904
11769656,11769730,1127.1608224456727,0.19978927657734624,0.2164473084886128
3595409680,3855350,1402.0021485523619,0.011324973818369994,0.0161203703703703
3595409680,7128283652,407.38394407434356,0.04394946203170169,0.0545530303030303
3160432771,30409397,509.9050317782875,0.16286466780392575,0.4814775956284154
30409405,30409419,1117.3809531339627,0.7223523639730586,1.4420141791044772
534736,140605768,2034.9714858071145,0.15377641014949792,0.1752185277088502
534306820,2021890013,1596.257221424875,0.18857888141496307,0.6066588235294118
140605768,534324288,2034.9714858071145,0.5350685786924656,0.2637679012345679
534329195,2021890013,1165.8077137088285,0.01940539288043114,0.1119583333333333
534329195,534306820,2034.9714858071145,0.32496002142184266,0.5002076771653542
3853550,3564765835,344.6481782925666,0.4015861914440457,0.3951336
534742,534770,1742.4914270313932,0.5724234873019552,0.5344236
534770,29138173,2725.163816943045,0.09905985722173054,0.0694968
534743,534744,582.9320160024042,0.07341790547702132,0.0609936
534744,534747,2310.462160650921,0.053269501273469445,0.044526
247994358,534742,734.4410184516609,0.06384404623148048,0.194051724137931
534747,277692998,146.6331414047795,0.014264657490482072,0.0609589743589743
534747,2287846802,2163.8290192461413,0.3575345911199132,0.3511436046511628
277692998,288154283,2267.194894388979,0.08868033956299813,0.0639479166666666
2287846802,29510418,0.0,0.0428807999999999,0.3225986111111111
2287846802,2287846804,2163.8290192461413,0.19225900891053627,0.1330127659574468
534749,25235133,2399.785312857965,0.09984646134307709,0.0496333333333333
534749,7095690293,590.9664003203507,0.8366046862527731,1.6887413008130083
25235133,25235132,1107.2998447244574,0.012687642169679358,0.0132444444444444
25235133,534751,1383.0027479084574,0.9136739414932956,1.4736007407407403
7095690293,7095690318,1430.5172271802458,0.017140792496082254,0.0131556
534751,534754,855.5449914143676,0.9996189345695992,0.5139108
534754,3098430373,1248.774392098916,0.19387046532088256,0.15288
29510455,25235132,1417.4803882048539,0.7195549084016775,0.6614027999999998
3098430373,16574394,765.2011374576251,0.03147480894359442,0.0196128
3098430373,2260849842,1359.328683495964,1.427630624185474,0.4870857132132131
534758,25873172,1512.7669887178295,0.029081364494066928,0.1611133333333333
534758,2202559858,1409.1600912121412,0.6360754274912828,1.2960143410852711
25873172,25873173,2391.8936213377915,0.019103924848673383,0.0152532
25873172,3100041009,929.6797267962652,0.3354013731641978,0.2316304635761589
2202559858,25873172,1808.8063594162277,0.6669567439819347,1.1796776375404532
534769,546378258,1646.4531672762773,0.591547152059086,1.2958750000000003
534769,534770,982.6723899116513,0.0426971674394951,0.1819342872284049
546378258,247994363,954.2549332235324,0.05127001946746477,0.1507767857142857
546378258,290077155,692.1982340527449,0.24133651680496204,0.218118771043771
29138173,1775338888,309.49287507003964,0.08765436618217665,0.0871548
29138173,534773,2415.670941873006,0.7948042279406632,0.6294768000000001
534773,2544089666,3049.552088319279,0.039142997746033296,0.0234804
534773,335716508,1010.6796410492839,0.28886994306681746,0.2590668
2544089666,2544089665,1977.3753771826798,0.059634463704908366,0.0373427999999999
2544089666,16574602,1072.1767111365996,0.04786040533294119,0.0316623188405797
335716508,534799,1010.6796410492839,0.5134328244273452,0.6656388225934764
534774,534804,584.2089476774963,0.1479307869680003,0.960157258064516
244038933,534778,925.7611157957411,0.08538206237891631,0.1623661971830986
534804,18630111,3226.0060509242235,0.8484427302256679,1.243449017199017
534804,16574613,371.68297536575693,0.04894631635959541,0.285515
534778,244038915,1241.8954824496502,0.022638340619330878,0.0338470588235294
534778,30058360,1392.3680686302341,0.24861024015732253,0.5582252808988766
244038915,534787,1810.4390507947285,0.2494770417139298,0.2968783783783784
244038915,244038942,1229.1684422029189,0.04656040836686607,0.0205038461538461
30058360,30056676,1456.981406621906,0.8636561202019728,0.7344312000000001
30058360,30056684,810.106804401532,0.022023035798177847,0.0216588
