Total System Travel Time (hr),17253.446895020363
Fitness,14.577180071545595
Total Demand,79154.62464009605
Average Time (min),13.0783
Average Distance (m),8272.6031
Congestion (%),41.2321
Weighted Link Congestion,1.264
Weighted VC Ratio,0.7857
Non-Zero Weighted Link Congestion,1.2921
Non-Zero Weighted VC Ratio,0.8694
Total Vehicle Kilometres Travelle,673063.3694
