,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
813,5888479597,-36.9671509,174.858375,,3,174.858375,-36.9671509,,POINT (174.858375 -36.9671509)
814,5888479605,-36.9676883,174.8581178,,3,174.8581178,-36.9676883,,POINT (174.8581178 -36.9676883)
815,39052057,-36.9686434,174.8597719,,3,174.8597719,-36.9686434,,POINT (174.8597719 -36.9686434)
816,6192138179,-36.9697125,174.8607739,,3,174.8607739,-36.9697125,,POINT (174.8607739 -36.9697125)
817,5871743531,-36.9646394,174.8668165,,4,174.8668165,-36.9646394,,POINT (174.8668165 -36.9646394)
818,39056130,-36.9868691,174.8814419,traffic_signals,4,174.8814419,-36.9868691,,POINT (174.8814419 -36.9868691)
819,6207231332,-36.98691,174.881331,traffic_signals,4,174.881331,-36.98691,,POINT (174.881331 -36.98691)
820,5700059453,-36.9871453,174.8817191,,3,174.8817191,-36.9871453,,POINT (174.8817191 -36.9871453)
821,39058729,-36.9929305,174.8855913,,3,174.8855913,-36.9929305,,POINT (174.8855913 -36.9929305)
822,5700059353,-36.9941241,174.8858072,,3,174.8858072,-36.9941241,,POINT (174.8858072 -36.9941241)
823,39058741,-36.9970082,174.8854311,,3,174.8854311,-36.9970082,,POINT (174.8854311 -36.9970082)
824,5691076949,-37.0012158,174.8890945,,4,174.8890945,-37.0012158,,POINT (174.8890945 -37.0012158)
825,6207230484,-36.9962376,174.885429,traffic_signals,3,174.885429,-36.9962376,,POINT (174.885429 -36.9962376)
826,39058757,-37.0015915,174.8893749,traffic_signals,3,174.8893749,-37.0015915,,POINT (174.8893749 -37.0015915)
827,5691076944,-37.0019729,174.8894794,,4,174.8894794,-37.0019729,,POINT (174.8894794 -37.0019729)
828,5691076941,-37.0017111,174.8890192,,3,174.8890192,-37.0017111,,POINT (174.8890192 -37.0017111)
829,40152307,-36.9745701,174.8369616,,3,174.8369616,-36.9745701,,POINT (174.8369616 -36.9745701)
830,6227320908,-36.9740943,174.8371767,,4,174.8371767,-36.9740943,,POINT (174.8371767 -36.9740943)
831,40152309,-36.9740743,174.8373109,,3,174.8373109,-36.9740743,,POINT (174.8373109 -36.9740743)
832,6227320912,-36.9741318,174.8372738,,4,174.8372738,-36.9741318,,POINT (174.8372738 -36.9741318)
833,4467327199,-36.9741557,174.837439,,3,174.837439,-36.9741557,,POINT (174.837439 -36.9741557)
834,40160033,-36.9655634,174.8097091,,3,174.8097091,-36.9655634,,POINT (174.8097091 -36.9655634)
835,60700988,-36.9663511,174.8088281,,3,174.8088281,-36.9663511,,POINT (174.8088281 -36.9663511)
836,40160047,-36.9645129,174.8133453,,3,174.8133453,-36.9645129,,POINT (174.8133453 -36.9645129)
837,5904667042,-36.9644888,174.813957,,1,174.813957,-36.9644888,,POINT (174.813957 -36.9644888)
838,40169391,-36.9798404,174.8500894,traffic_signals,4,174.8500894,-36.9798404,,POINT (174.8500894 -36.9798404)
839,267472931,-36.9794605,174.8498445,,3,174.8498445,-36.9794605,,POINT (174.8498445 -36.9794605)
840,267472937,-36.9797646,174.8501798,traffic_signals,3,174.8501798,-36.9797646,,POINT (174.8501798 -36.9797646)
841,1424866784,-36.91212,174.7767577,,3,174.7767577,-36.91212,,POINT (174.7767577 -36.91212)
842,50159735,-36.9154352,174.7915641,,3,174.7915641,-36.9154352,,POINT (174.7915641 -36.9154352)
843,2837092063,-36.9087637,174.7835076,,3,174.7835076,-36.9087637,,POINT (174.7835076 -36.9087637)
