,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
6945,59816025,primary,4,29.029,50,Birkenhead Avenue,0,616959753,5709735375,900,"LINESTRING (174.7255438 -36.8098266, 174.7255139 -36.8099994, 174.7254991 -36.8100852)"
6946,59816025,primary,3,25.404,50,Onewa Road,0,616959756,5709735373,900,"LINESTRING (174.7257841 -36.8100738, 174.7256016 -36.8100811, 174.7254991 -36.8100852)"
6947,59816025,secondary,5,36.547,50,Highbury Bypass,0,616959757,5709735377,700,"LINESTRING (174.7250891 -36.8100687, 174.7253825 -36.8100805, 174.7254991 -36.8100852)"
6948,59816025,secondary,4,31.113999999999997,50,Birkenhead Avenue,0,616959763,5709735371,700,"LINESTRING (174.7255871 -36.810356, 174.7255347 -36.8101948, 174.7254991 -36.8100852)"
6949,5709735375,primary,4,694.6210000000002,50,Birkenhead Avenue,0,"[616959752, 147835705, 616959750, 616959751]",110200445,900,"LINESTRING (174.7252601 -36.8035956, 174.7252872 -36.8039219, 174.7253039 -36.8042291, 174.7253254 -36.8046022, 174.7253834 -36.8055356, 174.7254796 -36.8068914, 174.725495 -36.8071373, 174.7255368 -36.8078046, 174.7256075 -36.8089069, 174.7256293 -36.8092632, 174.7256367 -36.8093822, 174.7256342 -36.8094372, 174.7256226 -36.8095643, 174.7255561 -36.8097751, 174.7255528 -36.8097921, 174.7255438 -36.8098266)"
6950,5709735373,primary,5,1591.146,50,Onewa Road,0,"[616959754, 616959755, 613882668, 614967565, 628328462, 614967567, 158619822, 634432749, 759820758, 7991511]",59816096,900,"LINESTRING (174.7435555 -36.8110286, 174.7434217 -36.8109903, 174.7433553 -36.8109712, 174.7430862 -36.810894, 174.7428232 -36.8108144, 174.7426311 -36.8107608, 174.7425396 -36.8107439, 174.7422326 -36.8107223, 174.7418129 -36.8106998, 174.7415154 -36.8106851, 174.7405326 -36.810638, 174.7404748 -36.8106349, 174.7397067 -36.8105941, 174.7394779 -36.8105816, 174.7388834 -36.8105491, 174.7384792 -36.8105319, 174.738113 -36.8105112, 174.7376654 -36.810486, 174.7373944 -36.8104718, 174.7371199 -36.8104574, 174.7369494 -36.8104507, 174.7359863 -36.8103925, 174.7352062 -36.8103538, 174.7343281 -36.8103044, 174.7335206 -36.810259, 174.7331446 -36.8102342, 174.7322338 -36.8101794, 174.7311182 -36.810115, 174.7304178 -36.8100746, 174.7296162 -36.8100347, 174.7293047 -36.8100187, 174.7282155 -36.8099554, 174.7281186 -36.8099498, 174.7280198 -36.8099481, 174.727494 -36.8099845, 174.7274554 -36.8099872, 174.7272192 -36.8100035, 174.7270696 -36.8100139, 174.7267077 -36.8100389, 174.7264598 -36.8100537, 174.7262683 -36.810058, 174.7259723 -36.8100677, 174.7257841 -36.8100738)"
6951,5709735377,secondary,4,35.399,50,Highbury Bypass,0,"[27353432, 653843503]",300298616,700,"LINESTRING (174.7246918 -36.8100559, 174.7248064 -36.8100596, 174.7250466 -36.8100675, 174.7250891 -36.8100687)"
6952,5709735371,secondary,3,71.879,50,Birkenhead Avenue,0,"[27353375, 616959767]",3979296372,700,"LINESTRING (174.7258377 -36.8109705, 174.7257859 -36.8108446, 174.7256987 -36.8106323, 174.7256043 -36.8103987, 174.7255871 -36.810356)"
6953,59816096,primary,5,612.1960000000001,50,Onewa Road,0,"[665502273, 158619820, 613882669, 613882670, 613882671, 628328464, 671791888, 149321389, 881802681, 149318811]",6337682866,900,"LINESTRING (174.7501559 -36.8122358, 174.7497059 -36.8122421, 174.7480321 -36.8122681, 174.7478839 -36.812262, 174.7477445 -36.8122506, 174.7476379 -36.812241, 174.7475435 -36.8122273, 174.7474602 -36.8122118, 174.7473274 -36.8121766, 174.7471858 -36.8121308, 174.7468447 -36.812026, 174.7467393 -36.8119936, 174.7461579 -36.8118231, 174.7460465 -36.8117898, 174.74533 -36.8115725, 174.7451676 -36.8115243, 174.7448572 -36.8114307, 174.7446797 -36.8113738, 174.7446148 -36.811353, 174.7445775 -36.811341, 174.7442995 -36.8112518, 174.7441645 -36.811212, 174.7440256 -36.8111717, 174.7439522 -36.8111494, 174.7437401 -36.8110848, 174.7435555 -36.8110286)"
6954,59816096,secondary,3,854.092,50,Lake Road,0,"[147615040, 613882667, 759820755]",5816233354,700,"LINESTRING (174.7445344 -36.8035235, 174.7445685 -36.8036923, 174.7445762 -36.8038648, 174.7444794 -36.8045577, 174.7444145 -36.8050203, 174.7443992 -36.8051292, 174.7442915 -36.8057555, 174.7442712 -36.8058507, 174.7441183 -36.8064961, 174.7441087 -36.806554, 174.7440032 -36.8070388, 174.7439906 -36.8071089, 174.743951 -36.8072791, 174.7438867 -36.8075478, 174.7438353 -36.8077514, 174.7437688 -36.8080241, 174.7437534 -36.8080874, 174.7434105 -36.8089805, 174.7432608 -36.8093969, 174.7432244 -36.8094973, 174.7431962 -36.8096019, 174.7431822 -36.809748, 174.7431896 -36.8098674, 174.7432069 -36.8099493, 174.743234 -36.8100305, 174.7435007 -36.8106147, 174.7435621 -36.8107589, 174.7435784 -36.8108302, 174.743586 -36.8108706, 174.7435882 -36.8108934, 174.7435881 -36.8109145, 174.7435854 -36.8109321, 174.7435838 -36.8109425, 174.7435555 -36.8110286)"
6955,6337682866,motorway_link,4,14.949000000000002,50,,0,"[810821853, 881802679]",6250887236,2000,"LINESTRING (174.7503238 -36.8122334, 174.7502574 -36.8122345, 174.7501559 -36.8122358)"
6956,59816909,secondary,2,356.845,50,Kaipatiki Road,0,27354343,59816916,700,"LINESTRING (174.7111781 -36.7820123, 174.7112374 -36.7819353, 174.711514 -36.7816829, 174.7116628 -36.7814914, 174.7123226 -36.7804774, 174.7124517 -36.7803049, 174.7125114 -36.7802333, 174.7127134 -36.7800488, 174.7129425 -36.7798829, 174.7131085 -36.7797835, 174.7133154 -36.7797017, 174.713523 -36.7796611, 174.7136616 -36.7796468)"
6957,59816917,secondary,2,445.80699999999996,50,Kaipatiki Road,0,27354389,6224346306,700,"LINESTRING (174.7072727 -36.7850891, 174.7073292 -36.7850564, 174.7075402 -36.7849308, 174.7085046 -36.7843567, 174.7087289 -36.7842232, 174.7087816 -36.7841865, 174.7088988 -36.7841031, 174.708983 -36.7840259, 174.7091134 -36.7838947, 174.7092116 -36.7837694, 174.7092991 -36.7836523, 174.7099222 -36.7827163, 174.7099652 -36.7826529, 174.7100967 -36.7825282, 174.710264 -36.7824256, 174.710427 -36.7823684, 174.7106843 -36.7823139)"
6958,59817138,secondary,2,22.952,50,Sunnybrae Road,0,455589396,4519795050,700,"LINESTRING (174.7371483 -36.7827896, 174.7369702 -36.7826404)"
6959,59817138,secondary,2,24.433,50,Archers Road,0,616776720,4519795058,700,"LINESTRING (174.7371695 -36.7824894, 174.7369702 -36.7826404)"
6960,59817138,secondary,3,16.543,50,Archers Road,0,616776730,4519795042,700,"LINESTRING (174.7368414 -36.7827476, 174.7369702 -36.7826404)"
6961,4519795050,secondary,2,2.504,50,Sunnybrae Road,0,455589396,4519795041,700,"LINESTRING (174.7371677 -36.7828059, 174.7371483 -36.7827896)"
6962,4519795058,secondary,4,20.014,50,Archers Road,0,616776738,4519795026,700,"LINESTRING (174.737329 -36.7823626, 174.7371695 -36.7824894)"
6963,4519795042,secondary,4,1386.5580000000002,50,Archers Road,0,"[622847173, 622847174, 149241292, 149241298, 7991701, 149241302, 616776732, 616776735]",3343187405,700,"LINESTRING (174.7259587 -36.7914089, 174.7261535 -36.7913861, 174.7263876 -36.7913728, 174.7265585 -36.7913348, 174.7266886 -36.7912739, 174.7267945 -36.7911794, 174.7268112 -36.7911568, 174.726874 -36.791072, 174.7269353 -36.7909539, 174.7271043 -36.7904985, 174.7271928 -36.7903589, 174.7272981 -36.7902334, 174.7274928 -36.7900703, 174.7276147 -36.7899737, 174.7281402 -36.789557, 174.7290014 -36.7888861, 174.7295865 -36.7884189, 174.7309279 -36.7873692, 174.7314424 -36.7869613, 174.7321059 -36.7864443, 174.73278 -36.7859163, 174.7336377 -36.7852301, 174.7341217 -36.7848569, 174.7342389 -36.7847712, 174.7346032 -36.784477, 174.7346414 -36.7844475, 174.7347214 -36.7843866, 174.735147 -36.7840629, 174.7353096 -36.7839355, 174.7360922 -36.7833221, 174.7365556 -36.782966, 174.7368414 -36.7827476)"
6964,59817142,primary,5,19.024,50,Wairau Road,0,615910686,6512504897,900,"LINESTRING (174.7440326 -36.7768562, 174.7440674 -36.7769095, 174.7441299 -36.7770085)"
6965,59817142,primary,5,199.74099999999999,50,Wairau Road,0,"[803807168, 615910688, 159936631]",3278120141,900,"LINESTRING (174.7452038 -36.778585, 174.7451151 -36.7784409, 174.7449254 -36.7781409, 174.744864 -36.7780526, 174.7443834 -36.7773693, 174.7442325 -36.7771546, 174.7442223 -36.7771401, 174.7441299 -36.7770085)"
6966,59817142,secondary,2,20.777,50,Archers Road,0,710853733,6512504894,700,"LINESTRING (174.7439632 -36.7771392, 174.7440655 -36.7770601, 174.7441299 -36.7770085)"
6967,6512504897,primary,5,8.878,50,Wairau Road,0,615910686,5700429269,900,"LINESTRING (174.7439885 -36.7767846, 174.7440326 -36.7768562)"
6968,6512504894,secondary,4,776.035,50,Archers Road,0,"[147835749, 710853734, 814301136, 149100351, 615910678, 615910679, 615910680, 615910681, 615910687]",4519795027,700,"LINESTRING (174.7377511 -36.7820315, 174.7379565 -36.7818684, 174.740395 -36.7799315, 174.740889 -36.7795681, 174.7420176 -36.7786784, 174.7420453 -36.7786549, 174.742489 -36.7782816, 174.7429615 -36.7779315, 174.7430925 -36.7778303, 174.7432471 -36.7777141, 174.7433909 -36.7776062, 174.7438306 -36.7772525, 174.7439271 -36.777172, 174.7439632 -36.7771392)"
6969,59817613,primary,4,311.516,50,Wairau Road,0,"[669708760, 147603917, 483407278]",4576575016,900,"LINESTRING (174.7489973 -36.7799875, 174.748732 -36.7799713, 174.7481127 -36.7798918, 174.7480594 -36.7798859, 174.7471928 -36.7798017, 174.7469386 -36.7797573, 174.7467086 -36.7797041, 174.7464913 -36.7796212, 174.7462588 -36.7795, 174.7460174 -36.779362, 174.7459037 -36.7792966, 174.7457222 -36.7791921)"
6970,59817653,primary,4,1114.8619999999999,50,Wairau Road,0,"[147835713, 616019783, 616019785, 616019786, 616019787, 616019788, 616019789, 616019790, 616750988, 616750989, 616750990, 616750991, 460596819, 831407284, 616750993, 159937468, 159937469, 616663390]",59817683,900,"LINESTRING (174.7248827 -36.769071, 174.725349 -36.7690456, 174.7254459 -36.7690403, 174.7256798 -36.7690582, 174.7259901 -36.7691095, 174.7263672 -36.7692065, 174.7265635 -36.769283, 174.7267918 -36.7693948, 174.7271897 -36.7696404, 174.7273623 -36.7697603, 174.7276709 -36.7699606, 174.7278795 -36.7700796, 174.7281274 -36.7701819, 174.7283596 -36.7702477, 174.7286005 -36.770293, 174.7291094 -36.7703383, 174.729542 -36.7702975, 174.7298536 -36.7702134, 174.7300557 -36.7701589, 174.7301488 -36.7701338, 174.7309089 -36.7699397, 174.7310762 -36.7698982, 174.7313346 -36.7698462, 174.7315402 -36.7698115, 174.7320675 -36.769717, 174.7324919 -36.7696683, 174.732995 -36.7696447, 174.7332668 -36.7696485, 174.7336153 -36.7696622, 174.7336863 -36.7696627, 174.7341854 -36.7696877, 174.7346639 -36.7697032, 174.7349149 -36.7697147, 174.735145 -36.7697253, 174.7360233 -36.7697816, 174.7362915 -36.7698077, 174.7365794 -36.7698898, 174.7366967 -36.7699353, 174.7367938 -36.7699787)"
6971,59817683,primary,3,159.59900000000002,50,Wairau Road,0,"[616663392, 616019791]",5712260906,900,"LINESTRING (174.7231776 -36.7695119, 174.7237088 -36.769371, 174.7239457 -36.7693082, 174.7243491 -36.7692061, 174.7248827 -36.769071)"
6972,59817712,primary,5,226.786,50,Wairau Road,0,"[33104946, 615910691, 615910692]",724031701,900,"LINESTRING (174.7522854 -36.7821429, 174.7514854 -36.7815185, 174.7510873 -36.781189, 174.7506125 -36.7808078, 174.7504896 -36.7806974)"
6973,724031701,primary,5,78.886,50,Wairau Road,0,"[613493188, 613493183]",373572857,900,"LINESTRING (174.7529339 -36.7826261, 174.7524696 -36.7822843, 174.7522854 -36.7821429)"
6974,59817731,secondary,4,32.466,50,Northcote Road,0,7991841,4578514134,700,"LINESTRING (174.7560102 -36.7857017, 174.7562195 -36.7855441, 174.7562758 -36.7855017)"
6975,4578514134,secondary,4,27.421,50,Northcote Road,0,909974719,4578511917,700,"LINESTRING (174.7557774 -36.7858631, 174.7560102 -36.7857017)"
6976,59817756,secondary,3,205.848,50,Northcote Road,0,"[147615033, 613937851, 613937854]",5702867522,700,"LINESTRING (174.7473652 -36.7924947, 174.7470597 -36.7927323, 174.7469802 -36.7927942, 174.7468127 -36.7929248, 174.7461068 -36.7934752, 174.7460019 -36.7935556, 174.7457213 -36.7937958)"
6977,5702867522,secondary,4,42.026,50,Northcote Road,0,613937853,5808027082,700,"LINESTRING (174.7477039 -36.7922315, 174.7473652 -36.7924947)"
6978,110212834,secondary,2,522.016,50,Lake Road,0,"[243407465, 834223316, 817683950]",3311669087,700,"LINESTRING (174.7446594 -36.7992844, 174.7446707 -36.799236, 174.7446853 -36.7991518, 174.7447271 -36.7989169, 174.7448464 -36.7980879, 174.7448739 -36.7978964, 174.7449047 -36.797623, 174.7449726 -36.7970675, 174.7449936 -36.7969378, 174.7450142 -36.7967678, 174.7452492 -36.7952277, 174.7452594 -36.7951479, 174.7452834 -36.7949346, 174.7453183 -36.7946202)"
6979,5689031557,secondary,5,258.833,50,Anzac Street,0,"[613081624, 613081621, 615560104]",3313344253,700,"LINESTRING (174.7678225 -36.7884599, 174.76688 -36.788951, 174.7667937 -36.7889959, 174.7658778 -36.7894875, 174.7653995 -36.7897455)"
6980,59817799,secondary,5,42.906,50,Anzac Street,0,613081622,3313344253,700,"LINESTRING (174.7678225 -36.7884599, 174.768231 -36.7882553)"
6981,59817799,secondary,3,48.974000000000004,50,Auburn Street,0,122207169,3313349764,700,"LINESTRING (174.7685245 -36.7886277, 174.7683142 -36.788367, 174.768231 -36.7882553)"
6982,59817799,secondary,4,119.27799999999999,50,Anzac Street,0,"[665321400, 613081628, 613081631]",6227318870,700,"LINESTRING (174.7693504 -36.7876663, 174.7689282 -36.7878937, 174.7686765 -36.7880242, 174.768231 -36.7882553)"
6983,59817799,secondary,3,193.174,50,Auburn Street,0,"[147615041, 613081676]",98376052,700,"LINESTRING (174.7670577 -36.7867941, 174.7670941 -36.7868393, 174.7675998 -36.7874672, 174.7679257 -36.7878741, 174.768231 -36.7882553)"
6984,3313349764,secondary,4,93.393,50,Auburn Street,0,"[613081680, 613081678]",6227318858,700,"LINESTRING (174.7691037 -36.7893278, 174.7688311 -36.7889876, 174.7686478 -36.7887725, 174.7685245 -36.7886277)"
