From,To,Volume,EstimatedTT
442874,26384674,1860.91,0.66
442928,1803689295,0.0,0.03
26384674,264670999,559.01,0.4
26384674,534589,1301.9,0.63
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,543.64,0.36
15866840,1803689315,1928.27,0.67
264670999,534589,284.77,0.33
534589,534591,1586.66,0.38
534591,534626,1343.57,0.66
8083440,534911,1424.18,0.04
534626,534624,2.89,0.07
534626,534625,1340.68,0.08
534608,30409417,1202.6,0.87
30436919,30436908,861.16,1.3
30409417,30409422,510.85,0.02
30409417,30403571,2199.81,0.21
534624,534608,867.11,1.23
534625,30436908,1342.19,0.02
534625,534624,864.22,0.07
30436908,30436907,1364.85,0.02
30436908,534628,836.99,0.38
534628,534629,1165.72,0.22
534629,3595409680,1443.99,0.65
11769656,11769730,921.25,0.2
3595409680,3855350,1168.13,0.01
3595409680,7128283652,275.86,0.04
3160432771,30409397,385.65,0.15
30409405,30409419,1004.88,0.72
534736,140605768,1921.28,0.14
534306820,2021890013,1524.77,0.19
140605768,534324288,1921.28,0.49
534329195,2021890013,914.34,0.02
534329195,534306820,1921.28,0.3
3853550,3564765835,298.02,0.4
534742,534770,1543.64,0.56
534770,29138173,2559.65,0.09
534743,534744,547.71,0.07
534744,534747,2095.26,0.05
247994358,534742,718.24,0.06
534747,277692998,123.2,0.01
534747,2287846802,1972.05,0.34
277692998,288154283,1916.66,0.08
2287846802,29510418,0.0,0.04
2287846802,2287846804,1972.05,0.15
534749,25235133,2335.66,0.09
534749,7095690293,411.69,0.76
25235133,25235132,967.78,0.01
25235133,534751,1382.48,0.91
7095690293,7095690318,1113.93,0.01
534751,534754,790.67,0.87
534754,3098430373,880.21,0.16
29510455,25235132,1282.61,0.7
3098430373,16574394,630.01,0.03
3098430373,2260849842,1176.43,0.89
534758,25873172,1426.62,0.03
534758,2202559858,1403.31,0.64
25873172,25873173,2152.76,0.02
25873172,3100041009,893.99,0.31
2202559858,25873172,1620.13,0.65
534769,546378258,1380.7,0.58
534769,534770,1016.01,0.04
546378258,247994363,901.65,0.05
546378258,290077155,479.05,0.24
29138173,1775338888,297.83,0.09
29138173,534773,2261.83,0.76
534773,2544089666,2846.78,0.04
534773,335716508,809.68,0.27
2544089666,2544089665,2055.23,0.06
2544089666,16574602,791.55,0.03
335716508,534799,809.68,0.51
534774,534804,490.81,0.15
244038933,534778,747.2,0.08
534804,18630111,3095.04,0.79
534804,16574613,269.7,0.05
534778,244038915,1209.8,0.02
534778,30058360,1137.43,0.23
244038915,534787,1816.95,0.25
244038915,244038942,839.97,0.03
30058360,30056676,1364.3,0.83
30058360,30056684,495.5,0.02
534787,244038955,667.64,0.05
534787,244038923,1149.31,0.26
244038955,244038925,1090.84,0.05
244038955,2072816,670.94,0.35
244038923,244038955,1094.14,0.1
534790,30261537,684.03,0.04
534790,30409389,1607.14,0.04
30261537,30409389,462.19,0.05
30409389,30409397,1823.49,0.06
30409389,3160432771,245.84,0.18
534796,534790,731.2,0.05
534796,3160432775,1235.33,0.4
3160432775,534790,1559.97,0.18
534799,1501721437,253.96,0.02
534799,11769597,916.8,0.43
1501721437,18630516,1047.87,0.01
1501721437,2071676,374.23,0.32
11769597,7128283648,1111.85,0.01
11769597,3595409680,0.0,0.02
18630111,280008666,2421.44,0.04
18630111,35711189,1159.77,0.89
16574613,534773,1830.79,0.04
16574613,16574619,391.25,0.14
534806,280008531,1323.43,0.02
534806,2287864441,2764.07,0.35
280008531,18630070,484.03,0.03
280008531,31197353,839.84,0.05
2287864441,280221322,946.86,0.09
2287864441,24969587,1817.21,0.05
24669567,976932104,547.75,0.11
1854526402,27318980,681.28,0.04
27318980,27318981,845.47,0.07
534908,534911,110.63,0.05
534911,534914,1534.81,0.3
3853544,15511907,598.4,0.38
534914,442936,150.18,0.41
534914,15866840,1384.63,0.71
30409415,30409424,902.37,0.05
536575,30409422,2307.92,0.18
30403571,10919767,1897.38,0.44
30409422,30409424,1960.19,0.01
30409422,30409415,858.57,0.08
536584,30587893,891.97,1.34
30587893,1619208224,764.0,0.47
536652,25479302,1641.59,1.46
536652,18629762,1053.15,0.06
25479302,18627237,1278.61,1.28
25479302,28796755,973.5,0.07
18629762,264218470,1333.03,0.2
18629762,264223496,1773.45,0.03
25599929,2526224454,791.11,0.09
264218470,264223496,885.6,0.18
3899207524,309517759,1425.42,0.01
536663,21527849,2488.81,0.12
536663,536667,1679.04,2.29
21527849,2297622,1777.71,0.01
21527849,21552197,1911.61,0.17
21647397,2297615,1507.2,0.14
21647058,1632149359,237.83,0.28
536670,24945363,277.42,0.02
536670,2075220,3140.36,0.52
24945363,21660961,2722.32,0.02
2075220,25096430,2849.24,0.03
2075220,3869392962,1019.37,0.52
344434421,10919786,1020.62,0.22
1630023963,311941598,1423.14,0.25
3100041009,25873173,784.31,0.26
31296012,3148489413,752.71,0.12
536675,3148489416,943.69,0.17
3148489416,3148489413,273.35,0.02
3148489416,31296012,929.97,0.14
248219433,248219482,336.25,0.38
2071674,518252065,328.73,0.04
518252065,29348253,328.73,0.24
11769758,3853550,345.51,0.82
534316145,518252065,0.0,0.05
2071676,18178669,1738.52,0.8
18178669,534743,190.98,0.05
18178669,534744,1547.54,0.07
7101166877,16574525,849.42,0.18
2287857538,5824956622,824.85,0.06
2274921120,206133365,723.13,1.97
2072802,30151417,616.45,1.76
316507154,316507156,632.98,0.28
30151417,30151418,1484.79,0.04
2072807,1485594848,423.97,0.01
2072807,1485594778,791.09,0.11
1485594848,159725096,218.91,0.02
1485594848,11007703,987.89,0.63
1485594778,1485594848,782.83,0.09
2072816,244038925,684.52,0.4
244038925,244038942,1775.35,0.24
2075215,25755498,567.6,0.02
2075215,2039066667,2088.06,3.42
25755498,25755497,1641.86,0.02
25755498,25755500,319.96,0.05
2039066667,25755506,1967.43,2.73
25096430,25096432,1423.84,0.02
25096430,10919799,2504.46,0.37
