from,to,length,volume,EstimatedTT,CO2,lengthm
26759727,26759737,271.658,645.4706670452069,19.761431239865466,36995.15665813068,0.16880040311800001
26759730,26759727,16.887,826.8469586859693,1.249685636035146,2962.7489828268554,0.010493092077
26759665,26759668,47.624,553.871183303593,3.4350044171320078,5550.125715054354,0.029592172504
26759727,26759728,12.576,2386.414684046238,1.458456308468994,8105.534128116863,0.007814361696000001
26759728,26759869,449.696,1310.5828519423158,63.43825940934624,183701.1066837358,0.279428053216
26759739,26759728,268.734,444.15736077496456,19.36302736233164,25106.49694051329,0.166983514314
262091049,26759668,831.031,1470.9885743314264,65.1094577641478,264895.56252836215,0.516378563501
26759728,26759729,16.701,1519.9891928788877,3.1362699154972917,9871.438989896877,0.010377517071
26960758,29271261,9.577,1348.3816709716143,0.8251948201666259,2918.3398306143167,0.005950870067
26960758,2884508640,601.451,1385.0879059875178,52.78977426903856,189991.18114351807,0.37372420932100003
35107206,35107210,51.69,1222.8190458830118,4.216898527905894,13929.101321164508,0.032118666989999996
29122661,35107206,53.839,624.8068232469873,4.054394330965728,7181.33013093027,0.033453993269
29271261,29273080,17.087,647.661465366368,1.2431464844506501,2334.9593015160517,0.010617366277
29271261,29219438,461.975,2109.98054426434,72.49721764199012,329761.7961419978,0.287057867725
29273080,26960758,16.491,1023.4851406074145,1.5798882507094139,4035.273710488675,0.010247029161
29273065,26960758,529.365,1709.984436351719,44.25063508922644,201663.8382501684,0.32893205941500003
29276217,26960762,855.245,1694.008696140081,91.75593229482698,371315.21810144815,0.531424440895
29215046,26960762,857.487,1389.8124006611254,75.44768750585862,272130.5594679607,0.532817554677
2884508640,29270503,84.061,682.4264685977182,6.44787208197069,12329.446375516603,0.052233067631
2884508640,29271693,1730.916,2874.594473349492,183.26556404671058,1264371.7244709427,1.075541005836
29215046,287447547,24.401,1519.0217998428693,46.84791126509794,39881.003905243444,0.015162073771
287447524,29215046,26.794,885.3937324744329,7.644084908715498,12517.504231913981,0.016649014574
3243910627,29276217,44.246,1379.786435338198,3.4031363237328303,13134.85798354801,0.027493181266000002
29276213,29276217,77.932,1126.9561597345537,8.337886636150085,22468.63365618673,0.048424684772
358082698,26953063,139.386,1280.801259425577,30.287625509723014,77575.62331996245,0.086610418206
1679931219,2453778078,53.608,1280.801259425577,89.88403437076681,72282.97410689994,0.033310456567999996
1679931219,26953063,634.232,1218.0645513172635,79.26258852523671,220024.27474419406,0.394093372072
26953063,358082698,139.593,1218.0645513172635,27.86080595626497,69285.76674814784,0.08673904200299999
26953133,27541017,72.821,1218.0645513172635,5.9299897220814,19531.622885776167,0.045248857591
27541045,26953133,83.637,1280.801259425577,10.904249213364487,31470.393963580675,0.051969606327
2453778078,1679931219,53.453,1218.0645513172635,74.48011175548707,66215.67629397871,0.033214144063
26953133,358082698,463.034,1280.801259425577,33.672152035071754,125111.13471017146,0.287715899614
27541045,27541017,16.029,34.15182630935026,1.1540880038313661,115.11910179903029,0.009959955759
26953134,27541036,61.688,624.8068232469873,4.481819325881718,8128.632559282372,0.038331134248000005
27541017,27543286,386.297,43.87324532734164,23.177820209570797,3422.1334983739066,0.24003375318700002
27541017,27541027,42.8,1208.3431322992722,3.472572720591462,11369.955706275967,0.0265946788
27541036,27541045,27.058,1314.9530857349268,2.294815701200118,7980.116702814431,0.016813056518
27541027,27541036,14.126,690.1462624879397,1.0176350868608761,2050.5133964218394,0.008777486746
35107206,26953134,960.718,624.8068232469873,72.34773329476279,128145.64016283846,0.596962304378
27541027,26953134,55.028,1222.8190458830118,6.630957886053936,18669.2965361395,0.034192803388
26983753,26983748,320.102,2222.4589471310296,20.34961366178622,145008.00267706005,0.198902099842
2250437906,26983748,594.322,3580.445112942515,37.47058246149451,433071.28149513627,0.369294455462
26983754,27176888,160.359,2190.639483070677,27.36993121271123,126853.88689072378,0.09964243218900001
26983753,26983754,60.936,301.5677686697563,4.38955150994337,3865.02921881066,0.037863863256000004
26983755,26983756,55.599,2091.89542130483,5.446617025685994,28170.080304448744,0.034547606229
27176892,26983755,159.306,1973.2048343000292,21.818174279537438,95809.07433642086,0.098988128526
26983756,26983753,16.087,1442.713089176974,2.67008913351024,8200.957453645608,0.009995995277
