,Unnamed: 0,osmid,y,x,highway,street_cou,lon,lat,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
13262,13262,839957989,-36.7464003,174.6925976,turning_circle,1,174.6925976,-36.7464003,,POINT (174.6925976 -36.7464003),2.0,7.0,0,0
13263,13263,839958165,-36.74803970000001,174.6927792,,3,174.6927792,-36.74803970000001,,POINT (174.6927792 -36.7480397),2.0,7.0,0,0
13264,13264,839958451,-36.7416604,174.7088042,,3,174.7088042,-36.7416604,,POINT (174.7088042 -36.7416604),2.0,7.0,0,1
13265,13265,839958025,-36.7617612,174.6865405,turning_circle,1,174.6865405,-36.7617612,,POINT (174.6865405 -36.7617612),1.0,6.0,None,None
13266,13266,848523859,-36.7620223,174.6874542,,3,174.6874542,-36.7620223,,POINT (174.6874542 -36.7620223),1.0,6.0,None,None
13267,13267,839958048,-36.7493702,174.69461,,1,174.69461,-36.7493702,,POINT (174.69461 -36.7493702),2.0,7.0,0,0
13268,13268,839958304,-36.7494456,174.6936587,,3,174.6936587,-36.7494456,,POINT (174.6936587 -36.7494456),2.0,7.0,0,0
13269,13269,839958074,-36.74257,174.696617,,3,174.696617,-36.74257,,POINT (174.696617 -36.74257),2.0,7.0,0,1
13270,13270,839958086,-36.752973499999996,174.692915,turning_circle,1,174.692915,-36.752973499999996,,POINT (174.692915 -36.7529735),2.0,7.0,0,0
13271,13271,839958135,-36.752243299999996,174.6910498,,3,174.6910498,-36.752243299999996,,POINT (174.6910498 -36.7522433),2.0,7.0,0,0
13272,13272,6215756075,-36.748203499999995,174.69339430000002,,4,174.69339430000002,-36.748203499999995,,POINT (174.6933943 -36.7482035),2.0,7.0,0,0
13273,13273,839958184,-36.7523111,174.6908689,,3,174.6908689,-36.7523111,,POINT (174.6908689 -36.7523111),2.0,7.0,0,0
13274,13274,839958277,-36.751001,174.68586399999998,turning_circle,3,174.68586399999998,-36.751001,,POINT (174.685864 -36.751001),,,,
13275,13275,7580128715,-36.7516666,174.68804699999998,,3,174.68804699999998,-36.7516666,,POINT (174.688047 -36.7516666),,,,
13276,13276,6191845886,-36.750325,174.683152,,3,174.683152,-36.750325,,POINT (174.683152 -36.750325),,,,
13277,13277,1336258065,-36.7540192,174.6908343,,3,174.6908343,-36.7540192,,POINT (174.6908343 -36.7540192),2.0,7.0,0,0
13278,13278,839958301,-36.7429805,174.69289740000002,traffic_signals,4,174.69289740000002,-36.7429805,,POINT (174.6928974 -36.7429805),2.0,7.0,0,1
13279,13279,6215756081,-36.7429893,174.692777,traffic_signals,3,174.692777,-36.7429893,,POINT (174.692777 -36.7429893),2.0,7.0,0,1
13280,13280,6215756066,-36.7458739,174.69323119999999,,3,174.69323119999999,-36.7458739,,POINT (174.6932312 -36.7458739),2.0,7.0,0,0
13281,13281,6215756696,-36.750615100000005,174.69396530000003,traffic_signals,3,174.69396530000003,-36.750615100000005,,POINT (174.6939653 -36.7506151),2.0,7.0,0,0
13282,13282,839958340,-36.7546884,174.6949402,,3,174.6949402,-36.7546884,,POINT (174.6949402 -36.7546884),2.0,7.0,0,0
13283,13283,839958337,-36.7524259,174.690958,,3,174.690958,-36.7524259,,POINT (174.690958 -36.7524259),2.0,7.0,0,0
13284,13284,1336258627,-36.7538732,174.690845,,3,174.690845,-36.7538732,,POINT (174.690845 -36.7538732),2.0,7.0,0,0
13285,13285,839958468,-36.75465820000001,174.69514719999998,,3,174.69514719999998,-36.75465820000001,,POINT (174.6951472 -36.7546582),2.0,7.0,0,0
13286,13286,839958343,-36.7366513,174.6916517,,3,174.6916517,-36.7366513,,POINT (174.6916517 -36.7366513),2.0,7.0,0,1
13287,13287,7605711256,-36.73871629999999,174.6890146,,3,174.6890146,-36.73871629999999,,POINT (174.6890146 -36.7387163),,,,
13288,13288,839958394,-36.741504299999995,174.7089901,,3,174.7089901,-36.741504299999995,,POINT (174.7089901 -36.7415043),2.0,7.0,0,1
13289,13289,5211691890,-36.741529,174.7088273,,3,174.7088273,-36.741529,,POINT (174.7088273 -36.741529),2.0,7.0,0,1
13290,13290,5211691897,-36.7415259,174.7080983,,3,174.7080983,-36.7415259,,POINT (174.7080983 -36.7415259),2.0,7.0,0,1
13291,13291,839996341,-36.7507136,174.72652680000002,,4,174.72652680000002,-36.7507136,,POINT (174.7265268 -36.7507136),2.0,7.0,1,0
13292,13292,2146132826,-36.7509458,174.7267495,,4,174.7267495,-36.7509458,,POINT (174.7267495 -36.7509458),2.0,7.0,1,0
13293,13293,839996365,-36.7506019,174.72642280000002,,4,174.72642280000002,-36.7506019,,POINT (174.7264228 -36.7506019),2.0,7.0,1,0
13294,13294,2146132828,-36.7505393,174.7266405,,3,174.7266405,-36.7505393,,POINT (174.7266405 -36.7505393),2.0,7.0,1,0
13295,13295,2146132811,-36.7506875,174.72541730000003,,3,174.72541730000003,-36.7506875,,POINT (174.7254173 -36.7506875),2.0,7.0,1,0
13296,13296,839999789,-36.751929700000005,174.7216388,,4,174.7216388,-36.751929700000005,,POINT (174.7216388 -36.7519297),2.0,7.0,1,0
13297,13297,839999793,-36.7520344,174.72168680000001,,3,174.72168680000001,-36.7520344,,POINT (174.7216868 -36.7520344),2.0,7.0,1,0
13298,13298,8233861189,-36.751805600000004,174.7220805,,3,174.7220805,-36.751805600000004,,POINT (174.7220805 -36.7518056),2.0,7.0,1,0
13299,13299,6215954098,-36.7520665,174.7215722,,3,174.7215722,-36.7520665,,POINT (174.7215722 -36.7520665),2.0,7.0,1,0
13300,13300,844612024,-36.6927218,174.74212269999998,turning_circle,1,174.74212269999998,-36.6927218,,POINT (174.7421227 -36.6927218),3.0,8.0,None,None
13301,13301,844612199,-36.6931917,174.74115749999999,turning_circle,1,174.74115749999999,-36.6931917,,POINT (174.7411575 -36.6931917),3.0,8.0,None,None
13302,13302,844612412,-36.69287670000001,174.7435044,turning_circle,1,174.7435044,-36.69287670000001,,POINT (174.7435044 -36.6928767),3.0,8.0,None,None
13303,13303,844613635,-36.69803220000001,174.7360752,turning_circle,1,174.7360752,-36.69803220000001,,POINT (174.7360752 -36.6980322),3.0,8.0,None,None
13304,13304,844614026,-36.6988475,174.72651000000002,,3,174.72651000000002,-36.6988475,,POINT (174.72651 -36.6988475),2.0,8.0,None,None
13305,13305,7739857589,-36.6988006,174.72641230000002,,1,174.72641230000002,-36.6988006,,POINT (174.7264123 -36.6988006),2.0,8.0,None,None
13306,13306,7739857592,-36.6989489,174.7265102,,1,174.7265102,-36.6989489,,POINT (174.7265102 -36.6989489),2.0,8.0,None,None
13307,13307,6309730911,-36.6938963,174.7285564,,2,174.7285564,-36.6938963,,POINT (174.7285564 -36.6938963),2.0,8.0,None,None
13308,13308,844615507,-36.6955151,174.7340929,,3,174.7340929,-36.6955151,,POINT (174.7340929 -36.6955151),3.0,8.0,None,None
13309,13309,844615510,-36.6949501,174.7339983,turning_circle,1,174.7339983,-36.6949501,,POINT (174.7339983 -36.6949501),3.0,8.0,None,None
13310,13310,844615564,-36.696122700000004,174.73449319999997,turning_circle,1,174.73449319999997,-36.696122700000004,,POINT (174.7344932 -36.6961227),3.0,8.0,None,None
13311,13311,1011918544,-36.695604700000004,174.73352749999998,,3,174.73352749999998,-36.695604700000004,,POINT (174.7335275 -36.6956047),3.0,8.0,None,None
13312,13312,844615524,-36.6967926,174.7318821,turning_circle,1,174.7318821,-36.6967926,,POINT (174.7318821 -36.6967926),3.0,8.0,None,None
13313,13313,6309805928,-36.6959873,174.73334880000002,,3,174.73334880000002,-36.6959873,,POINT (174.7333488 -36.6959873),3.0,8.0,None,None
13314,13314,844615661,-36.695285600000005,174.72921680000002,,1,174.72921680000002,-36.695285600000005,,POINT (174.7292168 -36.6952856),2.0,8.0,None,None
13315,13315,844617277,-36.7310152,174.7420501,,3,174.7420501,-36.7310152,,POINT (174.7420501 -36.7310152),3.0,7.0,None,None
13316,13316,7733338367,-36.7309555,174.74218169999997,,1,174.74218169999997,-36.7309555,,POINT (174.7421817 -36.7309555),3.0,7.0,None,None
13317,13317,7733338369,-36.73102479999999,174.74194359999998,,1,174.74194359999998,-36.73102479999999,,POINT (174.7419436 -36.7310248),3.0,7.0,None,None
13318,13318,861102892,-36.7425852,174.7458589,,1,174.7458589,-36.7425852,,POINT (174.7458589 -36.7425852),3.0,7.0,None,None
13319,13319,844617517,-36.74033970000001,174.7442623,,3,174.7442623,-36.74033970000001,,POINT (174.7442623 -36.7403397),3.0,7.0,None,None
13320,13320,844619228,-36.754827,174.7472814,turning_circle,1,174.7472814,-36.754827,,POINT (174.7472814 -36.754827),3.0,7.0,None,None
13321,13321,844619230,-36.755151700000006,174.74734899999999,,3,174.74734899999999,-36.755151700000006,,POINT (174.747349 -36.7551517),3.0,7.0,None,None
13322,13322,844619327,-36.7552903,174.74802490000002,turning_circle,1,174.74802490000002,-36.7552903,,POINT (174.7480249 -36.7552903),3.0,7.0,None,None
13323,13323,1307620174,-36.760936,174.7629105,,3,174.7629105,-36.760936,,POINT (174.7629105 -36.760936),3.0,7.0,None,None
13324,13324,844620955,-36.746766,174.7377131,turning_circle,1,174.7377131,-36.746766,,POINT (174.7377131 -36.746766),3.0,7.0,None,None
13325,13325,875542514,-36.7476619,174.73805049999999,,3,174.73805049999999,-36.7476619,,POINT (174.7380505 -36.7476619),3.0,7.0,None,None
13326,13326,844622438,-36.7374058,174.73192759999998,,4,174.73192759999998,-36.7374058,,POINT (174.7319276 -36.7374058),3.0,7.0,None,None
