fishnetID,carbon,CI
0,0.8260183701662829,1.3189107272489984
10,1.8485841243973056,1.7354916490690677
101,0.007091000297806382,1.463272235705039
103,0.2595190342896801,1.4564671113128829
105,1.7820829658647417,1.418505832159469
107,1.0183936105884945,1.3377592059037433
110,0.02766855190897743,1.4602840456258854
111,1.0154947821686438,1.3847616630829511
113,0.2648264564626186,1.3761446995280653
116,0.45255799069381875,1.2991689702723825
117,0.279992664601191,1.2278976188932493
119,0.5901407632771983,1.2549245659478543
12,0.4884314763541068,1.2383168500138448
14,0.45338625508366376,1.2366359887643592
16,1.9313846319807921,1.6573873776699741
18,3.5808289628915717,1.489160557807422
20,4.480036335514264,1.4683347874076014
22,2.7995516907432614,1.5717433413901156
24,1.2590324169152596,1.6095612073725447
27,0.5273262380975663,1.474819474935393
28,1.9431312604943334,1.2021821936928045
3,0.7374903675629548,1.4853976943195857
30,1.9777949264046382,1.2384638289255696
32,1.6999853849067106,1.4052413177067067
34,1.1165472627315078,1.55901704737839
36,1.9041484074758377,1.6060588199042127
38,2.0916728859391736,1.6062632797191332
4,0.39573940708840943,1.4441511402819365
40,1.8364291576697234,1.6142696372025964
42,1.975764272187143,1.5279000091147836
44,2.4662514544066054,1.52943671270113
46,1.9519693013342556,1.7594349199946204
48,4.889298492446564,1.6066393555778231
50,4.779794923612141,1.5586016093911854
52,5.693394374261752,1.5560541557200072
56,0.23641724660596328,1.526365779574975
59,0.42173162325462343,1.4511451001021956
6,1.8379406719843938,1.3093874928326914
61,2.4281191673806015,1.306377374811764
63,4.661561883379229,1.4721085248672594
65,5.7552723684703215,1.6623165275375755
67,1.8270300345782369,1.876775565098805
69,4.254638142253163,1.7557584322241266
71,1.0565820965718782,1.770057449291074
73,2.2294634560520965,1.8784222290633048
75,7.94475898035013,1.9297756284880736
77,1.7162443066406758,2.2372883467418663
8,2.575404088320792,1.4903428595209045
80,2.2564054041530315,1.6722636556177446
82,0.0,1.6010889506701658
84,0.0,1.3990325979954665
86,0.4947514093331138,1.5390557331906076
88,0.3760336247562906,1.5543899998646178
89,5.574855728472774,1.4878533707944006
91,3.1258193140850232,1.6719591852799789
93,1.0841241044848278,1.5290958214562973
95,0.09045017558929533,1.397323496225831
97,2.311254637152736,1.447594313781762
99,2.3956521382955143,1.4484671230865356
