origin,destination,TT,FFTT,Average Trip Length
0,69,36.66515577157227,19.80551120000001,25542.220499999996
0,31,18.777261715188526,9.488492,9485.181499999999
0,32,23.515695788746783,12.325861499999998,12210.8335
0,49,27.194658146160037,13.524092999999999,13860.7975
0,68,35.80190852903808,20.505764500000005,23927.4645
0,11,20.07563654796987,12.558646332999999,11345.6595
0,71,44.57527844793968,24.9188465,24386.222500000003
0,23,15.627146134743118,9.4191785,9079.226499999997
0,33,22.451118377464738,13.144786999999999,13145.067499999997
0,48,28.567782864117518,14.411812500000002,14321.357500000002
0,70,40.591526390059016,22.86049450000001,26915.6645
0,30,19.40270486045767,10.326873999999998,10429.315499999999
0,65,37.83795605786504,20.740861000000006,21523.725499999993
0,51,31.140125884623117,18.77847949999999,18098.820499999994
0,34,26.32292530831176,14.4574795,14437.446499999996
0,7,28.224828868876934,16.592570049999996,14268.608499999998
0,64,40.701908304356294,21.643283500000006,22380.546500000004
0,67,37.24821634549852,23.2419705,21784.120499999997
0,22,17.105372221541582,9.7366375,9657.643499999998
0,50,27.525997422727215,16.278048,16205.689499999997
0,35,22.479390826290444,11.831088999999995,11808.1895
0,66,36.44648985673444,22.857326999999998,21976.453499999996
0,5,10.970004719606175,8.492124,7036.9385
0,29,20.372477154700167,10.384057999999996,10361.158499999998
0,14,9.529423012389424,5.558432999999999,5575.5064999999995
0,53,29.161509891641586,14.470955,14488.028500000004
0,21,16.77174730517777,9.2701945,9760.594499999997
0,10,13.941382236443836,7.794807999999999,7811.881499999998
0,37,22.425700654021504,12.154740999999998,11859.463500000002
0,52,28.97013710090858,16.204971999999994,16182.072499999998
0,28,16.514841551421462,8.821877999999998,8817.7255
0,72,41.292817513027565,26.453958999999998,25993.977499999994
0,55,31.521502675771835,16.329963,18918.723499999993
0,38,22.24517478299365,11.983945999999998,12001.019500000002
0,20,14.565083714117227,7.967890999999999,7984.9645
0,54,30.372688555433363,16.058023,16075.0965
0,39,25.93382798170904,13.725411,13223.8125
0,40,25.099366481784585,13.274359,13045.6335
0,57,35.17633970457363,18.552812,18616.560499999996
0,3,4.187313031278105,2.9620305,2414.0625
0,13,9.839490425019527,5.6774429999999985,5694.516499999998
0,27,17.14031836421543,8.986325999999996,8991.161499999998
0,2,4.924539529290108,3.5532270000000006,2808.1935000000003
0,41,24.423209565807372,13.008004,13025.077500000003
0,56,34.83801891555936,17.465453,19737.7995
0,1,3.486012434428325,2.3761970999999997,2695.1895
0,9,8.351556686947587,4.316981999999999,4334.055499999999
0,19,14.773972569615342,8.001477,8295.099499999998
0,59,33.16746429628951,18.592088999999994,18758.858499999995
0,42,26.405550487041086,14.638886999999993,14325.549500000001
0,6,19.58158601271964,12.769189449999995,11304.116499999996
0,26,22.141149032308206,11.557333999999996,11534.4345
0,58,36.19188844428145,18.427759400000003,20455.7675
0,4,8.581015002552054,6.943593000000002,5720.5815
0,18,14.197913727709047,7.912135999999999,7740.3035
0,44,28.524792099891084,14.167205000000001,14184.278500000004
0,61,31.413266378855063,18.078760999999997,18055.8615
0,25,23.906780222761494,13.977125499999998,13460.425499999992
0,12,24.898211190180973,14.899016499999998,14454.877499999993
0,45,24.40218745666819,12.003194,12020.267500000004
0,60,33.50358376131837,19.593269999999997,19494.6385
0,17,12.721263648887108,7.3371555,7038.4535
0,8,6.530273689954117,3.4517579999999994,3468.8315
0,63,37.45635236718728,19.630028500000005,19634.683500000006
0,46,26.785127471506275,13.145624,13093.006500000005
0,24,16.485883069897884,9.428539999999998,9446.837499999998
0,62,33.55361712533088,18.945614500000005,18914.417500000003
0,47,25.831327518591493,13.8004485,13803.788500000002
0,16,13.38214506564686,7.577431,7870.585499999999
69,0,37.85353782078067,21.717835899999997,28922.65925
69,31,24.19281261452138,12.577583400000002,14986.318
69,32,22.209447966593213,12.378519099999997,14541.841999999997
69,49,13.932061717889956,9.5807256,11400.534
69,68,4.107592637889351,3.1178964999999996,4577.212
69,11,37.44928130216637,21.74373510000001,23890.984000000004
69,71,11.870322431668217,7.553969749999999,8406.63575
69,23,31.58865755866156,18.268603099999996,23093.243000000002
69,33,25.160943908931852,15.153530600000003,16831.556
69,48,13.374514703275612,8.8363411,10568.764
69,70,3.0931239156706187,2.3334442500000003,3466.90675
69,30,21.387494941609543,10.5010861,12886.303000000002
69,65,11.309497243838104,6.934500249999999,8049.8017500000005
69,51,22.64477059083499,13.481109100000001,14435.783500000001
69,34,27.699872753507407,16.0476756,18160.736
69,7,49.008662093984206,26.703547100000005,26920.942999999992
69,64,8.092442515264105,5.383929749999999,6538.66075
69,67,5.514439635706684,3.98466375,5327.628
69,22,25.62494787969652,14.9074071,19705.006999999994
69,50,17.485823151191003,11.2585111,13320.751999999999
69,35,13.139884690612515,10.4830421,14454.062
69,66,16.810620589208455,11.113138249999999,11515.693750000002
69,5,32.96034040742182,21.821241599999997,26980.394
69,29,18.248399070989578,12.406870600000001,17308.812
69,14,29.624788251119963,15.9247731,22264.915000000005
69,53,11.111654433048656,6.456506099999999,8881.412
69,21,24.68764018632122,13.860276599999999,19273.424
69,10,31.392149765721737,17.484160599999996,22829.127000000004
69,37,20.078616828060994,9.9160451,12301.261999999999
69,52,9.991290122111932,8.38071085,12043.081500000002
69,28,22.87774522395067,12.0388351,14849.577000000001
69,72,16.26077388821022,10.70227975,9247.176749999999
69,55,12.291500385135619,8.3591661,10564.43
69,38,17.87795593728594,9.621642600000001,12138.988000000001
69,20,25.92541367383031,13.989326599999998,19393.972000000005
69,54,9.649294393077701,6.3175271,8707.955
69,39,16.673009760363577,10.6374521,16421.213
69,40,16.947879400839685,8.8868091,11393.809
69,57,10.782029787894743,7.5535746,9743.347999999998
69,3,35.66457114245279,20.309407099999994,27429.459999999992
69,13,28.489203604227967,14.8512951,20607.61175
69,27,22.29087136577896,12.396018100000001,15198.688
69,2,36.8371761421654,22.146861599999994,30653.722000000005
69,41,16.433145429858033,8.3100671,10695.284
69,56,13.58954835432377,8.9472201,11173.545000000002
69,1,37.07464683839943,20.9747229,28748.73975
69,9,27.617800811589177,16.5399776,21884.944000000003
69,19,28.615387455508753,16.1826206,21327.398
69,59,14.543870779984273,9.897846249999999,10612.487
69,42,13.990722368110685,9.3636246,12648.496000000003
69,6,40.516775685208984,24.181965550000008,27162.405
69,26,16.679310842644416,11.944774100000002,16646.541
69,58,11.699189295021288,8.1470621,10373.386999999999
69,4,32.730962905388886,21.958529099999996,27408.944
69,18,26.215095857393845,14.741578099999998,20140.615
69,44,12.469777495395387,7.0640421,9454.47
69,61,11.064755294136143,7.5642798,9727.961
69,25,31.51800119653795,17.495360100000003,19456.012000000002
69,12,38.01809585121463,21.615479100000005,23068.369999999995
