From,To,Demand,TT,Distance
587640043,587759017,,0.18058569892473114,155
587640136,3920060168,,0.10314634745242479,8145
587640136,1013426262,,0.29947668161434976,223
587640143,587759014,,0.3008834254143646,181
1013426619,587640143,,0.5695468926553673,295
6233602195,587640056,,0.24403997878359263,7070
587640122,1013426262,,0.23400416666666665,192
587759030,587640122,,0.06870748299319727,49
595726762,587640122,,1.2889013790035588,1124
582593392,1649049033,,1.086349520383693,278
582593415,582593392,,1.0087355432780847,181
582596651,582593415,,0.32814856321839075,58
582593452,1172758011,,0.6088907308377897,187
582593310,582593329,,0.9325904761904762,140
582593329,582593415,,0.5934672897196261,107
582596632,582593329,,1.7913485347985352,364
582593392,587640136,,6.494272661581695,2491
582596632,582596692,,1.6226375800980022,2653
2772111099,582596632,,0.12592,25
1172758011,582596651,,1.035227253668763,159
582596692,7677313936,,0.18542564724919094,206
582593473,582593479,,0.10032871287128714,101
3676641732,582593473,,0.2683464720194647,274
582593479,675264194,,0.3857115848406546,387
675763966,582593479,,0.6503513024602026,2764
582593452,582593236,,1.1962073791348602,262
582593262,582593265,,0.2357051546391753,97
1172758011,582593262,,0.2674810256410256,130
582593265,675764190,,0.11440205479452055,73
582486959,582596651,,0.6690340136054421,98
582486959,582593262,,0.7595750000000001,188
582593236,582593473,,0.48091574074074067,1710
582593236,5390102149,,1.4044535433070866,2159
582593293,582593310,,1.161623463687151,179
582593293,5390102149,,0.3884321688500728,229
629539289,582593293,,1.145930769230769,260
582593310,582596692,,0.5763524590163935,244
582593265,4862185729,,0.1035270980565371,2264
582593267,4862228463,,0.12489259259259258,36
582593267,5026796433,,0.45155860927152314,151
4862185729,582593267,,0.07762356321839081,29
582486679,582482198,,0.4788713161659513,233
582486609,582486765,,0.5493297904191617,334
989119644,582486609,,0.04577441860465117,43
582486679,582486941,,0.2181006289308176,53
581851404,631811336,,2.376219536423841,906
581851405,1490642074,,1.1808046171171172,296
631811344,581851405,,2.7878669787077826,908
582481816,1642184803,,1.0223386666666667,225
582486851,8489568078,,0.5772279166666667,80
5104116662,582486851,,1.1998598124098123,231
582486941,582486944,,0.28761159420289856,46
582486944,582486959,,1.2602723214285714,280
582486837,582486944,,0.9181746268656716,67
5104116662,582486837,,1.9319625,308
582486941,582486837,,0.30356440677966096,59
582486851,1215986282,,0.25968629032258067,930
581848479,5074012000,,0.017054166666666665,8
581851386,581848479,,1.2456426183844012,359
581848480,581848483,,0.7967233532934133,167
581848483,5074006563,,0.018977083333333332,8
581848385,6425533512,,0.06436551724137932,29
6425533515,581848385,,0.16925601774819746,1202
581848437,581851404,,1.2671782051282052,416
581851390,581848473,,0.467172585669782,321
581851387,581851390,,0.11720333333333333,75
1490210022,581851387,,0.42091428571428574,49
1490210022,581851390,,0.35769583333333327,88
581851404,581851405,,0.02755686274509804,17
581851386,581851387,,0.027549019607843138,17
581851405,581851386,,0.030446666666666667,15
1502804403,581851386,,1.3809933898305085,295
581851387,581851404,,0.028783333333333334,16
581848298,581848357,,0.030955555555555556,15
581848298,5073930874,,1.1355878571428573,420
6419102127,581848298,,0.04420777583866589,1719
581848357,6419102127,,0.014818055555555555,12
581285940,581285949,,0.07894028985507245,575
1629724061,581286372,,0.4369290076335878,131
581848297,581848298,,0.07242753623188405,23
581848297,1311402286,,1.0968502247191012,445
581848384,581848385,,0.0283,5
581848384,581848480,,0.3031415841584158,101
5074012000,581848384,,0.2370833333333333,18
581848385,581848479,,0.1322222222222222,33
581848357,2614782635,,0.9990806697108067,657
1000976485,581848357,,0.5692969696969696,187
581848383,581848480,,0.29613333333333336,57
581848383,581848384,,0.21375,52
581280066,581279734,,0.6267571929824561,95
581279739,3017944865,,3.5541858845970435,699
581280066,581279739,,0.25581764705882354,85
