From,To,Volume,EstimatedTT
442874,26384674,1181.13,0.55
442928,1803689295,0.0,0.03
26384674,264670999,349.59,0.35
26384674,534589,831.54,0.5
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,258.33,0.32
15866840,1803689315,1034.66,0.53
264670999,534589,81.96,0.33
534589,534591,913.5,0.37
534591,534626,913.5,0.65
8083440,534911,919.35,0.04
534626,534624,0.0,0.07
534626,534625,913.5,0.08
534608,30409417,738.7,0.86
30436919,30436908,618.23,1.3
30409417,30409422,385.57,0.02
30409417,30403571,1464.86,0.18
534624,534608,521.1,1.22
534625,30436908,913.5,0.02
534625,534624,521.1,0.07
30436908,30436907,1081.77,0.02
30436908,534628,449.96,0.37
534628,534629,583.44,0.21
534629,3595409680,774.53,0.63
11769656,11769730,518.65,0.19
3595409680,3855350,708.49,0.01
3595409680,7128283652,66.04,0.04
3160432771,30409397,230.29,0.15
30409405,30409419,787.82,0.72
534736,140605768,1277.07,0.1
534306820,2021890013,1205.49,0.19
140605768,534324288,1277.07,0.35
534329195,2021890013,614.39,0.02
534329195,534306820,1277.07,0.21
3853550,3564765835,172.32,0.4
534742,534770,884.56,0.54
534770,29138173,1333.47,0.07
534743,534744,576.46,0.07
534744,534747,1431.22,0.05
247994358,534742,441.35,0.06
534747,277692998,107.0,0.01
534747,2287846802,1324.22,0.32
277692998,288154283,1189.26,0.07
2287846802,29510418,0.0,0.04
2287846802,2287846804,1324.22,0.08
534749,25235133,1745.54,0.04
534749,7095690293,152.72,0.73
25235133,25235132,787.74,0.01
25235133,534751,957.8,0.71
7095690293,7095690318,463.14,0.01
534751,534754,663.93,0.69
534754,3098430373,663.93,0.16
29510455,25235132,734.61,0.67
3098430373,16574394,267.7,0.02
3098430373,2260849842,944.67,0.49
534758,25873172,788.42,0.02
534758,2202559858,1281.66,0.63
25873172,25873173,1459.08,0.02
25873172,3100041009,556.67,0.2
2202559858,25873172,1227.33,0.63
534769,546378258,1118.9,0.57
534769,534770,448.92,0.04
546378258,247994363,779.94,0.04
546378258,290077155,338.96,0.24
29138173,1775338888,171.89,0.09
29138173,534773,1161.59,0.64
534773,2544089666,1940.98,0.03
534773,335716508,497.05,0.26
2544089666,2544089665,1461.19,0.04
2544089666,16574602,479.8,0.03
335716508,534799,497.05,0.5
534774,534804,425.66,0.15
244038933,534778,479.8,0.08
534804,18630111,2300.3,0.58
534804,16574613,51.39,0.05
534778,244038915,826.7,0.02
534778,30058360,623.8,0.22
244038915,534787,1170.91,0.19
244038915,244038942,365.15,0.02
30058360,30056676,793.54,0.75
30058360,30056684,242.58,0.02
534787,244038955,344.22,0.05
534787,244038923,826.7,0.16
244038955,244038925,797.89,0.04
244038955,2072816,344.22,0.31
244038923,244038955,797.89,0.09
534790,30261537,281.04,0.04
534790,30409389,1266.58,0.03
30261537,30409389,205.54,0.05
30409389,30409397,1315.5,0.04
30409389,3160432771,156.61,0.18
534796,534790,309.58,0.05
534796,3160432775,1032.72,0.28
3160432775,534790,1238.04,0.16
534799,1501721437,120.9,0.02
534799,11769597,565.33,0.43
1501721437,18630516,639.17,0.01
1501721437,2071676,190.21,0.32
11769597,7128283648,645.41,0.01
11769597,3595409680,0.0,0.02
18630111,280008666,1954.66,0.03
18630111,35711189,788.24,0.88
16574613,534773,1385.93,0.04
16574613,16574619,51.39,0.14
534806,280008531,492.3,0.02
534806,2287864441,2075.79,0.28
280008531,18630070,28.98,0.03
280008531,31197353,463.32,0.04
2287864441,280221322,749.81,0.07
2287864441,24969587,1325.98,0.04
24669567,976932104,332.04,0.1
1854526402,27318980,530.48,0.03
27318980,27318981,595.76,0.05
534908,534911,0.0,0.05
534911,534914,919.35,0.28
3853544,15511907,202.06,0.33
534914,442936,143.02,0.41
534914,15866840,776.32,0.53
30409415,30409424,670.99,0.05
536575,30409422,1524.07,0.17
30403571,10919767,1226.78,0.41
30409422,30409424,1300.33,0.01
30409422,30409415,609.31,0.05
536584,30587893,564.45,1.02
30587893,1619208224,597.53,0.42
536652,25479302,818.32,1.16
536652,18629762,732.13,0.04
25479302,18627237,964.64,1.2
25479302,28796755,275.44,0.04
18629762,264218470,1045.39,0.19
18629762,264223496,587.98,0.02
25599929,2526224454,687.35,0.09
264218470,264223496,541.08,0.18
3899207524,309517759,998.02,0.01
536663,21527849,1658.39,0.08
536663,536667,1140.0,1.86
21527849,2297622,1168.16,0.01
21527849,21552197,1346.83,0.1
21647397,2297615,1195.61,0.13
21647058,1632149359,293.82,0.28
536670,24945363,148.29,0.02
536670,2075220,1888.27,0.43
24945363,21660961,1682.44,0.01
2075220,25096430,1755.57,0.03
2075220,3869392962,483.31,0.32
344434421,10919786,504.75,0.22
1630023963,311941598,684.97,0.22
3100041009,25873173,559.9,0.2
31296012,3148489413,528.71,0.12
536675,3148489416,783.5,0.17
3148489416,3148489413,146.07,0.02
3148489416,31296012,731.16,0.13
248219433,248219482,244.68,0.38
2071674,518252065,133.48,0.04
518252065,29348253,133.48,0.24
11769758,3853550,172.32,0.81
534316145,518252065,0.0,0.05
2071676,18178669,983.76,0.75
18178669,534743,128.99,0.05
18178669,534744,854.77,0.07
7101166877,16574525,597.01,0.12
2287857538,5824956622,755.73,0.05
2274921120,206133365,463.82,1.58
2072802,30151417,493.38,1.75
316507154,316507156,327.83,0.28
30151417,30151418,1088.59,0.03
2072807,1485594848,235.45,0.01
2072807,1485594778,545.19,0.09
1485594848,159725096,125.36,0.02
1485594848,11007703,610.01,0.43
1485594778,1485594848,499.91,0.08
2072816,244038925,416.51,0.36
244038925,244038942,1214.39,0.19
2075215,25755498,392.64,0.02
2075215,2039066667,1348.98,3.29
25755498,25755497,1065.31,0.02
25755498,25755500,217.07,0.05
2039066667,25755506,1270.79,2.65
25096430,25096432,674.88,0.02
25096430,10919799,1546.01,0.34
3869392962,25096430,465.32,0.31
21540856,21647397,788.04,0.13
2297619,3790101104,856.6,1.29
3790101104,21552197,0.0,0.12
3790101104,21527849,856.6,0.08
2297622,21552199,930.06,0.03
2297622,21527762,876.73,0.07
21552199,21552200,1332.41,0.25
21527762,536663,1772.47,0.01
21527762,3146686054,671.36,0.27
3411653,113794494,0.0,0.07
26165869,262185367,543.42,0.06
113794494,15618026,13.12,0.02
113794494,26291274,1074.48,0.22
3411658,15618078,593.08,0.15
3411658,25622663,1356.35,0.14
15618078,3030258494,593.08,0.08
15618078,25622151,1002.23,0.03
25622663,25622670,1356.35,0.61
15511907,2071674,202.06,0.82
3855350,11769597,80.08,0.02
3855350,1501721437,708.49,0.42
9100179,3137684026,199.99,0.54
3137684026,3137684031,296.18,0.18
3137684031,3137684026,447.53,0.19
9100190,9982673425,77.24,0.05
9982673432,2970916246,51.38,0.04
9982673425,9100190,51.38,0.05
10919218,8224298741,662.19,0.01
8224298741,346633166,0.0,0.02
8224298741,346633485,662.19,0.12
10919223,11008027,797.41,0.54
25740441,25740442,349.19,0.11
11008027,2075215,1331.0,0.02
11008027,11008006,374.56,0.24
86684589,3121844724,34.48,0.05
10919237,10919235,0.0,0.06
10919237,10919238,374.56,0.06
10919238,10049596107,382.16,0.07
10049596107,10919237,374.56,0.01
3073762517,3877390797,34.48,0.03
10919767,536575,1301.43,0.41
126667225,18178749,300.74,0.11
126667225,31271217,210.76,0.03
3151457278,18178797,949.28,0.25
2262218571,18178769,740.82,0.32
3147805129,2262248282,876.53,0.05
10919786,536663,1025.93,0.27
10919786,3146686054,314.01,0.01
3146686054,21552195,106.05,0.01
3146686054,21527733,1040.9,0.22
10919799,15613225,1546.01,0.02
10919799,1952603929,0.0,0.45
15613225,1698611463,1546.01,0.47
15613225,15613290,0.0,0.02
1952603929,15613225,0.0,0.44
10940911,773684928,440.89,1.49
773684928,4186859645,440.89,0.28
773684928,1758438692,0.0,0.48
10941033,26910102,0.0,0.43
10941033,10940911,0.0,0.11
26910102,12262641,0.0,0.01
26910102,26910582,0.0,0.26
3324432562,25621845,461.82,0.79
11004892,3780365870,697.59,1.63
3780365870,3879014011,783.0,1.58
7260653744,2272203032,1692.02,0.15
11005259,1762496623,664.11,0.09
1762496623,433065573,993.3,0.82
11005798,25600624,30.44,0.72
312068888,312068717,520.58,0.05
11007218,95145062,1124.16,0.32
95145062,159729140,631.8,0.02
95145062,1670657170,611.7,0.62
11007703,344624368,522.65,0.57
344624368,344625887,436.53,0.04
344624368,99089590,119.34,0.03
95145069,159725096,689.17,0.46
11008006,2075215,382.16,0.24
11068788,828163530,92.04,0.01
11068788,25621138,1274.45,0.02
828163530,4862265262,1438.54,0.71
25621138,773660261,586.23,0.02
25621138,25621140,1646.77,0.25
203786445,415524744,55.88,0.03
2970916246,9982673432,77.24,0.04
3183738525,11070793,0.0,0.04
2241122861,2241123813,0.0,0.03
81580487,81580494,605.86,0.08
3137621725,28238725,563.24,0.24
