,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
4678,294088890,48.8053392,2.4832585,3,2.4832585,48.8053392,,,POINT (2.4832585 48.8053392)
4679,1122243688,48.8052185,2.4839005,3,2.4839005,48.8052185,,,POINT (2.4839005 48.8052185)
4680,294089011,48.8071964,2.4753203,3,2.4753203,48.8071964,,,POINT (2.4753203 48.8071964)
4681,296070975,48.807557,2.4739717,3,2.4739717,48.807557,traffic_signals,,POINT (2.4739717 48.807557)
4682,294492732,48.8183331,2.246572,2,2.246572,48.8183331,,,POINT (2.246572 48.8183331)
4683,1547149827,48.8180024,2.2482213,3,2.2482213,48.8180024,,,POINT (2.2482213 48.8180024)
4684,1614244997,48.8185885,2.2451677,2,2.2451677,48.8185885,,,POINT (2.2451677 48.8185885)
4685,294806090,48.8375505,2.1558716,3,2.1558716,48.8375505,,,POINT (2.1558716 48.8375505)
4686,4319306981,48.8375154,2.1558975,3,2.1558975,48.8375154,,,POINT (2.1558975 48.8375154)
4687,295135550,48.8546633,2.2629306,2,2.2629306,48.8546633,,,POINT (2.2629306 48.8546633)
4688,392014907,48.8489018,2.2593597,3,2.2593597,48.8489018,,,POINT (2.2593597 48.8489018)
4689,295341567,48.883906,2.3689318,3,2.3689318,48.883906,,,POINT (2.3689318 48.883906)
4690,469326824,48.8095946,2.4715719,3,2.4715719,48.8095946,,,POINT (2.4715719 48.8095946)
4691,296235136,48.780868,2.2929876,3,2.2929876,48.780868,,,POINT (2.2929876 48.780868)
4692,940345496,48.7788962,2.2915492,3,2.2915492,48.7788962,,,POINT (2.2915492 48.7788962)
4693,1619475293,48.781076,2.2931885,3,2.2931885,48.781076,,,POINT (2.2931885 48.781076)
4694,2633470466,48.8037181,2.2888236,3,2.2888236,48.8037181,,,POINT (2.2888236 48.8037181)
4695,2977592143,48.8023491,2.2967152,2,2.2967152,48.8023491,,,POINT (2.2967152 48.8023491)
4696,296628407,48.7960033,2.2922921,3,2.2922921,48.7960033,traffic_signals,,POINT (2.2922921 48.7960033)
4697,1246212402,48.7936669,2.2908832,3,2.2908832,48.7936669,,,POINT (2.2908832 48.7936669)
4698,321351442,48.8007185,2.2838005,3,2.2838005,48.8007185,,,POINT (2.2838005 48.8007185)
4699,305344554,48.8652164,2.2704075,2,2.2704075,48.8652164,,,POINT (2.2704075 48.8652164)
4700,305216658,48.8632055,2.2682626,3,2.2682626,48.8632055,,,POINT (2.2682626 48.8632055)
4701,305218809,48.8626236,2.2680075,5,2.2680075,48.8626236,,,POINT (2.2680075 48.8626236)
4702,296971484,48.8623033,2.2678188,3,2.2678188,48.8623033,,,POINT (2.2678188 48.8623033)
4703,1797560026,48.8595766,2.213668,4,2.213668,48.8595766,,,POINT (2.213668 48.8595766)
4704,297100698,48.9817046,2.2710218,3,2.2710218,48.9817046,,,POINT (2.2710218 48.9817046)
4705,297100701,48.9810198,2.2705026,3,2.2705026,48.9810198,traffic_signals,,POINT (2.2705026 48.9810198)
4706,297100954,48.9809999,2.2706118,3,2.2706118,48.9809999,traffic_signals,,POINT (2.2706118 48.9809999)
4707,297100702,48.980552,2.2703485,3,2.2703485,48.980552,,,POINT (2.2703485 48.980552)
4708,297106267,48.9752185,2.2788631,3,2.2788631,48.9752185,,,POINT (2.2788631 48.9752185)
4709,297106292,48.9782834,2.2913665,3,2.2913665,48.9782834,,,POINT (2.2913665 48.9782834)
4710,301467107,48.9785991,2.2918854,3,2.2918854,48.9785991,,,POINT (2.2918854 48.9785991)
4711,297106569,48.9784786,2.2913026,3,2.2913026,48.9784786,,,POINT (2.2913026 48.9784786)
4712,297107527,48.9757751,2.2792999,3,2.2792999,48.9757751,,,POINT (2.2792999 48.9757751)
4713,297106595,48.9635266,2.2662157,3,2.2662157,48.9635266,,,POINT (2.2662157 48.9635266)
4714,634651456,48.9602751,2.2586935,3,2.2586935,48.9602751,,,POINT (2.2586935 48.9602751)
4715,297106633,48.9694335,2.2749411,3,2.2749411,48.9694335,,,POINT (2.2749411 48.9694335)
4716,6370684212,48.9652246,2.2706433,3,2.2706433,48.9652246,,,POINT (2.2706433 48.9652246)
4717,297106637,48.9644556,2.2687567,3,2.2687567,48.9644556,,,POINT (2.2687567 48.9644556)
4718,417614071,48.9655438,2.2595515,3,2.2595515,48.9655438,,,POINT (2.2595515 48.9655438)
4719,297107156,48.9653342,2.2594875,3,2.2594875,48.9653342,motorway_junction,,POINT (2.2594875 48.9653342)
4720,6370684213,48.9639325,2.2678801,3,2.2678801,48.9639325,,,POINT (2.2678801 48.9639325)
4721,297450500,48.9732404,2.2759856,3,2.2759856,48.9732404,,,POINT (2.2759856 48.9732404)
4722,6370684193,48.9650666,2.2707501,3,2.2707501,48.9650666,,,POINT (2.2707501 48.9650666)
4723,297107619,48.9699117,2.2753957,3,2.2753957,48.9699117,,,POINT (2.2753957 48.9699117)
4724,297450531,48.9726189,2.2770178,3,2.2770178,48.9726189,,,POINT (2.2770178 48.9726189)
4725,297109794,48.9617242,2.2619748,3,2.2619748,48.9617242,,,POINT (2.2619748 48.9617242)
4726,832464681,48.9620698,2.2629892,3,2.2629892,48.9620698,,,POINT (2.2629892 48.9620698)
4727,297110406,48.9591906,2.2728689,3,2.2728689,48.9591906,motorway_junction,2,POINT (2.2728689 48.9591906)
4728,6865835877,48.9577917,2.2741726,3,2.2741726,48.9577917,,,POINT (2.2741726 48.9577917)
4729,297324474,48.7750062,2.3042632,3,2.3042632,48.7750062,,,POINT (2.3042632 48.7750062)
4730,3190015149,48.7750182,2.3043403,4,2.3043403,48.7750182,,,POINT (2.3043403 48.7750182)
4731,3190015097,48.7743641,2.304538,3,2.304538,48.7743641,,,POINT (2.304538 48.7743641)
4732,297324480,48.7782537,2.3033882,2,2.3033882,48.7782537,traffic_signals,,POINT (2.3033882 48.7782537)
4733,8457808310,48.7782831,2.303172,3,2.303172,48.7782831,,,POINT (2.303172 48.7782831)
4734,297324487,48.7784874,2.3012304,3,2.3012304,48.7784874,,,POINT (2.3012304 48.7784874)
4735,3177455617,48.7786607,2.2952877,3,2.2952877,48.7786607,,,POINT (2.2952877 48.7786607)
4736,1123351536,48.7784236,2.3015034,3,2.3015034,48.7784236,,,POINT (2.3015034 48.7784236)
4737,297324588,48.7884769,2.2934171,3,2.2934171,48.7884769,,,POINT (2.2934171 48.7884769)
4738,6817312689,48.7885955,2.2935627,3,2.2935627,48.7885955,,,POINT (2.2935627 48.7885955)
