,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
1532,34678196,51.5037819,-0.5426458,3,-0.5426458,51.5037819,crossing,,POINT (-0.5426458 51.5037819)
1533,1627181286,51.4892455,-0.5361626,3,-0.5361626,51.4892455,,,POINT (-0.5361626 51.4892455)
1534,34707109,51.4887491,-0.534017,3,-0.534017,51.4887491,,,POINT (-0.534017 51.4887491)
1535,35432953,51.4071465,-0.229476,5,-0.229476,51.4071465,,,POINT (-0.229476 51.4071465)
1536,35432954,51.4070018,-0.2294545,5,-0.2294545,51.4070018,,,POINT (-0.2294545 51.4070018)
1537,3678939543,51.4072242,-0.2258805,3,-0.2258805,51.4072242,,,POINT (-0.2258805 51.4072242)
1538,1455067952,51.3914614,-0.2228051,3,-0.2228051,51.3914614,,,POINT (-0.2228051 51.3914614)
1539,35824783,51.3031407,-0.3217999,3,-0.3217999,51.3031407,,,POINT (-0.3217999 51.3031407)
1540,4471376713,51.3031076,-0.321867,3,-0.321867,51.3031076,,,POINT (-0.321867 51.3031076)
1541,36140963,51.3931059,-0.3044001,3,-0.3044001,51.3931059,,,POINT (-0.3044001 51.3931059)
1542,4395059830,51.3931517,-0.3045069,3,-0.3045069,51.3931517,,,POINT (-0.3045069 51.3931517)
1543,36140969,51.3931762,-0.3042646,3,-0.3042646,51.3931762,,,POINT (-0.3042646 51.3931762)
1544,36504843,51.4845851,-0.3312691,2,-0.3312691,51.4845851,,,POINT (-0.3312691 51.4845851)
1545,36504846,51.4845121,-0.331011,2,-0.331011,51.4845121,,,POINT (-0.331011 51.4845121)
1546,36728069,51.4137343,-0.2500875,3,-0.2500875,51.4137343,,,POINT (-0.2500875 51.4137343)
1547,248555020,51.4050363,-0.241295,3,-0.241295,51.4050363,,,POINT (-0.241295 51.4050363)
1548,1688695019,51.3840206,-0.1903527,3,-0.1903527,51.3840206,,,POINT (-0.1903527 51.3840206)
1549,56696986,51.3846389,-0.1900991,3,-0.1900991,51.3846389,,,POINT (-0.1900991 51.3846389)
1550,80428808,51.3895732,-0.1972086,3,-0.1972086,51.3895732,,,POINT (-0.1972086 51.3895732)
1551,1688694853,51.3847596,-0.1896252,3,-0.1896252,51.3847596,,,POINT (-0.1896252 51.3847596)
1552,36867994,51.3988652,-0.1870175,3,-0.1870175,51.3988652,,,POINT (-0.1870175 51.3988652)
1553,4485316993,51.3988296,-0.1870382,3,-0.1870382,51.3988296,,,POINT (-0.1870382 51.3988296)
1554,1570779160,51.410809,-0.2277512,3,-0.2277512,51.410809,,,POINT (-0.2277512 51.410809)
1555,7231660992,51.4076318,-0.2191969,3,-0.2191969,51.4076318,,,POINT (-0.2191969 51.4076318)
1556,1809916244,51.407056,-0.2258452,3,-0.2258452,51.407056,,,POINT (-0.2258452 51.407056)
1557,1663618482,51.4038568,-0.2140299,2,-0.2140299,51.4038568,,,POINT (-0.2140299 51.4038568)
1558,5941807860,51.4073271,-0.1921777,3,-0.1921777,51.4073271,,,POINT (-0.1921777 51.4073271)
1559,42058078,51.4718495,-0.1475538,3,-0.1475538,51.4718495,,,POINT (-0.1475538 51.4718495)
1560,42058444,51.4718902,-0.1477307,3,-0.1477307,51.4718902,,,POINT (-0.1477307 51.4718902)
1561,43403631,51.4272996,-0.1523423,3,-0.1523423,51.4272996,,,POINT (-0.1523423 51.4272996)
1562,43414138,51.4271818,-0.1526278,3,-0.1526278,51.4271818,,,POINT (-0.1526278 51.4271818)
1563,5388234114,51.4273567,-0.1525458,3,-0.1525458,51.4273567,,,POINT (-0.1525458 51.4273567)
1564,5388234723,51.4230473,-0.159387,3,-0.159387,51.4230473,,,POINT (-0.159387 51.4230473)
1565,5388312719,51.4275558,-0.1521921,3,-0.1521921,51.4275558,,,POINT (-0.1521921 51.4275558)
1566,52248323,51.3478023,-0.1476862,2,-0.1476862,51.3478023,mini_roundabout,,POINT (-0.1476862 51.3478023)
1567,1596025323,51.3396181,-0.1440078,4,-0.1440078,51.3396181,mini_roundabout,,POINT (-0.1440078 51.3396181)
1568,506862216,51.4128009,-0.1924247,4,-0.1924247,51.4128009,,,POINT (-0.1924247 51.4128009)
1569,54645989,51.4139268,-0.1830359,3,-0.1830359,51.4139268,,,POINT (-0.1830359 51.4139268)
1570,54645997,51.4140628,-0.182673,3,-0.182673,51.4140628,,,POINT (-0.182673 51.4140628)
1571,54647273,51.4140822,-0.1820491,3,-0.1820491,51.4140822,,,POINT (-0.1820491 51.4140822)
1572,54645998,51.4139186,-0.1826025,3,-0.1826025,51.4139186,,,POINT (-0.1826025 51.4139186)
