,gridID_lat,gridID_lon,inner_grid,inner_gr_1,lanelength,fishnetID,osmid,y,x,street_cou,lon,lat,highway,ref,lanecapaci,geometry
349,5,4,1,0,29754.567000000006,90,6299708159,51.4932785,-0.2671588,2,-0.2671588,51.4932785,,,5600.0,POINT (-0.2671588 51.4932785)
350,5,4,1,1,46826.54700000001,91,215527,51.5050792,-0.2165857,3,-0.2165857,51.5050792,,,16800.0,POINT (-0.2165857 51.5050792)
351,5,4,1,1,46826.54700000001,91,8193885222,51.4971118,-0.2044759,3,-0.2044759,51.4971118,,,7200.0,POINT (-0.2044759 51.4971118)
352,5,4,1,1,46826.54700000001,91,8194118630,51.4994917,-0.1973774,2,-0.1973774,51.4994917,,,7200.0,POINT (-0.1973774 51.4994917)
353,5,4,1,1,46826.54700000001,91,2194786530,51.4926775,-0.2002413,4,-0.2002413,51.4926775,,,14400.0,POINT (-0.2002413 51.4926775)
354,5,5,0,0,16530.724000000002,92,7843989526,51.4821633,-0.1734595,4,-0.1734595,51.4821633,,,20400.0,POINT (-0.1734595 51.4821633)
355,5,5,0,0,16530.724000000002,92,4210765393,51.4800097,-0.1956251,3,-0.1956251,51.4800097,,,10000.0,POINT (-0.1956251 51.4800097)
356,5,5,0,0,16530.724000000002,92,3826340874,51.4771234,-0.1916882,3,-0.1916882,51.4771234,,,10000.0,POINT (-0.1916882 51.4771234)
357,5,5,0,0,16530.724000000002,92,4528132363,51.472837,-0.1767892,2,-0.1767892,51.472837,,,5600.0,POINT (-0.1767892 51.472837)
358,5,5,0,1,13364.539,93,11079538,51.4721853,-0.1653412,4,-0.1653412,51.4721853,traffic_signals,,19200.0,POINT (-0.1653412 51.4721853)
359,5,5,0,1,13364.539,93,25302964,51.474847,-0.1662053,3,-0.1662053,51.474847,,,7200.0,POINT (-0.1662053 51.474847)
360,5,5,0,1,13364.539,93,1937820111,51.4700548,-0.171641,4,-0.171641,51.4700548,,,15600.0,POINT (-0.171641 51.4700548)
361,5,5,0,1,13364.539,93,11079541,51.4728015,-0.1625715,3,-0.1625715,51.4728015,traffic_signals,,12000.0,POINT (-0.1625715 51.4728015)
362,5,5,0,2,6427.049,94,11079550,51.4763848,-0.1482501,4,-0.1482501,51.4763848,crossing,,16800.0,POINT (-0.1482501 51.4763848)
363,5,5,0,2,6427.049,94,4772334,51.4731331,-0.1482651,3,-0.1482651,51.4731331,,,12200.0,POINT (-0.1482651 51.4731331)
364,5,5,0,2,6427.049,94,1626997908,51.4784711,-0.1486175,3,-0.1486175,51.4784711,,,7200.0,POINT (-0.1486175 51.4784711)
365,5,5,0,2,6427.049,94,3470912041,51.4799329,-0.1405258,2,-0.1405258,51.4799329,,,9600.0,POINT (-0.1405258 51.4799329)
366,5,5,1,0,15020.781999999997,95,2194809048,51.4944472,-0.1953552,5,-0.1953552,51.4944472,,,16800.0,POINT (-0.1953552 51.4944472)
367,5,5,1,0,15020.781999999997,95,1528999913,51.4886596,-0.1924936,4,-0.1924936,51.4886596,,,13200.0,POINT (-0.1924936 51.4886596)
368,5,5,1,0,15020.781999999997,95,1356901661,51.4950623,-0.1828421,4,-0.1828421,51.4950623,,,11800.0,POINT (-0.1828421 51.4950623)
369,5,5,1,0,15020.781999999997,95,27125486,51.4841147,-0.1842793,4,-0.1842793,51.4841147,traffic_signals,,12000.0,POINT (-0.1842793 51.4841147)
370,5,5,1,1,27238.516000000003,96,5197236563,51.4858005,-0.1500505,4,-0.1500505,51.4858005,,,16800.0,POINT (-0.1500505 51.4858005)
371,5,5,1,1,27238.516000000003,96,5898995369,51.4958863,-0.1723962,3,-0.1723962,51.4958863,,,5700.0,POINT (-0.1723962 51.4958863)
372,5,5,1,1,27238.516000000003,96,3818359130,51.496658,-0.1692431,3,-0.1692431,51.496658,,,7800.0,POINT (-0.1692431 51.496658)
373,5,5,1,1,27238.516000000003,96,3502507885,51.490984,-0.1494758,3,-0.1494758,51.490984,,,7200.0,POINT (-0.1494758 51.490984)
374,5,5,1,2,28692.818000000007,97,1795462082,51.488357,-0.1287459,3,-0.1287459,51.488357,,,16800.0,POINT (-0.1287459 51.488357)
375,5,5,1,2,28692.818000000007,97,1231977903,51.4966897,-0.1410315,3,-0.1410315,51.4966897,,,6300.0,POINT (-0.1410315 51.4966897)
