Centroid,Proportion,Proportion
2,0.005340649573488113,0.005340649573488113
4,0.0007900503345837706,0.0007900503345837706
6,0.0014873665595677846,0.0014873665595677846
8,0.0006973162249840142,0.0006973162249840142
10,0.0019716829880567885,0.0019716829880567885
15,0.008454273670918151,0.008454273670918151
19,0.007573235172648212,0.007573235172648212
24,0.0066649845799626305,0.0066649845799626305
26,0.005885157697534192,0.005885157697534192
29,0.008052288541063827,0.008052288541063827
31,0.00041866549916038786,0.00041866549916038786
35,0.003750846713706055,0.003750846713706055
39,0.003548871879047414,0.003548871879047414
41,0.0028590074521119267,0.0028590074521119267
49,0.01602119765544854,0.01602119765544854
53,0.00589770440677197,0.00589770440677197
62,0.00600097864892551,0.00600097864892551
66,0.000421372696194941,0.000421372696194941
68,6.954077351490962e-05,6.954077351490962e-05
70,0.0009204021520456466,0.0009204021520456466
72,0.004958486394591758,0.004958486394591758
74,0.006527483632443672,0.006527483632443672
82,5.189074564367157e-05,5.189074564367157e-05
84,0.00027472444937910354,0.00027472444937910354
86,0.00042619016172537263,0.00042619016172537263
89,5.2473661775335205e-05,5.2473661775335205e-05
91,0.0020869826779072926,0.0020869826779072926
93,0.0015689972378519102,0.0015689972378519102
97,0.0001268683330789054,0.0001268683330789054
102,0.003071698975652692,0.003071698975652692
105,0.001210021790077597,0.001210021790077597
108,0.022208277884370468,0.022208277884370468
112,0.00045098651717229453,0.00045098651717229453
115,0.0031276365044411816,0.0031276365044411816
117,0.0015062524817374059,0.0015062524817374059
119,0.0011426557421308175,0.0011426557421308175
125,0.0017635847315342766,0.0017635847315342766
129,0.0035768770756998873,0.0035768770756998873
132,0.0002735333947831562,0.0002735333947831562
135,0.003936460661938484,0.003936460661938484
137,0.002449088497407895,0.002449088497407895
139,0.001365643582343372,0.001365643582343372
143,0.0037526655241361022,0.0037526655241361022
147,0.0010259267867651762,0.0010259267867651762
151,0.0057284401350401444,0.0057284401350401444
154,0.0004250467493132631,0.0004250467493132631
158,6.201330846852261e-05,6.201330846852261e-05
160,4.9368512381665504e-05,4.9368512381665504e-05
162,0.004443690178372113,0.004443690178372113
164,0.003955940710165379,0.003955940710165379
169,0.0008412096325814606,0.0008412096325814606
173,0.001681797114291626,0.001681797114291626
175,0.003836720348833156,0.003836720348833156
179,0.004269106796938856,0.004269106796938856
181,0.0036698073589977996,0.0036698073589977996
186,0.0031785015418916377,0.0031785015418916377
188,0.0018732486312848984,0.0018732486312848984
190,0.007272282299825649,0.007272282299825649
198,0.004075166676460406,0.004075166676460406
200,0.0018765807816721485,0.0018765807816721485
208,0.003098675661630548,0.003098675661630548
210,0.001468093894964656,0.001468093894964656
214,0.00176639281789931,0.00176639281789931
216,0.0028553137816237878,0.0028553137816237878
218,0.0005355513934845535,0.0005355513934845535
221,0.000606386913407293,0.000606386913407293
228,9.13552887498599e-05,9.13552887498599e-05
230,0.0020011847097780528,0.0020011847097780528
232,0.004187330389621815,0.004187330389621815
234,0.000252674525706366,0.000252674525706366
237,8.212391501091769e-05,8.212391501091769e-05
243,0.007178948459205812,0.007178948459205812
250,0.00937340629888859,0.00937340629888859
252,0.0017130868191475121,0.0017130868191475121
261,0.004098449691950124,0.004098449691950124
263,0.0024609149689253018,0.0024609149689253018
265,0.003510071524033554,0.003510071524033554
270,8.064420483054079e-05,8.064420483054079e-05
272,6.324079532269889e-05,6.324079532269889e-05
274,0.005804362158707929,0.005804362158707929
276,0.01506065275979737,0.01506065275979737
278,0.0038858702676654476,0.0038858702676654476
280,0.003801734171007729,0.003801734171007729
282,0.002050357048461562,0.002050357048461562
289,0.003561404575878182,0.003561404575878182
292,0.005020101750701164,0.005020101750701164
294,0.000678648896363767,0.000678648896363767
297,0.003710171498634104,0.003710171498634104
299,0.003229694469666154,0.003229694469666154
302,0.0005096368479581423,0.0005096368479581423
307,0.00046809566613290233,0.00046809566613290233
309,0.002004404760909214,0.002004404760909214
311,0.004599213883788809,0.004599213883788809
318,0.000678648896363767,0.000678648896363767
321,0.0037225192316923243,0.0037225192316923243
325,0.0017021683516044279,0.0017021683516044279
329,0.0007662152302578134,0.0007662152302578134
333,0.0030802661612993063,0.0030802661612993063
335,0.009900544643203649,0.009900544643203649
339,0.004675962639470252,0.004675962639470252
342,8.735334530747695e-05,8.735334530747695e-05
346,0.006983898556092081,0.006983898556092081
350,0.0007217006156648083,0.0007217006156648083
353,0.006546520888609009,0.006546520888609009
355,0.005846012637307858,0.005846012637307858
358,8.844070809154178e-05,8.844070809154178e-05
361,0.0025773888984833397,0.0025773888984833397
367,0.004131516170015023,0.004131516170015023
369,0.021959950007318946,0.021959950007318946
371,0.005344940172514926,0.005344940172514926
373,0.0007423212738224091,0.0007423212738224091
375,0.009136044531564,0.009136044531564
379,0.0036822896111633288,0.0036822896111633288
384,0.00010596742678108174,0.00010596742678108174
387,0.0052876994898744,0.0052876994898744
389,0.0027661248109978514,0.0027661248109978514
393,0.00047724576791117985,0.00047724576791117985
397,0.0008049118934597909,0.0008049118934597909
402,0.011555269787149745,0.011555269787149745
404,0.004935699418310235,0.004935699418310235
407,8.322248772059145e-05,8.322248772059145e-05
410,0.00015911928905575635,0.00015911928905575635
412,0.0037968326310352306,0.0037968326310352306
415,6.42384787018924e-05,6.42384787018924e-05
418,0.013626833212381975,0.013626833212381975
424,0.007338995369605709,0.007338995369605709
427,0.0027368584977143754,0.0027368584977143754
429,0.007166264428379327,0.007166264428379327
431,0.005313756961952324,0.005313756961952324
435,0.00024287144576136906,0.00024287144576136906
437,0.004443737820555951,0.004443737820555951
441,0.004292874641711159,0.004292874641711159
447,0.005723418088367351,0.005723418088367351
449,0.0036771022180878024,0.0036771022180878024
451,0.004755617568365805,0.004755617568365805
453,0.00696403176543168,0.00696403176543168
455,0.004245919065816814,0.004245919065816814
461,0.0032663537288887116,0.0032663537288887116
464,0.004101958398665712,0.004101958398665712
466,0.00393577685647634,0.00393577685647634
468,0.01270957824695103,0.01270957824695103
470,0.0026319980510871735,0.0026319980510871735
472,0.008836862826987648,0.008836862826987648
475,0.01637269047787891,0.01637269047787891
477,0.0010272943976894638,0.0010272943976894638
479,0.008009940244594749,0.008009940244594749
482,0.0005722835172235687,0.0005722835172235687
484,0.0035799794226121563,0.0035799794226121563
486,0.003279648700660886,0.003279648700660886
494,0.004285181830262042,0.004285181830262042
496,0.0009570305839727794,0.0009570305839727794
498,0.003356055553611257,0.003356055553611257
502,0.006558781744743765,0.006558781744743765
508,0.007127962915055065,0.007127962915055065
511,0.00539225726851016,0.00539225726851016
514,0.003803466104514307,0.003803466104514307
516,0.003544099253219418,0.003544099253219418
518,0.014475203184946129,0.014475203184946129
519,0.00473168437719077,0.00473168437719077
521,0.006141461436656444,0.006141461436656444
533,0.016786628190913738,0.016786628190913738
535,0.0010288693922375165,0.0010288693922375165
539,0.012455538912801777,0.012455538912801777
541,0.0023156119131825335,0.0023156119131825335
545,0.004296806523118487,0.004296806523118487
547,0.0018194662106947221,0.0018194662106947221
556,0.013063004781548928,0.013063004781548928
558,0.0031430165223766144,0.0031430165223766144
560,0.004436627925238494,0.004436627925238494
562,6.558927473776677e-05,6.558927473776677e-05
565,0.006581703240132592,0.006581703240132592
567,0.004363399086198256,0.004363399086198256
571,0.012317208430787758,0.012317208430787758
573,0.01635927780188784,0.01635927780188784
574,0.009324763629190099,0.009324763629190099
576,0.002121016012055961,0.002121016012055961
578,0.0033746668326034585,0.0033746668326034585
580,0.0029454359785566673,0.0029454359785566673
582,0.0022014696481511497,0.0022014696481511497
584,0.016378491614381523,0.016378491614381523
588,0.017682948620270023,0.017682948620270023
591,0.005531658298419834,0.005531658298419834
593,0.0075622018033676365,0.0075622018033676365
598,0.004520032574250229,0.004520032574250229
600,0.00628594616782976,0.00628594616782976
602,0.011790947263151594,0.011790947263151594
604,0.0038987869044483205,0.0038987869044483205
606,0.004471970018202005,0.004471970018202005
610,0.01587376191135868,0.01587376191135868
612,0.01477852695703498,0.01477852695703498
614,0.006239444593922575,0.006239444593922575
616,0.008340114590998354,0.008340114590998354
617,0.009095851343293233,0.009095851343293233
619,0.002325210411985168,0.002325210411985168
622,0.006657658893577204,0.006657658893577204
624,0.022758595552363366,0.022758595552363366
629,0.01141101485945141,0.01141101485945141
631,0.016671605946722047,0.016671605946722047
633,0.005529085620492587,0.005529085620492587
635,0.00461764860645267,0.00461764860645267
637,0.010998867932032606,0.010998867932032606
639,0.007350174467919201,0.007350174467919201
641,0.011129469170339282,0.011129469170339282
643,0.0016350180947256202,0.0016350180947256202
645,0.0016384819617387752,0.0016384819617387752
