Centroid,Proportion,Proportion
1,0.019460677635710646,0.019460677635710646
3,0.011940819422182622,0.011940819422182622
7,0.03240775663754531,0.03240775663754531
9,0.014343998061130986,0.014343998061130986
11,0.021473528528204146,0.021473528528204146
13,0.011090097044690017,0.011090097044690017
14,0.005845999692189207,0.005845999692189207
16,0.019631925829164894,0.019631925829164894
18,0.012054814764901133,0.012054814764901133
21,0.025985618321346323,0.025985618321346323
23,0.010594533323376504,0.010594533323376504
25,0.017847393326149763,0.017847393326149763
27,0.01080119101294015,0.01080119101294015
29,0.03338768036249569,0.03338768036249569
30,0.01822208663512279,0.01822208663512279
33,0.03308879816017497,0.03308879816017497
34,0.016350987886261634,0.016350987886261634
35,0.034690794139950146,0.034690794139950146
36,0.0121318077549813,0.0121318077549813
38,0.005905925211131187,0.005905925211131187
41,0.02057978156478836,0.02057978156478836
43,0.020237992964887253,0.020237992964887253
45,0.035088919630930374,0.035088919630930374
47,0.024781312684562014,0.024781312684562014
49,0.018010835716782584,0.018010835716782584
50,0.0275135478155747,0.0275135478155747
51,0.007863446499557968,0.007863446499557968
52,0.02534853077478995,0.02534853077478995
55,0.021296047242717133,0.021296047242717133
57,0.00545144134028224,0.00545144134028224
62,0.010048685834403753,0.010048685834403753
63,0.027659041694695775,0.027659041694695775
65,0.004379424721411073,0.004379424721411073
68,0.0350328150873888,0.0350328150873888
72,0.030716046304247978,0.030716046304247978
76,0.014176772300479607,0.014176772300479607
81,0.03221030555127501,0.03221030555127501
83,0.015601278936471683,0.015601278936471683
85,0.021225590873822794,0.021225590873822794
87,0.06898504355800482,0.06898504355800482
89,0.011908192724326158,0.011908192724326158
92,0.02351565789652487,0.02351565789652487
97,0.04540254075228743,0.04540254075228743
99,0.08571031378013821,0.08571031378013821
