origin,destination,TT,FFTT,Average Trip Length
42,40,2.8365618355465516,2.7783644000000005,3323.1567500000006
42,44,1.0471219307200672,0.9804,1294.847
42,46,1.366645076856971,1.2528971999999998,2174.2332499999998
42,48,0.8706264672479447,0.8615759999999998,1778.6779999999999
42,50,2.899860878160877,2.8096415999999995,2896.955
42,52,6.391711870836539,5.4272627999999985,5420.088
42,56,20.564288293080303,17.261773,13686.1555
42,59,27.709580765157114,23.9444338,17876.7035
42,61,11.746000982823416,11.55614245714286,9177.555250000001
42,63,6.636509094903323,5.656005,5726.30625
42,65,4.662691998727228,4.2168275999999985,4356.93575
42,67,3.3914929360825967,2.7254891999999997,3473.00425
42,69,6.649936617682113,3.6633743999999995,4010.6934999999994
42,71,8.370791434337068,4.8862128,5213.47
42,73,9.042860299105811,5.3102496,5475.08675
42,75,6.601174362554779,4.675046399999999,4395.759249999999
42,77,9.626899266862749,7.460487800000001,6747.4212499999985
42,80,16.79266168053785,13.496582600000002,11782.761499999997
42,82,20.63782325971668,17.049902799999998,14901.0735
42,84,34.46282360993719,30.697238799999997,21278.2735
42,86,14.201222630854398,13.1800794,11996.368249999998
42,88,10.761298734254536,9.7410438,9130.505249999998
42,89,8.327423867439041,7.1053451999999995,7155.71725
42,91,10.597733401419825,6.9955968,6746.787250000001
42,93,13.282257265133293,8.793489600000001,8845.999499999998
42,95,11.16989107009201,9.674034,10573.022249999998
42,97,10.832344374566407,9.3392064,10273.183249999998
42,99,12.32536049328474,9.3271244,9077.999
42,101,14.302055017134055,11.2011956,13147.501250000001
42,103,13.032360288930587,10.409772,12991.42625
42,105,14.276161386180265,11.475233600000001,11922.618250000001
42,107,17.25088070323704,13.4728636,15462.022
42,110,16.70797878336555,14.018592485714288,16386.394250000005
42,111,13.84446736405639,11.175980200000001,13989.113250000004
42,113,13.596410448072104,10.941404200000001,13715.441250000003
42,116,22.695971365492554,20.501778028571433,17499.674000000003
42,117,24.695029901586178,21.959117714285714,22680.41375
42,119,20.921377947849653,18.186995714285715,18988.64975
44,0,9.07023079926974,8.839298399999999,8018.332399999999
44,3,5.945864907961567,5.5512624,5367.0181999999995
44,4,3.5546367233721594,3.5437134857142856,3877.3882
44,6,10.374919826050142,10.0848944,9062.3214
44,8,7.392032606539369,7.073348399999999,6503.216399999999
44,10,10.818266160371133,8.581014,7880.3752
44,12,22.21245024010643,21.392189600000002,12003.7684
44,14,12.834747532376563,11.837572771428572,11563.842199999997
44,16,4.1180931740251285,3.2696232000000007,3394.5190000000002
44,18,0.6863665092892891,0.6556571999999998,1287.3472
44,20,1.2350078218276235,1.1725932,1629.4114000000002
44,22,6.201953902723164,5.4459767999999995,5330.2034
44,24,8.743487321317179,8.005982399999997,7301.2304
44,27,24.82835968138073,21.272244800000003,16379.579600000001
44,28,12.247034507259878,11.344436857142858,11594.1562
44,30,11.30085211633917,10.353013771428571,10079.283199999996
44,32,7.931494737310694,6.887432800000001,5679.890199999999
44,34,6.536100310991953,5.523727600000001,4543.4692000000005
44,36,3.4670386373574997,3.1293376000000004,2996.1412
44,38,6.6583853682118255,5.775895599999999,5391.5872
44,40,4.823908758893206,4.3121776,3981.8412
44,42,1.411096311989487,1.3398292,1491.3502
44,46,2.2951752371033276,2.1621376000000003,2190.1412
44,48,0.8434263409891332,0.8198939999999999,1430.643
44,50,1.5533091104611103,1.5101196,1722.9894
44,52,5.045160103136773,4.339852799999998,4246.1224
44,56,19.272949302063004,16.174363,12561.1196
44,59,26.418241774139815,22.857023800000004,16751.667600000004
44,61,14.018641656596705,13.0495476,9598.836200000002
