from,to,length,volume,EstimatedTT,CO2,lengthm
300306311,4064369091,11.603,909.9358183880946,3.5962476768309117,5883.788877231686,0.007209767713
300306309,59816906,35.907,469.27614663837295,3.189697289432634,3866.443889548426,0.022311568496999997
59816906,300306311,35.599,909.9358183880946,11.033596573946712,18051.969339013267,0.022120186229
300306313,300306309,19.048,469.27614663837295,1.692075471888846,2051.077038129569,0.011835874808
4064369091,59816909,34.204,909.9358183880946,10.60122860797419,17344.575950774175,0.021253373684
59816916,59816909,356.845,469.27614663837295,26.06824508008116,35379.44558218595,0.221733134495
59816909,300306313,32.265,469.27614663837295,2.86617046936653,3474.2755478397025,0.020048535315
5709735373,59816025,25.404,2791.72875637778,4.248772160973036,25209.1766500873,0.015785308884
5709735375,59816025,29.029,2260.1615968736137,2.465924358816732,14726.626427825837,0.018037778759
5832485187,5832483680,448.421,1543.6167014341322,33.54945514383652,147429.68422805748,0.278635805191
5832483680,5832483678,44.648,10.073929803692131,3.2146560584045103,94.58624013255024,0.027742972408000003
110200445,5709735375,694.621,2460.2856270840352,62.639671215962885,395208.5988511931,0.431617345391
5709735375,5709735373,35.306,796.0174723053586,4.342509236275524,7912.580701990285,0.021938124526
5709735371,59816025,31.114,0.0,2.240208,0.0,0.019333337294
5709735377,59816025,36.547,44.72089507528961,2.6313840811783558,343.7076944831965,0.022709245936999998
300298616,5709735377,35.399,539.9069125401588,2.5528060558918018,4021.1901085721724,0.021995912029
59816096,5709735373,1591.146,2805.776602484216,134.6022060786187,1000102.3078118733,0.988691981166
5709735373,5709735371,36.112,14.047846106434564,2.600064178623756,106.6813055764655,0.022438949552
5709735377,5709735375,49.326,495.186017464869,3.9281741569659596,5327.941271156229,0.030649745946
5816233354,59816096,854.092,1035.232794276036,65.69800071211398,190238.37711618972,0.530708000132
6337682866,59816096,612.196,2074.6706065760204,46.38303171452971,271740.04834622564,0.380400840716
3979296372,5709735371,71.879,0.0,5.175288,0.0,0.044663526109000005
5709735371,5709735377,54.888,14.047846106434564,3.9519362714970296,162.14896711566925,0.034105811448
4519795041,4519795042,30.22,604.0539234061577,3.57228518136975,4996.402378668905,0.01877783162
3343187405,4519795042,1386.558,1617.1315963059762,112.68818358897357,493314.5784473657,0.861566931018
4519795026,4519795058,20.014,2585.49542010129,2.653546718438604,15392.778353527647,0.012436119193999999
4519795058,4519795050,35.126,761.1457391977706,6.620986713435042,10426.672040580603,0.021826277746
5700429269,6512504897,8.878,4107.448152844558,1.1527535445386459,10680.61155493439,0.005516531738
6512504894,59817142,20.777,1008.491165426878,1.9621499836299119,4968.881030198228,0.012910225267000001
3278120141,59817142,199.741,2466.4715348490204,15.883595555155164,107398.39655933503,0.12411326491100001
6512504897,59817142,19.024,4115.457266399759,2.478757049411454,22990.356205063053,0.011820961904000001
4519795027,6512504894,776.035,1266.533229502496,58.581806964398545,210008.87613814173,0.482205643985
5700428481,3278120141,66.531,2466.4715348490204,24.33620144606316,101283.02800871767,0.041340434001
3278120141,59817613,82.649,2924.687097925316,15.433142545455588,93588.09933746833,0.051355691779
6512504894,6512504897,32.489,258.0420640756175,2.34233267594442,1763.7440822976441,0.020187722419
4576575016,6227220670,12.634,2924.687097925316,8.247809120181552,30211.002298844145,0.007850401214
5700428484,5700428481,36.257,0.0,2.610504,0.0,0.022529048346999998
4576575016,59817613,311.516,2466.4715348490204,28.14911921261499,177874.5852962387,0.19356700843600003
59817613,5700428481,18.572,2466.4715348490204,6.793403575119641,28272.961419156552,0.011540102212
300306505,300306509,35.61,909.9358183880946,11.03700592708341,18057.54735139365,0.02212702131
300306511,59816916,24.194,469.27614663837295,2.14920589914315,2605.1951837729307,0.015033449974
59816916,300306505,22.996,909.9358183880946,7.127407702870266,11661.088427201581,0.014289047515999999
4064369091,300306313,8.21,0.0,0.59112,0.0,0.00510145591
300306509,59816917,22.754,909.9358183880946,7.0524019338628445,11538.372154833223,0.014138675734000001
6224346306,59816917,445.807,469.27614663837295,32.56709813620968,44199.595052915334,0.277011541397
59816917,300306510,23.373,469.27614663837295,2.07627467474055,2516.7904038325523,0.014523304383
300306511,300306505,12.435,0.0,0.89532,0.0,0.007726748385
5522145065,6224346306,55.702,469.27614663837295,4.948130403987432,5997.957432690747,0.034611607442
6224346306,5522145065,55.503,909.9358183880946,17.202666104209786,28145.129195293503,0.034487954613
300306509,300306510,9.568,0.0,0.688896,0.0,0.005945277728
300306510,300306511,10.027,469.27614663837295,0.890720325316542,1079.70125269452,0.006230487016999999
4519795041,4519795050,2.504,18.862033607017576,0.18028800687535199,9.932301036566761,0.001555912984
4519795042,59817138,16.543,1424.0337795903652,1.482594960348,5430.251141306587,0.010279340453
4519795058,59817138,24.433,1824.3496809035212,7.630225559728003,24961.724517007213,0.015181957643
4519795050,59817138,22.952,157.5740541398553,1.652850948829806,760.6020757223677,0.014261707192000001
59817660,4716021021,92.283,1230.1063956037983,8.321716154962253,26251.364542830455,0.057341979993
6226720718,6226720717,9.738,8.37254079036645,0.701136001038018,17.145654674831167,0.006050910798
6226720717,6226720725,5.99,2183.443847306748,1.512026071811286,6340.424586085438,0.0037220122900000004
6226720717,6226720715,27.158,353.24633378074486,1.9645490771857321,2020.4257754922755,0.016875193618000002
3298104373,5712260906,88.961,98.763697639138,6.406267072461192,1847.7653871908694,0.055277785531
5712260906,5712260902,88.208,32.754252657252,6.350976805948861,607.5789473448153,0.054809893168
4716021021,4716020992,31.045,2408.3826396759137,6.710674354532508,32362.43287807148,0.019290462695
