From,To,Volume,EstimatedTT
442874,26384674,2636.79,1.08
442928,1803689295,0.0,0.03
26384674,264670999,879.42,0.7
26384674,534589,1757.37,0.98
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,957.72,0.78
15866840,1803689315,2754.3,1.17
264670999,534589,490.32,0.36
534589,534591,2247.69,0.43
534591,534626,1752.27,0.69
8083440,534911,1779.04,0.05
534626,534624,16.39,0.07
534626,534625,1735.87,0.08
534608,30409417,1565.92,0.9
30436919,30436908,1265.93,1.31
30409417,30409422,496.67,0.02
30409417,30403571,2986.17,0.28
534624,534608,1151.74,1.24
534625,30436908,1761.36,0.02
534625,534624,1135.35,0.07
30436908,30436907,1767.52,0.02
30436908,534628,1233.79,0.46
534628,534629,1788.46,0.26
534629,3595409680,2142.99,0.72
11769656,11769730,1362.97,0.21
3595409680,3855350,1589.84,0.01
3595409680,7128283652,553.92,0.05
3160432771,30409397,593.83,0.17
30409405,30409419,1240.66,0.72
534736,140605768,2342.98,0.2
534306820,2021890013,1903.26,0.19
140605768,534324288,2342.98,0.7
534329195,2021890013,1366.71,0.02
534329195,534306820,2342.98,0.42
3853550,3564765835,506.64,0.43
534742,534770,2247.77,0.64
534770,29138173,3127.36,0.12
534743,534744,660.38,0.08
534744,534747,2716.35,0.06
247994358,534742,980.45,0.09
534747,277692998,116.65,0.01
534747,2287846802,2599.7,0.41
277692998,288154283,2378.88,0.09
2287846802,29510418,0.0,0.04
2287846802,2287846804,2599.7,0.34
534749,25235133,2949.6,0.2
534749,7095690293,736.82,0.98
25235133,25235132,1252.6,0.01
25235133,534751,1779.46,1.37
7095690293,7095690318,1818.92,0.02
534751,534754,836.87,0.96
534754,3098430373,1385.39,0.21
29510455,25235132,1857.87,0.83
3098430373,16574394,1032.95,0.06
3098430373,2260849842,1342.75,1.37
534758,25873172,1964.02,0.04
534758,2202559858,1638.26,0.65
25873172,25873173,2818.55,0.02
25873172,3100041009,1150.25,0.54
2202559858,25873172,2004.78,0.69
534769,546378258,1742.15,0.6
534769,534770,879.59,0.04
546378258,247994363,1100.07,0.06
546378258,290077155,642.08,0.24
29138173,1775338888,309.67,0.09
29138173,534773,2817.7,0.94
534773,2544089666,3226.93,0.04
534773,335716508,1155.0,0.31
2544089666,2544089665,2207.85,0.07
2544089666,16574602,1019.08,0.04
335716508,534799,1155.0,0.52
534774,534804,535.18,0.15
244038933,534778,958.3,0.09
534804,18630111,3471.47,0.97
534804,16574613,379.11,0.05
534778,244038915,1483.21,0.02
534778,30058360,1616.89,0.27
244038915,534787,2192.45,0.33
244038915,244038942,1191.85,0.04
30058360,30056676,1767.07,1.01
30058360,30056684,768.4,0.02
534787,244038955,905.63,0.07
534787,244038923,1286.82,0.33
244038955,244038925,1328.11,0.05
244038955,2072816,961.42,0.48
244038923,244038955,1383.91,0.1
534790,30261537,964.7,0.04
534790,30409389,1981.38,0.05
30261537,30409389,719.8,0.05
30409389,30409397,2293.9,0.08
30409389,3160432771,407.28,0.18
534796,534790,1049.92,0.05
534796,3160432775,1442.44,0.6
3160432775,534790,1896.16,0.22
534799,1501721437,398.08,0.02
534799,11769597,1299.41,0.43
1501721437,18630516,1415.66,0.02
1501721437,2071676,572.74,0.32
11769597,7128283648,1601.12,0.02
11769597,3595409680,0.76,0.02
18630111,280008666,2829.35,0.06
18630111,35711189,1746.43,0.94
16574613,534773,2313.63,0.05
16574613,16574619,702.36,0.16
534806,280008531,2140.33,0.02
534806,2287864441,3305.93,0.45
280008531,18630070,859.77,0.03
280008531,31197353,1280.56,0.06
2287864441,280221322,1024.45,0.1
2287864441,24969587,2281.47,0.07
24669567,976932104,813.74,0.15
