fishnetID,carbon,CI
0,0.48104196215851736,1.4255497993399138
10,1.7625743841579107,1.762520558065673
101,0.006022283283442311,1.5401252320385261
103,0.28347077932619696,1.5430236681103215
105,2.0605113574512814,1.5807041359101865
107,2.30974859889839,1.4835590869168753
110,0.02176263017749399,1.511823190854925
111,0.9577661509182639,1.500877773043422
113,0.4766494512768995,1.498295482205861
116,2.0253442426750454,1.6459941984581261
117,0.24726835974214725,1.4224282361420346
119,1.3628330936111483,1.5116954284348323
12,0.3056812321948563,1.3062752225958474
14,0.3953825165685819,1.3530743365496805
16,1.638114863567024,1.7591112869752998
18,2.8369929259767765,1.6444805947459613
20,3.738713271104645,1.6880000723023059
22,2.0050876735597316,1.6614755855087606
24,0.7528516329196171,1.4119917863057654
27,0.4407380150543571,2.5417878709877884
28,1.70004933302714,1.3217585581695872
3,0.5876894715400682,1.5740605680866582
30,1.6591740141420477,1.3671620581130968
32,1.4212130142186858,1.5623054434913974
34,0.9486174148400806,1.683515595625927
36,1.5289299264282792,1.7811415088507154
38,1.6860926018872018,1.708331998491891
4,0.3342609426377099,1.5440835984433832
40,1.4629693528454966,1.7730411993827284
42,1.7067694368135875,1.6878654017220494
44,2.1791779244169556,1.723168489823799
46,1.6313258844229968,1.9342000489784865
48,4.097794536617253,1.8681389140032107
50,3.949229124755928,1.8505014572854988
52,2.045413028042774,1.7662991100173975
56,0.26471800006526514,2.931910903674708
59,0.37630477583819527,2.4486660265628193
6,1.5982245574593685,1.4085677250014943
61,2.1764138161284023,1.4053750390863085
63,3.8481905064825424,1.5585282264142304
65,4.7959337165007785,1.758136222479782
67,1.5446938250944278,2.027291861020197
69,3.635550666748384,2.041408058740696
71,0.8113495636160163,1.9266559534231922
73,1.659256762520237,2.043083543894412
75,8.470854178123984,2.4961042452910873
77,5.236882360507582,4.93253226956248
8,2.0253785945638976,1.609882601130825
80,1.9922880220384283,3.4410713548535274
82,0.0,2.9881039516524512
84,0.0,2.2863838368645117
86,0.429470813975109,1.5191978869371665
88,0.2919261183489005,1.5610967441478958
89,4.966117591670857,1.5987137536963447
91,2.504306877062282,1.817232611888438
93,0.9868010836836227,1.7683254142511824
95,0.07080456778289211,1.5223816920304751
97,2.0767096421164197,1.5845982599678
99,2.313904458838811,1.5845233508948269
