,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
3982,6123731534,-34.6118491,-58.3593274,,3,-58.3593274,-34.6118491,,POINT (-58.3593274 -34.6118491)
3983,6505216665,-34.6052625,-58.36695,traffic_signals,4,-58.36695,-34.6052625,,POINT (-58.36695 -34.6052625)
3984,972864214,-34.5695126,-58.4262446,traffic_signals,3,-58.4262446,-34.5695126,,POINT (-58.4262446 -34.5695126)
3985,973569377,-34.7778615,-58.6231949,,1,-58.6231949,-34.7778615,,POINT (-58.6231949 -34.7778615)
3986,3022676407,-34.779407,-58.6235069,,3,-58.6235069,-34.779407,,POINT (-58.6235069 -34.779407)
3987,973585551,-34.7510143,-58.6131004,traffic_signals,1,-58.6131004,-34.7510143,,POINT (-58.6131004 -34.7510143)
3988,2126916096,-34.7511975,-58.6131147,,3,-58.6131147,-34.7511975,,POINT (-58.6131147 -34.7511975)
3989,978577535,-34.7384675,-58.571892,,3,-58.571892,-34.7384675,,POINT (-58.571892 -34.7384675)
3990,2126916007,-34.7411538,-58.5684853,,4,-58.5684853,-34.7411538,,POINT (-58.5684853 -34.7411538)
3991,3911775935,-34.7381878,-58.5722329,,3,-58.5722329,-34.7381878,,POINT (-58.5722329 -34.7381878)
3992,978737334,-34.8081909,-58.6350482,,3,-58.6350482,-34.8081909,,POINT (-58.6350482 -34.8081909)
3993,1687358541,-34.809109,-58.6358328,,1,-58.6358328,-34.809109,,POINT (-58.6358328 -34.809109)
3994,1687358596,-34.8124897,-58.6374388,,3,-58.6374388,-34.8124897,,POINT (-58.6374388 -34.8124897)
3995,5748132002,-34.7840552,-58.5243649,,3,-58.5243649,-34.7840552,,POINT (-58.5243649 -34.7840552)
3996,988410946,-34.6892335,-58.4871231,,3,-58.4871231,-34.6892335,,POINT (-58.4871231 -34.6892335)
3997,2321436266,-34.5356542,-58.4666915,,3,-58.4666915,-34.5356542,,POINT (-58.4666915 -34.5356542)
3998,1006208636,-34.535397,-58.4605073,,1,-58.4605073,-34.535397,,POINT (-58.4605073 -34.535397)
3999,1015323545,-34.5710715,-58.5095794,,1,-58.5095794,-34.5710715,,POINT (-58.5095794 -34.5710715)
4000,1021404199,-34.591738,-58.5192568,,1,-58.5192568,-34.591738,,POINT (-58.5192568 -34.591738)
4001,1105662881,-34.5987138,-58.5129465,,1,-58.5129465,-34.5987138,,POINT (-58.5129465 -34.5987138)
4002,1021414419,-34.5943476,-58.5215125,,1,-58.5215125,-34.5943476,,POINT (-58.5215125 -34.5943476)
4003,4626718213,-34.5843143,-58.5503361,,3,-58.5503361,-34.5843143,,POINT (-58.5503361 -34.5843143)
4004,1062320440,-34.4392437,-58.5726365,,3,-58.5726365,-34.4392437,,POINT (-58.5726365 -34.4392437)
4005,2182759593,-34.4429841,-58.5776545,,3,-58.5776545,-34.4429841,,POINT (-58.5776545 -34.4429841)
4006,1062320467,-34.4392727,-58.5722948,,3,-58.5722948,-34.4392727,,POINT (-58.5722948 -34.4392727)
4007,1079896884,-34.4783786,-58.5552407,,3,-58.5552407,-34.4783786,,POINT (-58.5552407 -34.4783786)
4008,1079896942,-34.4788929,-58.555224,,3,-58.555224,-34.4788929,,POINT (-58.555224 -34.4788929)
4009,1079896891,-34.4784685,-58.555139,,3,-58.555139,-34.4784685,,POINT (-58.555139 -34.4784685)
4010,4638943400,-34.4784563,-58.5551125,,3,-58.5551125,-34.4784563,,POINT (-58.5551125 -34.4784563)
4011,1079896925,-34.478267,-58.5551051,,3,-58.5551051,-34.478267,,POINT (-58.5551051 -34.478267)
4012,3922969914,-34.4783379,-58.555241,,3,-58.555241,-34.4783379,,POINT (-58.555241 -34.4783379)
4013,1105343193,-34.7362699,-58.3903432,,4,-58.3903432,-34.7362699,,POINT (-58.3903432 -34.7362699)
4014,5282960358,-34.7364747,-58.3902975,,3,-58.3902975,-34.7364747,,POINT (-58.3902975 -34.7364747)
4015,1105662898,-34.600118,-58.5116385,traffic_signals,1,-58.5116385,-34.600118,,POINT (-58.5116385 -34.600118)
4016,199319991,-34.6000616,-58.511545,traffic_signals,1,-58.511545,-34.6000616,,POINT (-58.511545 -34.6000616)
4017,6858419235,-34.5874739,-58.5249291,,3,-58.5249291,-34.5874739,,POINT (-58.5249291 -34.5874739)
4018,1901460915,-34.5847007,-58.7486604,traffic_signals,4,-58.7486604,-34.5847007,,POINT (-58.7486604 -34.5847007)
4019,2501263946,-34.4353718,-58.5670045,traffic_signals,3,-58.5670045,-34.4353718,,POINT (-58.5670045 -34.4353718)
4020,8851856118,-34.4352199,-58.567204,,3,-58.567204,-34.4352199,,POINT (-58.567204 -34.4352199)
4021,1121859804,-34.5593553,-58.6515097,traffic_signals,3,-58.6515097,-34.5593553,,POINT (-58.6515097 -34.5593553)
4022,2756319654,-34.558398,-58.6550002,traffic_signals,4,-58.6550002,-34.558398,,POINT (-58.6550002 -34.558398)
4023,1329175703,-34.5629211,-58.6416806,,3,-58.6416806,-34.5629211,,POINT (-58.6416806 -34.5629211)
4024,1627319471,-34.6509711,-58.3699917,,3,-58.3699917,-34.6509711,,POINT (-58.3699917 -34.6509711)
4025,1124237934,-34.6511295,-58.3701266,,3,-58.3701266,-34.6511295,,POINT (-58.3701266 -34.6511295)
4026,206109437,-34.642674,-58.3765005,traffic_signals,1,-58.3765005,-34.642674,,POINT (-58.3765005 -34.642674)
4027,1611090643,-34.6421331,-58.3755355,,1,-58.3755355,-34.6421331,,POINT (-58.3755355 -34.6421331)
4028,4480150936,-34.651122,-58.3701271,,3,-58.3701271,-34.651122,,POINT (-58.3701271 -34.651122)
4029,1148538467,-34.5723386,-58.3938542,,3,-58.3938542,-34.5723386,,POINT (-58.3938542 -34.5723386)
4030,3647500985,-34.572408,-58.394843,traffic_signals,4,-58.394843,-34.572408,,POINT (-58.394843 -34.572408)
4031,2996824443,-34.6088823,-58.5273147,crossing,1,-58.5273147,-34.6088823,,POINT (-58.5273147 -34.6088823)
4032,1167258270,-34.5948443,-58.3825418,,3,-58.3825418,-34.5948443,,POINT (-58.3825418 -34.5948443)
4033,1229516618,-34.5493321,-58.4541574,,4,-58.4541574,-34.5493321,,POINT (-58.4541574 -34.5493321)
4034,2924096502,-34.5482629,-58.4555115,,3,-58.4555115,-34.5482629,,POINT (-58.4555115 -34.5482629)
4035,6742559318,-34.7891902,-58.2787601,,3,-58.2787601,-34.7891902,,POINT (-58.2787601 -34.7891902)
4036,1232664795,-34.7889147,-58.2783166,,3,-58.2783166,-34.7889147,,POINT (-58.2783166 -34.7889147)
4037,2664624203,-34.8098953,-58.2780106,,3,-58.2780106,-34.8098953,,POINT (-58.2780106 -34.8098953)
4038,2664652640,-34.8117497,-58.2777531,,3,-58.2777531,-34.8117497,,POINT (-58.2777531 -34.8117497)
4039,1232757713,-34.8106304,-58.2699685,,3,-58.2699685,-34.8106304,,POINT (-58.2699685 -34.8106304)
4040,1232757722,-34.8108094,-58.2699864,,3,-58.2699864,-34.8108094,,POINT (-58.2699864 -34.8108094)
4041,2686125375,-34.810814,-58.2699493,,3,-58.2699493,-34.810814,,POINT (-58.2699493 -34.810814)
4042,1238939026,-34.5623413,-58.4236695,,2,-58.4236695,-34.5623413,,POINT (-58.4236695 -34.5623413)
4043,1239327243,-34.5625616,-58.4234396,,3,-58.4234396,-34.5625616,,POINT (-58.4234396 -34.5625616)
4044,4545808151,-34.5571185,-58.424674,,3,-58.424674,-34.5571185,,POINT (-58.424674 -34.5571185)
4045,1239327200,-34.5639414,-58.4185736,,3,-58.4185736,-34.5639414,,POINT (-58.4185736 -34.5639414)
4046,1239327246,-34.5634188,-58.4176586,,3,-58.4176586,-34.5634188,,POINT (-58.4176586 -34.5634188)
4047,1239327219,-34.572753,-58.4270981,,3,-58.4270981,-34.572753,,POINT (-58.4270981 -34.572753)
4048,3648090382,-34.5700123,-58.3989609,traffic_signals,5,-58.3989609,-34.5700123,,POINT (-58.3989609 -34.5700123)
4049,3362701413,-34.5728267,-58.4016593,,3,-58.4016593,-34.5728267,,POINT (-58.4016593 -34.5728267)
4050,2267880431,-34.7152206,-58.5082882,,1,-58.5082882,-34.7152206,,POINT (-58.5082882 -34.7152206)
4051,1277768909,-34.7131945,-58.5069316,,3,-58.5069316,-34.7131945,,POINT (-58.5069316 -34.7131945)
4052,1277768908,-34.7393517,-58.5199979,motorway_junction,3,-58.5199979,-34.7393517,,POINT (-58.5199979 -34.7393517)
4053,1277768942,-34.7379734,-58.5185981,,1,-58.5185981,-34.7379734,,POINT (-58.5185981 -34.7379734)
4054,1277768938,-34.7139259,-58.5073453,,1,-58.5073453,-34.7139259,,POINT (-58.5073453 -34.7139259)
4055,1277769049,-34.7455638,-58.5215497,,3,-58.5215497,-34.7455638,,POINT (-58.5215497 -34.7455638)
4056,7396621448,-34.7448074,-58.5213836,,3,-58.5213836,-34.7448074,,POINT (-58.5213836 -34.7448074)
4057,1283447317,-34.575428,-58.3931769,,3,-58.3931769,-34.575428,,POINT (-58.3931769 -34.575428)
4058,2665697558,-34.58714,-58.3809236,motorway_junction,3,-58.3809236,-34.58714,,POINT (-58.3809236 -34.58714)
4059,1286992122,-34.5901231,-58.3732383,traffic_signals,5,-58.3732383,-34.5901231,,POINT (-58.3732383 -34.5901231)
