,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
1421,1553097129,secondary,2,626.3639999999999,60,Avenida Almirante Brown,1,"[906011617, 532783281, 144844722, 144844723, 333373301, 141895198]",194505422,700,"LINESTRING (-58.3662534 -34.6285542, -58.365698 -34.6289254, -58.3656003 -34.6289854, -58.365553 -34.6290167, -58.3648646 -34.6294712, -58.3641213 -34.6299481, -58.3634086 -34.6304467, -58.3631429 -34.6306207, -58.3624261 -34.6310901, -58.3613415 -34.6317981, -58.361085 -34.6319656, -58.3608771 -34.6320235)"
1422,1553097206,secondary,2,383.89400000000006,60,Avenida Benito Pérez Galdós,1,"[141895216, 141895218, 141895212]",4477921281,700,"LINESTRING (-58.3608136 -34.6319021, -58.3606849 -34.631807, -58.3600183 -34.631074, -58.3591924 -34.6302491, -58.3584665 -34.6294887, -58.3584174 -34.6294325, -58.3583834 -34.6293921, -58.3583724 -34.629379, -58.3583273 -34.6293204, -58.3582886 -34.6292687, -58.3582341 -34.6291855)"
1423,4477921281,secondary,2,385.539,60,Avenida Benito Pérez Galdós,1,"[141895217, 141895213, 141895215]",1553097206,700,"LINESTRING (-58.3582341 -34.6291855, -58.3583629 -34.6292782, -58.3584206 -34.629323, -58.3584496 -34.6293478, -58.358474 -34.6293687, -58.3585432 -34.6294308, -58.3592818 -34.630181, -58.3601078 -34.6310176, -58.3607753 -34.6317538, -58.3608136 -34.6319021)"
1424,1553097127,secondary,2,188.29299999999998,60,Avenida Almirante Brown,1,"[141895203, 906011614, 141895206]",1553097100,700,"LINESTRING (-58.3659336 -34.6286003, -58.3664719 -34.6282549, -58.366498 -34.6282388, -58.3665264 -34.6282213, -58.3673892 -34.627657, -58.3675515 -34.6275539)"
1425,1553097129,secondary_link,1,34.304,40,,1,141895268,1553097127,700,"LINESTRING (-58.3662534 -34.6285542, -58.3661742 -34.6285641, -58.3660592 -34.6286264, -58.3660376 -34.628637, -58.366016 -34.6286444, -58.3659978 -34.6286484, -58.365981 -34.6286455, -58.3659336 -34.6286003)"
1426,315998762,secondary,3,72.80799999999999,60,Avenida Almirante Brown,0,141895204,206112473,700,"LINESTRING (-58.3595337 -34.6342522, -58.3597572 -34.6338598, -58.3598714 -34.6336593)"
1427,235410063,secondary,2,67.39699999999999,60,Puente Nicolás Avellaneda,0,404785394,206112473,700,"LINESTRING (-58.3591361 -34.6336906, -58.3595107 -34.6336807, -58.3595845 -34.633679, -58.3596807 -34.6336754, -58.3597472 -34.6336706, -58.3598714 -34.6336593)"
1428,194505423,secondary,2,42.846000000000004,60,Avenida Don Pedro de Mendoza,1,38536409,4479672675,700,"LINESTRING (-58.3570833 -34.6383545, -58.3570072 -34.638253, -58.356978 -34.6381722, -58.3569519 -34.6380666, -58.3569351 -34.6379939)"
1429,206110349,secondary,2,976.8840000000001,60,Avenida Don Pedro de Mendoza,0,"[512733856, 512733857, 288583330, 47521350, 462215335, 47303244, 48024205, 144844724, 47098807, 38536408, 52862943]",194505423,700,"LINESTRING (-58.3580804 -34.6425517, -58.3580996 -34.6424966, -58.3581112 -34.6424636, -58.3581207 -34.6424401, -58.3581367 -34.642409, -58.3581568 -34.6423785, -58.3585221 -34.64185, -58.3585711 -34.6418029, -58.3586255 -34.6417604, -58.3586912 -34.6417232, -58.3587392 -34.6416993, -58.3587862 -34.6416803, -58.3588434 -34.641659, -58.3589074 -34.6416377, -58.3601892 -34.641278, -58.3608119 -34.6410782, -58.3609338 -34.641019, -58.3610739 -34.64094, -58.361294 -34.6407991, -58.3614443 -34.6406817, -58.3615355 -34.640574, -58.3616112 -34.6404405, -58.3616823 -34.6402192, -58.3617053 -34.6400882, -58.3617076 -34.6399671, -58.3616849 -34.639849, -58.3616379 -34.6397002, -58.361542 -34.6395194, -58.3614803 -34.6394227, -58.3614419 -34.6393681, -58.361409 -34.6393212, -58.3613761 -34.6392797, -58.3613402 -34.6392407, -58.3613095 -34.6392163, -58.3612814 -34.6391986, -58.3612524 -34.6391833, -58.3611916 -34.6391554, -58.3610842 -34.6391203, -58.360754 -34.6390272, -58.3606723 -34.6390083, -58.360595 -34.6389929, -58.3605281 -34.6389835, -58.3604486 -34.6389763, -58.3603889 -34.638974, -58.3603121 -34.6389744, -58.3593379 -34.6389857, -58.3587606 -34.6389853, -58.358663 -34.6389844, -58.3585742 -34.6389799, -58.3584634 -34.6389708, -58.3583938 -34.6389632, -58.3583094 -34.6389469, -58.3582195 -34.6389217, -58.3581219 -34.6388883, -58.358044 -34.6388585, -58.3574881 -34.6385897, -58.357165 -34.6384253, -58.3571288 -34.638395, -58.3571028 -34.6383707, -58.3570833 -34.6383545)"
1430,4576091910,secondary,2,35.402,60,Avenida Almirante Brown,1,47098826,194505423,700,"LINESTRING (-58.3572257 -34.6380638, -58.3570966 -34.6382588, -58.3570833 -34.6383545)"
1431,4479672675,secondary,2,56.297,60,Avenida Don Pedro de Mendoza,1,462203561,206111116,700,"LINESTRING (-58.3569351 -34.6379939, -58.3569108 -34.637914, -58.3568976 -34.6378792, -58.3568861 -34.6378517, -58.3568735 -34.6378283, -58.356856 -34.6377999, -58.3568395 -34.6377778, -58.3568253 -34.6377593, -58.3568039 -34.6377367, -58.3567754 -34.6377114, -58.3566348 -34.6375607)"
1432,4479672675,secondary,2,22.988,60,,1,462203562,1553097236,700,"LINESTRING (-58.3569351 -34.6379939, -58.3569585 -34.6379419, -58.3569852 -34.6379102, -58.3570289 -34.6378874, -58.3570673 -34.6378778, -58.3571124 -34.6378786)"
1433,4576091910,secondary,2,34.418,60,,1,906011619,4479672675,700,"LINESTRING (-58.3572257 -34.6380638, -58.3571917 -34.6380809, -58.3571563 -34.6380947, -58.3571129 -34.6381073, -58.3570728 -34.6381091, -58.3570367 -34.6381031, -58.3569963 -34.6380859, -58.3569678 -34.6380574, -58.3569351 -34.6379939)"
1434,235427249,motorway,18,2976.2479999999987,100,Autopista Doctor Ricardo Balbín,1,"[39700418, 28678658, 39700421, 375312935, 330202187, 375312939, 23019376, 360211090, 375880790, 375880791, 375880793]",248190539,2000,"LINESTRING (-58.3582208 -34.627443, -58.3568768 -34.6283342, -58.3564286 -34.628636, -58.3560266 -34.6289266, -58.3558527 -34.6290584, -58.3556788 -34.6292037, -58.355505 -34.6293624, -58.355342 -34.6295189, -58.3552168 -34.6296374, -58.3550647 -34.6297944, -58.3548919 -34.62999, -58.3547205 -34.6301971, -58.3545298 -34.6304553, -58.3543667 -34.6306998, -58.3542409 -34.6308966, -58.3541234 -34.6311036, -58.354039 -34.6312606, -58.3539437 -34.6314642, -58.3538455 -34.6316894, -58.3537667 -34.6318884, -58.3537128 -34.6320795, -58.3536727 -34.6322819, -58.3536437 -34.6324719, -58.3536216 -34.6326732, -58.3536133 -34.6330053, -58.3536299 -34.6335683, -58.353663 -34.6342064, -58.3536879 -34.6347706, -58.3536935 -34.6351732, -58.3536769 -34.6355212, -58.3536561 -34.6357714, -58.3535967 -34.6362139, -58.3535248 -34.636679, -58.3534363 -34.6370965, -58.3533299 -34.6375104, -58.3532525 -34.6377595, -58.3531156 -34.6381553, -58.3529498 -34.6385898, -58.3528544 -34.6388309, -58.3527355 -34.6390868, -58.3525973 -34.6393427, -58.3523982 -34.6396861, -58.3519642 -34.6404208, -58.3513601 -34.641408, -58.3512467 -34.6416002, -58.3510781 -34.6419016, -58.3509371 -34.6421501, -58.3508386 -34.6423475, -58.3507465 -34.6425526, -58.3506836 -34.6427233, -58.3506207 -34.6428974, -58.3505683 -34.6430879, -58.3505191 -34.6432973, -58.3504782 -34.643524, -58.3504521 -34.6436878, -58.3504363 -34.6438955, -58.3504196 -34.6440946, -58.3504154 -34.6442885, -58.3504196 -34.6444721, -58.3504353 -34.6446695, -58.3504542 -34.6448246, -58.3504751 -34.6449668, -58.3504971 -34.6451151, -58.3505338 -34.6452944, -58.3505736 -34.6454392, -58.3506375 -34.6456572, -58.3506807 -34.6457854, -58.3507211 -34.6458954, -58.350762 -34.6459961, -58.3508047 -34.6460948, -58.350886 -34.646272, -58.351444 -34.6473209, -58.3521979 -34.6487194, -58.3526588 -34.6494472, -58.3531642 -34.6501605, -58.3533755 -34.6504585, -58.3534302 -34.6505348, -58.3534796 -34.6506122, -58.3535107 -34.6506825, -58.3535405 -34.6507533, -58.3535622 -34.6508258, -58.3535873 -34.6509049, -58.3536114 -34.6510197, -58.3536247 -34.6511297, -58.3536409 -34.6512668, -58.3536463 -34.6514124, -58.3536277 -34.651554, -58.353607 -34.6517028)"
1435,1624669923,motorway,2,651.011,100,Autopista Doctor Ricardo Balbín,1,375881174,235427249,2000,"LINESTRING (-58.3641571 -34.624242, -58.3639848 -34.6243571, -58.3639567 -34.6243758, -58.3637278 -34.624515, -58.3635948 -34.6245855, -58.3634589 -34.6246526, -58.3632851 -34.6247308, -58.363008 -34.6248471, -58.3627821 -34.6249412, -58.3623017 -34.6251466, -58.3620844 -34.6252472, -58.3618616 -34.6253567, -58.3613428 -34.6256004, -58.3608538 -34.625853, -58.3601149 -34.6262554, -58.3597282 -34.6264759, -58.3593595 -34.6267026, -58.3590727 -34.6268851, -58.3587845 -34.6270687, -58.3582208 -34.627443)"
1436,206114652,secondary,2,36.156,60,Avenida Benito Pérez Galdós,0,19782857,1553097114,700,"LINESTRING (-58.3570382 -34.6279181, -58.3572737 -34.6281792)"
1437,4477921281,secondary,2,142.276,60,Avenida Benito Pérez Galdós,0,454602693,1553097114,700,"LINESTRING (-58.3582341 -34.6291855, -58.3572737 -34.6281792)"
1438,1553097114,secondary,1,351.99999999999994,60,Avenida Don Pedro de Mendoza,1,"[141895288, 469287593, 450892648]",4477965114,700,"LINESTRING (-58.3572737 -34.6281792, -58.3562151 -34.6288945, -58.3558964 -34.629138, -58.3557404 -34.6292754, -58.3557178 -34.6292953, -58.3555161 -34.6294852, -58.3553179 -34.6297217, -58.3549114 -34.6302828, -58.3548639 -34.6303565, -58.3548207 -34.6304285, -58.3547617 -34.630526)"
