fishnetID,osmid,lon,lat
0,3095117589,174.7867488,-36.9778457
0,312412685,174.8002422,-36.9988329
0,1048423784,174.7888326,-37.0009245
0,5720842262,174.8081263,-36.9776053
1,7590927980,174.8267772,-36.9992752
1,5553138669,174.8518436,-36.998479
1,75780120,174.8167801,-36.9734814
1,312410266,174.8438223,-36.9931549
2,5553138703,174.853699,-36.9960424
2,2087032589,174.8528655,-36.9983603
2,7775194949,174.8535937,-37.0028653
2,316385337,174.8559051,-37.0058033
3,907782631,174.868586,-36.9970796
3,1607097921,174.8663721,-36.9955668
3,1064811789,174.8710318,-37.0000733
3,324223314,174.8761919,-36.9978823
4,39058757,174.8893749,-37.0015915
4,6207230484,174.885429,-36.9962376
4,830103174,174.8889978,-37.0068597
4,324224961,174.8908286,-36.9983733
5,312419179,174.8613372,-36.9871745
5,6201221194,174.8661393,-36.9951227
5,5700610232,174.863982,-36.9921164
5,312418329,174.8543927,-36.9895571
6,312419184,174.8700563,-36.9841784
6,1624629994,174.8743362,-36.9951837
6,3660080826,174.8730141,-36.9928595
6,5700392599,174.8685242,-36.9897877
7,7797562374,174.8800705,-36.9854018
7,5700059410,174.8827777,-36.987723
7,898141035,174.8850857,-36.9855941
7,3444548630,174.8890105,-36.991824
9,25954285,174.8825799,-36.9815915
9,803621078,174.883695,-36.9795081
9,343312599,174.8847066,-36.9757223
10,343312619,174.8977018,-36.9781176
10,343312755,174.8950484,-36.9832131
10,8484494589,174.9229381,-36.9736488
10,4320284153,174.9222362,-36.9957655
11,4240822633,174.6304198,-36.9490582
11,1201336564,174.6300329,-36.9487723
11,4240822614,174.6301574,-36.9487499
12,302515400,174.6540214,-36.9385734
12,296060384,174.6541609,-36.9384146
12,560705010,174.6540273,-36.9382371
13,431411386,174.7897387,-36.9368695
13,313427344,174.7943089,-36.9507033
13,72244101,174.7917444,-36.9525484
13,1293172693,174.7986289,-36.9684106
14,26106928,174.8436457,-36.9405952
14,6225113450,174.8226396,-36.9684379
14,3647180295,174.8408577,-36.9652592
14,4559462411,174.8522087,-36.9388905
15,39052057,174.8597719,-36.9686434
15,3333552088,174.8530206,-36.9573084
15,6224842596,174.8668664,-36.964107
15,359872047,174.8700784,-36.9655766
16,1034150090,174.8748424,-36.9623741
16,5830850654,174.8822224,-36.9619897
16,4666748518,174.8887526,-36.9603674
16,1232169600,174.8864834,-36.9692669
17,619550039,174.8542126,-36.9417466
17,4380567414,174.8603787,-36.9517889
17,364903139,174.85276,-36.9383253
17,5693859823,174.8711309,-36.9385324
18,359873059,174.8922245,-36.9487122
18,3674694279,174.8737899,-36.936874
18,5292798405,174.8786026,-36.9406259
18,5723638326,174.8933435,-36.9432178
19,343312297,174.8936625,-36.9432502
19,6224330289,174.9002613,-36.9634089
19,5721141909,174.8992442,-36.948532
19,4675491147,174.9195788,-36.9671405
20,5726796757,174.6412996,-36.9085455
20,5830451691,174.6268469,-36.9050703
20,5998982463,174.6279658,-36.9078147
20,6192534485,174.6482618,-36.9212131
21,59828189,174.6803147,-36.9091812
21,5808083939,174.6649637,-36.9085034
21,5741661738,174.6769128,-36.9088936
21,5737400886,174.6891915,-36.9032532
22,6207857739,174.713309,-36.9069284
22,6207432530,174.6899062,-36.9122502
22,5104317096,174.7228698,-36.9036732
22,544372928,174.6908543,-36.9229559
23,26050495,174.7695508,-36.9106508
23,59962916,174.7679487,-36.9208424
23,3117838918,174.7679762,-36.9162867
23,6209883890,174.7397395,-36.9095117
24,26107313,174.7835851,-36.9266427
24,3283379979,174.7833927,-36.9085962
24,1424867359,174.7762792,-36.9120771
24,2174203917,174.8088204,-36.903316
25,1713769165,174.8147222,-36.9200283
25,1691791970,174.8195837,-36.9195904
25,3985557584,174.8266739,-36.9192331
25,1713769187,174.8125916,-36.9213056
26,26107186,174.8423207,-36.9277196
26,420463850,174.8396287,-36.9192184
26,5706110525,174.8355064,-36.936191
26,6224862884,174.8405738,-36.9213391
27,108453692,174.8182107,-36.9113628
27,1719993711,174.8130162,-36.90828
27,715823,174.8151226,-36.9055612
27,3985557550,174.8258708,-36.9184537
28,25886060,174.8464076,-36.9150984
28,420463868,174.8343288,-36.9169491
28,25977608,174.8473945,-36.9187974
28,2548353219,174.844857,-36.9094253
29,5177815879,174.8892169,-36.9061778
29,344575699,174.8704571,-36.9146775
29,5851793387,174.8863871,-36.9073893
29,777398861,174.8759324,-36.9364864
30,6226641883,174.9130078,-36.9198664
30,1171910824,174.9081329,-36.9146841
30,5683256489,174.9131005,-36.9259246
30,5931861577,174.9086427,-36.9295329
31,305335277,174.6308602,-36.878221
31,560218308,174.6442709,-36.8860102
31,290921684,174.6351324,-36.8780582
31,412086529,174.6347426,-36.8818266
32,59932842,174.6837915,-36.872039
32,251122865,174.6689219,-36.8723851
32,6207341834,174.6601988,-36.8870458
32,5736916797,174.649941,-36.8984443
33,25842509,174.7098723,-36.8708341
33,25841827,174.7063805,-36.8712076
33,60491884,174.7053464,-36.8734631
33,26106344,174.715564,-36.8840698
34,25979008,174.7510187,-36.8760011
34,26106110,174.7363238,-36.8933364
34,1376423160,174.7336232,-36.8973945
34,60498247,174.7598868,-36.8898928
35,60975551,174.7744314,-36.8934177
35,39036263,174.77673,-36.8879963
35,1336215818,174.7902623,-36.8927303
35,1324524645,174.7732892,-36.9002132
36,25977687,174.794243,-36.8905819
36,6210497023,174.8081177,-36.8963075
36,6280651936,174.7997125,-36.8877701
36,5967666689,174.8013116,-36.8864912
37,25776529,174.7772042,-36.8754606
37,2155899884,174.7774293,-36.8702233
37,25977791,174.7763805,-36.8787897
37,25953703,174.7839082,-36.8791042
38,25885709,174.8026445,-36.8812081
38,5799439302,174.8069221,-36.8671108
38,6210612291,174.8082653,-36.8823829
38,25885695,174.7981621,-36.8807208
39,5718326937,174.844837,-36.8974434
39,5918558850,174.8272163,-36.8758388
39,1738899092,174.8479879,-36.8978667
39,388052908,174.8482946,-36.8681483
40,25884184,174.8534423,-36.8934446
40,3337444409,174.8542088,-36.8777843
40,1312686264,174.8567329,-36.8779373
40,1308947955,174.8664366,-36.8783892
41,5177862319,174.9004558,-36.9001035
41,51231982,174.9087886,-36.8896472
41,5718686478,174.9063898,-36.8980681
41,957739060,174.90566,-36.8999541
42,59826002,174.6300002,-36.8568665
42,292231368,174.6175168,-36.8373399
42,6224866534,174.6249042,-36.8442371
42,6224665193,174.6467971,-36.8315843
43,59934604,174.6650962,-36.8641885
43,59825741,174.6516089,-36.8556511
43,59934496,174.651523,-36.8596223
43,59933301,174.652134,-36.8574377
44,25842391,174.7053053,-36.863854
44,457891994,174.7199502,-36.8556381
44,6235381619,174.7301278,-36.8483521
