Origin,Destination,Demand,TT,TTobs,FFTT,Fitness:,9.926039415,Total Demand:,385066.6668,TSTT:,91092.59519
0,15,71.78249415,12.21282573,12.12206638,6.6031368,,,,,,
0,69,3.000638858,44.10681434,35.84001119,21.980407,,,,,,
0,31,7.845724299,29.35597568,24.22148227,18.55414495,,,,,,
0,32,14.29689229,20.38847196,15.51588652,12.79549075,,,,,,
0,49,28.55283742,30.16573869,29.1081338,15.55532845,,,,,,
0,68,2.699150647,48.38226023,41.82582068,24.1561804,,,,,,
0,11,3.412202672,33.77440057,29.97018223,21.70655329,,,,,,
0,71,11.31178862,44.25339069,37.22947983,24.75078115,,,,,,
0,23,78.42660999,12.97086992,8.913300638,6.3511726,,,,,,
0,33,12.61504346,21.36480566,16.93513236,12.005317,,,,,,
0,70,10.53273374,40.1070043,34.39803454,25.36174812,,,,,,
0,30,50.58464579,25.3072624,24.76775216,12.86882225,,,,,,
0,65,0,41.79834183,34.0771338,21.5720176,,,,,,
0,51,1.247628941,34.44993053,27.89101325,17.252905,,,,,,
0,34,27.65975369,18.54491323,14.20746659,9.696976,,,,,,
0,7,39.24077333,9.881080287,10.03265775,6.4364332,,,,,,
0,64,12.32171704,46.99342375,38.98801475,24.5285062,,,,,,
0,67,12.56133517,43.2264418,34.86025682,22.2534346,,,,,,
0,22,12.15202236,15.43581766,11.46258087,8.514283,,,,,,
0,50,26.24531931,28.00757661,27.06173177,15.7332274,,,,,,
0,35,7.288188953,18.10721253,15.89593298,9.3103978,,,,,,
0,66,4.269697011,44.08622565,36.54319247,22.195914,,,,,,
0,5,175.2168658,6.236108817,6.925157509,4.2058368,,,,,,
0,77,9.487279489,54.24878518,46.14200598,30.0431178,,,,,,
0,29,26.6846187,21.23061866,20.58227211,11.2684018,,,,,,
0,14,22.32465628,5.311557137,3.513585085,1.866762,,,,,,
0,76,10.10646669,49.36510729,42.61671964,27.2204328,,,,,,
0,36,1088.964276,23.75158198,22.82270716,12.267283,,,,,,
0,21,18.05809537,22.6420338,21.4644834,13.4937778,,,,,,
0,10,2.273392359,13.03437198,12.30476397,7.5839956,,,,,,
0,37,47.76169228,23.4471449,22.95640561,12.0123046,,,,,,
0,52,18.65732978,32.36918038,26.8712746,16.50832675,,,,,,
0,28,41.88893518,19.95041668,20.11461606,9.7005372,,,,,,
0,73,10.57016825,47.22954226,39.48207983,25.024105,,,,,,
0,72,10.27806671,45.11199189,37.91966161,26.2427893,,,,,,
0,55,46.41473388,36.18979729,34.62565569,19.0098951,,,,,,
0,38,6.818799538,28.0996154,27.68572616,13.641403,,,,,,
0,75,9.858523509,50.50870234,43.16050103,28.32498085,,,,,,
0,20,29.16796074,31.10578652,30.21742675,18.1972246,,,,,,
0,74,0.387905601,46.0569525,36.51414718,23.6733712,,,,,,
0,54,1.439107579,31.42775879,30.12741064,15.1357822,,,,,,
0,39,35.69276695,24.67624001,26.52260828,12.6016596,,,,,,
0,40,17.12581955,28.42001185,27.62056855,13.7044968,,,,,,
0,57,6.306983589,27.75343368,23.86416295,18.89966245,,,,,,
0,3,1094.103413,6.056903465,6.085018507,4.4524056,,,,,,
0,13,587.5628759,4.957156727,5.18673108,3.1169058,,,,,,
0,27,46.2554099,18.6780026,17.35902625,9.6571908,,,,,,
0,2,1408.793553,5.282740493,7.058666834,3.84978725,,,,,,
0,41,1.120525882,31.07373737,29.98792293,16.2715148,,,,,,
0,56,1.496204981,34.83027441,35.29899133,18.8886384,,,,,,
