origin,destination,TT,FFTT,Average Trip Length
48,3,8.88956351107731,5.7735536,6972.87925
48,4,6.262195986865405,5.315861485714285,5271.42675
48,6,15.943183989425473,11.824354199999998,10525.38675
48,8,11.863207706520056,8.068192799999998,7456.576249999999
48,10,17.195118406540725,8.7267168,8741.93
48,12,28.905469056012798,20.572295600000004,11678.341500000002
48,14,15.322913804267245,11.154217971428572,11549.297999999997
48,16,4.266334053725619,2.8270128,3595.316750000001
48,18,3.3124072400582834,2.4278051999999994,2669.0107500000004
48,20,4.2771888724497655,2.9120530000000002,3092.4767500000007
48,22,10.244197623451354,6.1284084,5905.17525
48,24,11.393135007163048,7.186088399999999,6975.8035
48,27,36.97844705516649,19.817558000000002,15323.55325
48,28,14.195476873186491,10.66108205714286,11579.612000000001
48,30,13.444513386721642,9.669658971428571,10064.738999999998
48,32,10.005832748532276,6.5880084,6773.711
48,34,8.700882498413826,5.2243032,4828.64825
48,36,3.735022020358809,2.8299131999999996,3385.1962500000004
48,38,8.26619818733407,5.0925408,5134.10125
48,40,5.806955331471949,3.4008456,3291.810749999999
48,42,0.7906907402678188,0.609816,1748.2050000000002
48,44,2.0547376013916923,1.3472003999999997,1768.50675
48,46,2.238088636950328,1.8627131999999997,1786.4809999999998
48,50,1.9818194074150945,1.0825763999999998,1697.887
48,52,6.727960315549357,3.5199587999999995,3920.6955
48,56,29.299547262053764,14.719676199999999,11505.093249999998
48,59,38.612394279083134,21.402337000000003,15695.64125
48,61,15.99294228115205,12.086876,9729.988
48,63,10.851027678664021,5.948401199999998,5412.469249999999
48,65,7.397039599550498,4.214735999999999,3877.4072499999997
48,67,1.4695051652565196,0.9665868,2065.032
48,69,1.15329786683166,0.6525733999999997,1533.4045
48,71,5.600240831390085,2.5182709999999995,3006.557500000001
48,73,6.4912810002624965,2.761472599999999,3235.72075
48,75,3.004970266380272,1.2642014,2117.71
48,77,20.192672510173022,4.2272498,5347.2665
48,80,25.397121671580763,10.9544858,9601.699249999998
48,82,30.821667727158722,14.507806000000002,12720.01125
48,84,45.36869449463992,28.155142,19097.21125
48,86,21.821503797461084,13.4724756,12429.226499999999
48,88,18.375377127209358,10.033439999999997,9563.3635
48,89,9.9899498556718,5.9361863,5847.1845
48,91,8.522750152541217,4.4468198,4494.5705
48,93,13.125962302770555,6.244712599999999,6504.734
48,95,13.031336695118,7.1252569999999995,8213.713749999999
48,97,12.663523118023653,6.7904294,7583.23925
48,99,12.4387163682014,6.778347399999999,6798.26275
48,101,15.760357169912634,8.652418599999999,8359.988749999999
48,103,13.533842116963426,7.860994999999999,8351.81875
48,105,15.2834893670995,8.9264566,9181.447
48,107,18.3865497696074,10.924086599999999,10170.2
48,110,17.799330749606327,11.469815485714287,11746.786750000003
48,111,14.789885018705272,8.6272032,9349.505750000002
48,113,14.434589730229918,8.3926272,9075.833750000002
48,116,26.95167450935365,17.245064428571432,14280.273999999998
48,117,26.234466338245998,19.410340714285713,19305.04675
48,119,22.450131064628486,15.638218714285713,15613.282749999998
50,0,13.934728085153319,10.051587399999997,9751.202249999998
50,3,10.034915626011408,7.8042848,8944.5075
50,4,7.204509811858295,6.193309885714285,6683.539500000001
50,6,15.280676544044692,11.297183399999998,10800.57375
50,8,9.364094582898675,5.9449331999999995,5850.975999999999
50,10,12.652376993943424,6.603457199999999,6755.31925
50,12,24.18529605784304,17.344246200000008,9546.532250000002
50,14,18.92816809087839,13.568879571428571,13617.100999999999
50,16,7.846863823718499,4.857744,6192.129999999999
50,18,4.254721065051173,3.3052536,4081.1234999999997
50,20,3.3787731797660423,1.7732195999999998,2216.7830000000004
50,22,6.727007686111584,4.0051488,4229.72375
50,24,6.152830342189207,4.800133199999999,4843.99425
50,27,32.25827405699674,19.140633400000002,13448.625249999997
50,28,17.800731159797632,13.075743657142858,13647.414999999999
50,30,17.049767673332788,12.08432057142857,12132.542
