From,To,Volume,EstimatedTT
442874,26384674,3174.01,1.69
442928,1803689295,0.0,0.03
26384674,264670999,1073.81,1.14
26384674,534589,2100.2,1.5
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,1166.2,1.33
15866840,1803689315,3309.03,1.87
264670999,534589,716.85,0.48
534589,534591,2817.05,0.52
534591,534626,2148.44,0.75
8083440,534911,2057.96,0.05
534626,534624,136.58,0.07
534626,534625,2011.87,0.09
534608,30409417,1903.9,0.94
30436919,30436908,1593.62,1.32
30409417,30409422,546.45,0.02
30409417,30403571,3633.09,0.41
534624,534608,1566.11,1.28
534625,30436908,2108.1,0.02
534625,534624,1429.53,0.08
30436908,30436907,2084.96,0.02
30436908,534628,1520.43,0.58
534628,534629,2132.61,0.31
534629,3595409680,2738.37,0.87
11769656,11769730,1697.07,0.23
3595409680,3855350,1941.45,0.01
3595409680,7128283652,807.59,0.05
3160432771,30409397,675.95,0.19
30409405,30409419,1379.8,0.73
534736,140605768,2666.46,0.27
534306820,2021890013,2240.02,0.2
140605768,534324288,2666.46,0.95
534329195,2021890013,1647.59,0.03
534329195,534306820,2666.46,0.58
3853550,3564765835,597.4,0.45
534742,534770,2666.78,0.74
534770,29138173,3595.05,0.16
534743,534744,750.93,0.1
534744,534747,3162.41,0.08
247994358,534742,1170.14,0.12
534747,277692998,97.33,0.01
534747,2287846802,3065.09,0.5
277692998,288154283,2664.99,0.1
2287846802,29510418,0.0,0.04
2287846802,2287846804,3065.09,0.6
534749,25235133,3489.4,0.37
534749,7095690293,974.83,1.5
25235133,25235132,1487.22,0.02
25235133,534751,2084.06,2.01
7095690293,7095690318,2251.9,0.04
534751,534754,887.32,1.08
534754,3098430373,1583.09,0.26
29510455,25235132,2301.58,1.07
3098430373,16574394,1238.88,0.1
3098430373,2260849842,1458.52,1.83
534758,25873172,2315.06,0.06
534758,2202559858,1876.17,0.68
25873172,25873173,3310.08,0.03
25873172,3100041009,1309.59,0.79
2202559858,25873172,2304.62,0.75
534769,546378258,1946.4,0.62
534769,534770,928.27,0.04
546378258,247994363,1098.95,0.06
546378258,290077155,847.46,0.24
29138173,1775338888,312.33,0.09
29138173,534773,3282.72,1.19
534773,2544089666,3535.65,0.05
534773,335716508,1417.72,0.37
2544089666,2544089665,2393.0,0.09
2544089666,16574602,1142.65,0.05
335716508,534799,1417.72,0.55
534774,534804,671.11,0.15
244038933,534778,1142.65,0.09
534804,18630111,3895.33,1.26
534804,16574613,467.0,0.05
534778,244038915,1698.58,0.03
534778,30058360,1875.24,0.32
244038915,534787,2426.3,0.41
244038915,244038942,1484.73,0.08
30058360,30056676,1961.5,1.16
30058360,30056684,961.0,0.02
534787,244038955,1009.25,0.08
534787,244038923,1417.05,0.43
244038955,244038925,1439.43,0.05
244038955,2072816,1116.42,0.61
244038923,244038955,1546.59,0.11
534790,30261537,1082.33,0.04
534790,30409389,2261.35,0.06
30261537,30409389,930.63,0.07
30409389,30409397,2608.65,0.11
30409389,3160432771,583.32,0.2
534796,534790,1164.25,0.05
534796,3160432775,1571.02,0.78
3160432775,534790,2179.43,0.28
534799,1501721437,574.13,0.02
534799,11769597,1594.1,0.44
1501721437,18630516,1736.68,0.02
1501721437,2071676,779.29,0.33
11769597,7128283648,1904.25,0.03
11769597,3595409680,10.67,0.02
18630111,280008666,3060.21,0.07
18630111,35711189,2181.01,1.03
16574613,534773,2677.65,0.06
16574613,16574619,866.01,0.19
534806,280008531,2708.33,0.02
534806,2287864441,3735.43,0.58
280008531,18630070,1112.13,0.04
280008531,31197353,1596.21,0.07
2287864441,280221322,1167.75,0.13
2287864441,24969587,2567.68,0.08
24669567,976932104,977.75,0.2
1854526402,27318980,922.68,0.06
27318980,27318981,934.88,0.08
534908,534911,579.43,0.05
534911,534914,2637.38,0.56
3853544,15511907,743.39,0.45
534914,442936,494.55,0.45
534914,15866840,2142.83,1.68
