From,To,Demand,TT,Distance
21133789,5986873669,,0.7323202051282051,975
21133789,642942771,,0.4461521573604061,394
639121786,21133789,,0.11628279569892473,124
5986873669,2229425413,,0.29963931818181816,440
7943163357,5986873669,,0.11499959839357429,83
642942771,638968084,,0.1099274114057733,12783
642942821,642942771,,0.6278786269430051,3860
21162710,267369795,,0.8737214563862928,2568
21162710,1014768766,,0.6494046627810158,1201
1014766460,21162710,,0.7819862415323523,1427
267369795,267369798,,0.867392864424057,654
1014766449,267369795,,0.37110288065843616,243
1014768766,1626870976,,0.11668016975308643,216
1625545290,1014768766,,0.3089820004086417,30997
21162918,1014766460,,0.6645831942125765,1198
1202779615,21162918,,0.44867261029411765,816
1202789747,21162918,,0.6383924620805884,6527
7634022362,1014766460,,2.65727265625,448
21163317,1036688016,,1.1851662171690462,1891
7862276783,21163317,,0.2493233496332518,409
282933035,21163317,,1.0680775330396477,1816
1036688016,1036687950,,0.3005698113207547,477
1036688016,2317090490,,1.1163507609668755,1117
21164262,91067036,,1.140188769414576,279
346176398,21164262,,0.3126240558292283,203
91067052,21164262,,0.2130277777777778,81
91067036,31473922,,0.06383687943262412,47
31473916,91067036,,0.17788636363636362,121
21164284,5986873668,,0.2899023737373737,330
642942821,21164284,,0.2356443262411348,282
5742312137,21164284,,0.4998561643835616,365
5986873668,7943163357,,1.0817712053571427,448
5986873668,5986873650,,0.3513210982658959,173
26386386,92554467,,0.04181523809523809,420
26386386,261304935,,0.082925,50
5774073727,26386386,,0.017996969696969695,11
261304921,26386386,,0.3298150826446281,484
92554467,261304904,,0.510896909090909,550
92554467,4902302649,,0.12462916666666668,12
261304889,92554467,,0.8353362869198313,79
261304935,261304817,,0.17881727828746175,109
261304921,261304935,,0.16012962962962962,81
26386402,91777306,,0.045412121212121216,11
91782925,26386402,,0.04084583333333334,8
2169693469,26386402,,0.34042635658914727,43
91777306,2169693438,,0.09724528301886792,53
91777306,91782924,,0.020783333333333334,8
4931131477,91777306,,0.1764230769230769,26
26422224,6461936731,,0.7552732815964522,451
26422233,26422224,,0.18616708322597267,3881
3054891768,26422224,,0.08007011752938235,2666
6461936731,8350116979,,0.04835666666666667,45
6461936731,5808011725,,0.10347239819004524,2431
26422233,91559822,,0.09070299018283348,3701
5808011725,26422233,,1.4028532724505327,657
91559822,261304821,,0.8285696950171821,776
3054891768,91559822,,0.155138213998391,2486
26422509,266559108,,0.029344190268700072,1377
26422509,91507733,,0.4844939036381515,339
92515214,26422509,,0.02626842105263158,19
266559108,266559109,,0.016764444444444443,15
266559108,4919454373,,0.13520242424242426,55
91507767,266559108,,0.6374723837209303,172
91507733,91507740,,0.2005714285714286,70
91507733,1024942124,,0.6404224470134875,173
26447900,4943186750,,0.029048611111111112,24
4016797417,26447900,,0.3577552511415525,657
1139701588,26447900,,0.31794512411347514,188
4943186750,4016797453,,0.6184100415923945,561
4943186754,4943186750,,0.16529959349593495,41
26448290,2813314369,,0.21531063218390806,116
91767774,26448290,,0.3882775203057812,2093
476282215,26448290,,0.18291449864498643,123
2813314369,2813314364,,0.6506371951219512,164
2813314369,4942899578,,0.3084827586206896,87
26448341,95890507,,0.5687485175202156,371
91767788,26448341,,0.1714205673758865,94
476281930,26448341,,0.07729545454545454,55
95890507,3051015903,,0.18580416666666666,44
95890507,2813234393,,0.16121052631578947,57
31005214,91567796,,0.10101388888888888,42
31005214,6948561523,,1.3026503603603603,1110
4471849211,31005214,,0.028228888888888887,15
91567796,91565626,,0.024756410256410254,13
91567794,91567796,,0.0936128101557992,3466
6948561523,6948561525,,0.7145954753722795,291
6948561523,4878996098,,0.7562395561987458,691
31005223,91565648,,0.10011296296296297,54
31005223,91565687,,0.11673611111111111,1848
91565638,31005223,,0.0209,6
91565648,91565651,,0.011207407407407407,9
261304918,91565648,,1.9748433395291203,538
91565687,261304921,,1.3212365145228215,482
91565695,91565687,,0.3806532212885154,119
31203518,262991367,,0.057251354757403915,1058
31203518,1050212529,,0.12955390291498964,2733
54043141,31203518,,0.03786207766011094,2644
262098290,31203518,,0.1822150234741784,1065
262991367,262991368,,0.3340580952380952,35
262991367,262098224,,0.3256785,100
262098253,262991367,,0.9947701149425288,87
1050212529,31309234,,0.06734074074074074,45
262098290,1050212529,,0.4382289085545723,113
31264113,1065944980,,0.11220270833333333,80
31264113,3453617080,,0.03912857142857143,28
4444655802,31264113,,0.062470093457943916,107
4444655797,31264113,,0.9364046762589927,139
1065944980,2571195560,,0.16506613756613758,126
1065944944,1065944980,,0.6970571666666667,200
3453617080,92593693,,0.03978235294117648,17
3453617080,6545989472,,0.09564893617021275,94
4726768161,3453617080,,0.7243640350877193,228
31309234,1766030985,,0.03329523809523809,21
31309234,6928155430,,0.6558077519379845,172
1766030985,1766030992,,0.24985416666666665,108
1766030985,266557898,,0.4310424418604651,86
6928155430,266557898,,0.018353846153846155,13
6928155430,6553679976,,0.0054,0
266557897,6928155430,,0.01997771336553945,1035
31326164,4724857870,,1.6869228105906313,491
1066672623,31326164,,0.8840219727891155,245
2488059153,31326164,,0.2978645833333334,24
4724857870,2142569350,,0.20218750000000002,80
4724857870,6546006018,,1.3757305263157895,190
31348585,92641862,,1.475089595959596,495
91067138,31348585,,0.5018005188496992,6039
91049614,31348585,,1.0753461263674926,4479
92641862,92641878,,0.46937393162393165,156
92641862,92641745,,0.5976545454545454,77
31349053,2813266617,,0.7346179761904761,560
2144990233,31349053,,0.8909962301587301,252
2145008365,31349053,,0.06547058823529411,51
2813266617,91726725,,0.09726944444444446,36
