From,To,Volume,EstimatedTT
442874,26384674,2539.47,1.0
442928,1803689295,0.0,0.03
26384674,264670999,861.77,0.67
26384674,534589,1677.7,0.9
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,891.78,0.66
15866840,1803689315,2661.29,1.08
264670999,534589,488.02,0.36
534589,534591,2165.71,0.42
534591,534626,1724.86,0.69
8083440,534911,1724.13,0.04
534626,534624,20.42,0.07
534626,534625,1704.44,0.08
534608,30409417,1525.03,0.89
30436919,30436908,1204.64,1.31
30409417,30409422,498.45,0.02
30409417,30403571,2890.33,0.27
534624,534608,1112.36,1.24
534625,30436908,1733.15,0.02
534625,534624,1091.94,0.07
30436908,30436907,1739.32,0.02
30436908,534628,1169.28,0.44
534628,534629,1707.62,0.25
534629,3595409680,2055.23,0.7
11769656,11769730,1309.13,0.21
3595409680,3855350,1541.34,0.01
3595409680,7128283652,513.89,0.05
3160432771,30409397,562.19,0.17
30409405,30409419,1211.08,0.72
534736,140605768,2275.32,0.19
534306820,2021890013,1866.11,0.19
140605768,534324288,2275.32,0.66
534329195,2021890013,1330.52,0.02
534329195,534306820,2275.32,0.4
3853550,3564765835,479.23,0.42
534742,534770,2167.0,0.63
534770,29138173,3044.97,0.12
534743,534744,624.3,0.08
534744,534747,2627.92,0.06
247994358,534742,953.69,0.08
534747,277692998,115.12,0.01
534747,2287846802,2512.81,0.4
277692998,288154283,2323.29,0.09
2287846802,29510418,2.04,0.04
2287846802,2287846804,2510.77,0.3
534749,25235133,2858.61,0.18
534749,7095690293,688.24,0.92
25235133,25235132,1190.77,0.01
25235133,534751,1701.47,1.25
7095690293,7095690318,1729.86,0.02
534751,534754,847.32,0.98
534754,3098430373,1309.23,0.2
29510455,25235132,1795.22,0.81
3098430373,16574394,989.24,0.05
3098430373,2260849842,1324.02,1.31
534758,25873172,1886.98,0.04
534758,2202559858,1609.78,0.65
25873172,25873173,2729.47,0.02
25873172,3100041009,1115.34,0.5
2202559858,25873172,1957.84,0.69
534769,546378258,1703.48,0.6
534769,534770,877.97,0.04
546378258,247994363,1077.31,0.06
546378258,290077155,626.17,0.24
29138173,1775338888,307.13,0.09
29138173,534773,2737.84,0.9
534773,2544089666,3215.47,0.04
534773,335716508,1111.18,0.3
2544089666,2544089665,2216.71,0.07
2544089666,16574602,998.76,0.04
335716508,534799,1111.18,0.52
534774,534804,510.0,0.15
244038933,534778,971.42,0.09
534804,18630111,3404.32,0.94
534804,16574613,367.4,0.05
534778,244038915,1434.48,0.02
534778,30058360,1588.25,0.27
244038915,534787,2147.15,0.32
244038915,244038942,1131.72,0.04
30058360,30056676,1721.87,0.99
30058360,30056684,754.84,0.02
534787,244038955,888.4,0.06
534787,244038923,1258.75,0.31
244038955,244038925,1307.73,0.05
244038955,2072816,935.75,0.46
244038923,244038955,1355.08,0.1
534790,30261537,924.2,0.04
534790,30409389,1931.12,0.05
30261537,30409389,680.44,0.05
30409389,30409397,2217.66,0.08
30409389,3160432771,393.9,0.18
534796,534790,1002.89,0.05
534796,3160432775,1406.56,0.56
3160432775,534790,1852.44,0.21
534799,1501721437,377.14,0.02
534799,11769597,1250.24,0.43
1501721437,18630516,1371.77,0.01
1501721437,2071676,546.72,0.32
11769597,7128283648,1538.73,0.02
11769597,3595409680,0.0,0.02
18630111,280008666,2769.91,0.05
18630111,35711189,1630.25,0.93
16574613,534773,2282.21,0.05
16574613,16574619,666.3,0.16
534806,280008531,2017.15,0.02
