From,To,Volume,EstimatedTT
442874,26384674,1669.87,0.61
442928,1803689295,0.0,0.03
26384674,264670999,493.16,0.38
26384674,534589,1176.71,0.58
1803689298,1803689295,0.0,0.04
1803689295,139470345,0.0,0.59
442936,15866840,398.86,0.33
15866840,1803689315,1664.07,0.6
264670999,534589,245.75,0.33
534589,534591,1422.46,0.38
534591,534626,1268.77,0.66
8083440,534911,1299.58,0.04
534626,534624,0.0,0.07
534626,534625,1268.77,0.08
534608,30409417,1073.45,0.87
30436919,30436908,795.78,1.3
30409417,30409422,457.38,0.02
30409417,30403571,2015.76,0.2
534624,534608,764.29,1.23
534625,30436908,1268.77,0.02
534625,534624,764.29,0.07
30436908,30436907,1310.18,0.02
30436908,534628,754.38,0.38
534628,534629,1007.5,0.22
534629,3595409680,1260.6,0.64
11769656,11769730,815.55,0.19
3595409680,3855350,1062.63,0.01
3595409680,7128283652,197.98,0.04
3160432771,30409397,347.09,0.15
30409405,30409419,946.0,0.72
534736,140605768,1785.32,0.13
534306820,2021890013,1473.2,0.19
140605768,534324288,1785.32,0.45
534329195,2021890013,789.79,0.02
534329195,534306820,1785.32,0.27
3853550,3564765835,257.99,0.4
534742,534770,1309.18,0.55
534770,29138173,2259.28,0.08
534743,534744,568.85,0.07
534744,534747,1958.78,0.05
247994358,534742,608.84,0.06
534747,277692998,154.15,0.01
534747,2287846802,1804.63,0.33
277692998,288154283,1734.64,0.08
2287846802,29510418,0.0,0.04
2287846802,2287846804,1804.63,0.12
534749,25235133,2238.5,0.08
534749,7095690293,336.87,0.74
25235133,25235132,903.11,0.01
25235133,534751,1335.39,0.88
7095690293,7095690318,935.09,0.01
534751,534754,814.87,0.91
534754,3098430373,833.35,0.16
29510455,25235132,1139.41,0.69
3098430373,16574394,522.43,0.02
3098430373,2260849842,1137.42,0.8
534758,25873172,1270.27,0.03
534758,2202559858,1362.48,0.63
25873172,25873173,1929.34,0.02
25873172,3100041009,855.09,0.29
2202559858,25873172,1514.17,0.64
534769,546378258,1303.96,0.57
534769,534770,950.1,0.04
546378258,247994363,858.3,0.05
546378258,290077155,445.66,0.24
29138173,1775338888,274.68,0.09
29138173,534773,1984.6,0.7
534773,2544089666,2605.83,0.03
534773,335716508,722.09,0.27
2544089666,2544089665,1934.83,0.06
2544089666,16574602,671.0,0.03
335716508,534799,722.09,0.5
534774,534804,446.77,0.15
244038933,534778,671.0,0.08
534804,18630111,2856.06,0.71
534804,16574613,238.11,0.05
534778,244038915,1097.63,0.02
534778,30058360,1006.52,0.23
244038915,534787,1685.06,0.23
244038915,244038942,643.63,0.02
30058360,30056676,1219.66,0.8
30058360,30056684,458.96,0.02
534787,244038955,602.26,0.05
534787,244038923,1082.8,0.23
244038955,244038925,998.05,0.05
244038955,2072816,602.26,0.34
244038923,244038955,998.05,0.09
534790,30261537,632.67,0.04
534790,30409389,1454.93,0.03
30261537,30409389,447.62,0.05
30409389,30409397,1682.96,0.05
30409389,3160432771,219.59,0.18
534796,534790,673.8,0.05
534796,3160432775,1133.13,0.33
3160432775,534790,1413.8,0.17
534799,1501721437,241.15,0.02
534799,11769597,818.61,0.43
1501721437,18630516,959.04,0.01
1501721437,2071676,344.74,0.32
11769597,7128283648,995.94,0.01
11769597,3595409680,0.0,0.02
18630111,280008666,2206.16,0.04
18630111,35711189,1115.68,0.89
16574613,534773,1678.2,0.04
16574613,16574619,294.59,0.14
534806,280008531,1005.96,0.02
534806,2287864441,2520.5,0.32
280008531,18630070,339.85,0.03
280008531,31197353,666.11,0.04
2287864441,280221322,848.63,0.08
2287864441,24969587,1671.87,0.05
24669567,976932104,486.64,0.1
1854526402,27318980,620.82,0.04
27318980,27318981,762.12,0.06
534908,534911,81.22,0.05
534911,534914,1380.81,0.29
3853544,15511907,474.14,0.35
534914,442936,115.6,0.41
534914,15866840,1265.21,0.65
30409415,30409424,834.86,0.05
536575,30409422,2115.13,0.17
30403571,10919767,1715.77,0.43
30409422,30409424,1800.42,0.01
30409422,30409415,772.09,0.07
536584,30587893,799.33,1.21
30587893,1619208224,722.41,0.45
536652,25479302,1469.79,1.35
536652,18629762,911.51,0.05
25479302,18627237,1193.45,1.25
25479302,28796755,834.84,0.06
18629762,264218470,1233.72,0.19
18629762,264223496,1428.02,0.02
25599929,2526224454,761.92,0.09
264218470,264223496,747.33,0.18
3899207524,309517759,1331.04,0.01
536663,21527849,2223.77,0.1
536663,536667,1518.66,2.11
21527849,2297622,1620.53,0.01
21527849,21552197,1734.95,0.14
21647397,2297615,1418.03,0.14
21647058,1632149359,293.61,0.28
536670,24945363,244.01,0.02
536670,2075220,2920.97,0.49
24945363,21660961,2373.38,0.01
2075220,25096430,2660.72,0.03
2075220,3869392962,839.19,0.4
344434421,10919786,871.3,0.22
1630023963,311941598,1254.84,0.24
3100041009,25873173,702.77,0.23
31296012,3148489413,678.95,0.12
536675,3148489416,975.99,0.17
3148489416,3148489413,221.32,0.02
3148489416,31296012,931.69,0.14
248219433,248219482,303.34,0.38
2071674,518252065,253.12,0.04
518252065,29348253,253.12,0.24
11769758,3853550,270.0,0.81
534316145,518252065,0.0,0.05
2071676,18178669,1564.39,0.78
18178669,534743,174.47,0.05
18178669,534744,1389.93,0.07
7101166877,16574525,752.6,0.15
2287857538,5824956622,775.27,0.05
2274921120,206133365,673.16,1.85
2072802,30151417,618.59,1.76
316507154,316507156,519.74,0.28
30151417,30151418,1402.6,0.03
2072807,1485594848,363.06,0.01
2072807,1485594778,771.72,0.11
1485594848,159725096,200.72,0.02
1485594848,11007703,887.31,0.55
1485594778,1485594848,724.97,0.08
2072816,244038925,621.98,0.39
244038925,244038942,1620.04,0.22
2075215,25755498,567.28,0.02
2075215,2039066667,1874.66,3.37
25755498,25755497,1540.29,0.02
25755498,25755500,285.18,0.05
2039066667,25755506,1778.47,2.7
25096430,25096432,1270.34,0.02
25096430,10919799,2352.02,0.37
3869392962,25096430,961.64,0.31
21540856,21647397,898.35,0.14
2297619,3790101104,1131.71,1.95
3790101104,21552197,0.0,0.12
3790101104,21527849,1131.71,0.08
2297622,21552199,1237.79,0.03
2297622,21527762,1309.29,0.07
21552199,21552200,1718.14,0.36
21527762,536663,2277.1,0.02
21527762,3146686054,1022.92,0.27
3411653,113794494,17.8,0.07
26165869,262185367,765.72,0.06
113794494,15618026,25.93,0.02
113794494,26291274,1349.83,0.24
3411658,15618078,822.99,0.15
3411658,25622663,1561.85,0.17
15618078,3030258494,822.99,0.08
15618078,25622151,1226.87,0.04
25622663,25622670,1561.85,0.74
15511907,2071674,336.72,0.83
3855350,11769597,177.33,0.02
3855350,1501721437,1062.63,0.43
9100179,3137684026,616.81,0.63
3137684026,3137684031,587.6,0.21
3137684031,3137684026,475.27,0.19
9100190,9982673425,59.94,0.05
9982673432,2970916246,100.7,0.04
9982673425,9100190,100.7,0.05
10919218,8224298741,904.6,0.01
8224298741,346633166,0.0,0.02
8224298741,346633485,904.6,0.15
10919223,11008027,1160.32,0.55
25740441,25740442,574.85,0.11
11008027,2075215,1929.38,0.02
11008027,11008006,525.69,0.24
86684589,3121844724,48.75,0.05
10919237,10919235,0.0,0.06
10919237,10919238,525.69,0.06
10919238,10049596107,548.59,0.07
