gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,ref,highway,nodeID,geometry,lanecapacity
3,20,None,None,False,3839.046,27,4846366266,22.2485716,114.1619115,3,114.1619115,22.2485716,1A,motorway_junction,1393,POINT (114.1619115 22.2485716),8400.0
3,21,None,None,False,8665.969,29,597665431,22.249948,114.1764217,3,114.1764217,22.249948,4,motorway_junction,1618,POINT (114.1764217 22.249948),14000.0
3,21,None,None,False,8665.969,29,5035465444,22.2538476,114.1855412,3,114.1855412,22.2538476,,,2611,POINT (114.1855412 22.2538476),4200.0
3,21,None,None,False,8665.969,29,8827659852,22.2476169,114.1766706,3,114.1766706,22.2476169,,,1399,POINT (114.1766706 22.2476169),4900.0
3,21,None,None,False,8665.969,29,1683191950,22.24604,114.18561,3,114.18561,22.24604,,,1398,POINT (114.18561 22.24604),4000.0
3,22,None,None,False,3454.8180000000007,31,1071364113,22.2568108,114.1932766,3,114.1932766,22.2568108,,,2081,POINT (114.1932766 22.2568108),4900.0
3,22,None,None,False,3454.8180000000007,31,1683192365,22.2572937,114.1924448,3,114.1924448,22.2572937,,,2616,POINT (114.1924448 22.2572937),4200.0
3,24,None,None,False,12774.302999999998,33,6435551380,22.2571536,114.228206,3,114.228206,22.2571536,,,75,POINT (114.228206 22.2571536),4200.0
3,24,None,None,False,12774.302999999998,33,517238708,22.2563949,114.230057,3,114.230057,22.2563949,,,76,POINT (114.230057 22.2563949),3600.0
4,9,None,None,False,9677.390000000001,35,564616793,22.2650212,114.0004074,3,114.0004074,22.2650212,,,4917,POINT (114.0004074 22.2650212),4200.0
4,9,None,None,False,9677.390000000001,35,3812289304,22.2668373,113.9970804,2,113.9970804,22.2668373,,,5063,POINT (113.9970804 22.2668373),3600.0
4,9,None,None,False,9677.390000000001,35,529140407,22.263603,114.0019949,3,114.0019949,22.263603,,,4906,POINT (114.0019949 22.263603),3600.0
4,9,None,None,False,9677.390000000001,35,7122751651,22.2606434,114.0057974,1,114.0057974,22.2606434,,,5438,POINT (114.0057974 22.2606434),1200.0
4,17,None,None,False,9914.026,37,293129472,22.2704809,114.1297697,3,114.1297697,22.2704809,,,4642,POINT (114.1297697 22.2704809),5400.0
4,17,None,None,False,9914.026,37,474174230,22.2620014,114.1292496,1,114.1292496,22.2620014,,,4850,POINT (114.1292496 22.2620014),1200.0
4,17,None,None,False,9914.026,37,6720418135,22.268117,114.1271559,3,114.1271559,22.268117,,,4269,POINT (114.1271559 22.268117),4000.0
