highway,lanelength,proportion
primary,79042.215,0.07006608071866936
primary_link,824.7139999999999,0.0007310584311663922
secondary,683006.9119999998,0.6054437799801168
secondary_link,4336.832,0.003844335852370892
tertiary,360835.068,0.3198581795894074
tertiary_link,63.812,5.656542826918159e-05
