gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,highway,nodeID,geometry,lanecapacity
5,9,None,None,False,13567.696999999998,30,3097401999,38.2681841,26.097087,3,26.097087,38.2681841,,140,POINT (26.097087 38.2681841),4000.0
5,9,None,None,False,13567.696999999998,30,1338456985,38.2661847,26.0947032,3,26.0947032,38.2661847,,139,POINT (26.0947032 38.2661847),4000.0
6,6,None,None,False,24637.068000000003,33,1334565161,38.2971652,26.0123381,3,26.0123381,38.2971652,,99,POINT (26.0123381 38.2971652),4200.0
6,6,None,None,False,24637.068000000003,33,1336000140,38.2929902,26.0119513,3,26.0119513,38.2929902,,101,POINT (26.0119513 38.2929902),4000.0
6,6,None,None,False,24637.068000000003,33,1334565617,38.2987264,26.0082127,3,26.0082127,38.2987264,,108,POINT (26.0082127 38.2987264),4200.0
6,8,None,None,False,12174.525000000001,34,865589486,38.2912029,26.0743627,3,26.0743627,38.2912029,,6,POINT (26.0743627 38.2912029),4200.0
6,8,None,None,False,12174.525000000001,34,4045620602,38.2904473,26.0703271,3,26.0703271,38.2904473,,9,POINT (26.0703271 38.2904473),4200.0
6,8,None,None,False,12174.525000000001,34,4045640072,38.2879945,26.067175,3,26.067175,38.2879945,,12,POINT (26.067175 38.2879945),4200.0
6,9,None,None,False,25829.873000000003,35,4031800308,38.2927333,26.1039401,3,26.1039401,38.2927333,,124,POINT (26.1039401 38.2927333),4800.0
6,9,None,None,False,25829.873000000003,35,3097371617,38.2988517,26.0842815,3,26.0842815,38.2988517,,206,POINT (26.0842815 38.2988517),2600.0
6,9,None,None,False,25829.873000000003,35,1338456844,38.291056,26.1024116,3,26.1024116,38.291056,,121,POINT (26.1024116 38.291056),4600.0
6,9,None,None,False,25829.873000000003,35,3097383808,38.2877945,26.1026426,3,26.1026426,38.2877945,,122,POINT (26.1026426 38.2877945),4000.0
6,10,None,None,False,9033.032,36,3988867788,38.3058322,26.1348482,6,26.1348482,38.3058322,,368,POINT (26.1348482 38.3058322),8000.0
6,10,None,None,False,9033.032,36,7493203324,38.284987,26.1189853,1,26.1189853,38.284987,,142,POINT (26.1189853 38.284987),1200.0
6,10,None,None,False,9033.032,36,1338457008,38.3000063,26.1151287,3,26.1151287,38.3000063,,141,POINT (26.1151287 38.3000063),4800.0
6,10,None,None,False,9033.032,36,3410586942,38.3052208,26.1170726,3,26.1170726,38.3052208,,143,POINT (26.1170726 38.3052208),4800.0
6,11,None,None,False,4397.400000000001,38,1335061003,38.305877,26.1365559,3,26.1365559,38.305877,,113,POINT (26.1365559 38.305877),4200.0
6,11,None,None,False,4397.400000000001,38,1335060980,38.3016912,26.1487041,3,26.1487041,38.3016912,,59,POINT (26.1487041 38.3016912),2400.0
7,8,None,None,False,15323.176,41,3982817753,38.3233115,26.0704918,4,26.0704918,38.3233115,,340,POINT (26.0704918 38.3233115),5400.0
7,8,None,None,False,15323.176,41,3982824759,38.3230971,26.0782537,3,26.0782537,38.3230971,,346,POINT (26.0782537 38.3230971),4200.0
7,8,None,None,False,15323.176,41,3982816392,38.3173178,26.0571282,3,26.0571282,38.3173178,,104,POINT (26.0571282 38.3173178),4200.0
7,8,None,None,False,15323.176,41,4141357247,38.3260191,26.0776138,3,26.0776138,38.3260191,,107,POINT (26.0776138 38.3260191),3600.0
7,9,None,None,False,15068.689000000002,43,3982833158,38.3277072,26.087438,6,26.087438,38.3277072,,353,POINT (26.087438 38.3277072),8000.0
7,9,None,None,False,15068.689000000002,43,9784949173,38.3149884,26.0993941,3,26.0993941,38.3149884,,268,POINT (26.0993941 38.3149884),3600.0
7,9,None,None,False,15068.689000000002,43,3999647774,38.322049,26.1079171,3,26.1079171,38.322049,,95,POINT (26.1079171 38.322049),4200.0
7,10,None,None,False,26126.307,45,4256531766,38.3119866,26.11816,4,26.11816,38.3119866,,131,POINT (26.11816 38.3119866),7200.0
7,10,None,None,False,26126.307,45,1330605566,38.3104033,26.1315577,3,26.1315577,38.3104033,,63,POINT (26.1315577 38.3104033),4200.0
7,10,None,None,False,26126.307,45,1331315906,38.3175205,26.1251835,3,26.1251835,38.3175205,,22,POINT (26.1251835 38.3175205),5000.0
7,10,None,None,False,26126.307,45,3410586927,38.3077585,26.1146142,3,26.1146142,38.3077585,,279,POINT (26.1146142 38.3077585),2400.0
7,10,None,None,False,26126.307,45,1334516738,38.3222675,26.1093988,3,26.1093988,38.3222675,,17,POINT (26.1093988 38.3222675),4000.0
7,11,None,None,False,18451.528,47,9784060896,38.3192826,26.1473139,4,26.1473139,38.3192826,,366,POINT (26.1473139 38.3192826),5200.0
7,11,None,None,False,18451.528,47,1330605665,38.3225229,26.1365904,3,26.1365904,38.3225229,,80,POINT (26.1365904 38.3225229),4000.0
7,11,None,None,False,18451.528,47,1330605408,38.3269923,26.1546848,3,26.1546848,38.3269923,,61,POINT (26.1546848 38.3269923),3600.0
7,11,None,None,False,18451.528,47,1330604939,38.3193696,26.152242,3,26.152242,38.3193696,,58,POINT (26.152242 38.3193696),3600.0
7,11,None,None,False,18451.528,47,1330604921,38.3064526,26.1549406,3,26.1549406,38.3064526,,57,POINT (26.1549406 38.3064526),2400.0
8,5,None,None,False,13410.405,49,3984824680,38.3400379,26.000024,3,26.000024,38.3400379,,102,POINT (26.000024 38.3400379),4000.0
8,5,None,None,False,13410.405,49,1335060887,38.3408037,25.990423,1,25.990423,38.3408037,,110,POINT (25.990423 38.3408037),1200.0
8,9,None,None,False,20485.880000000005,50,3423433532,38.3315692,26.0982572,3,26.0982572,38.3315692,,267,POINT (26.0982572 38.3315692),4200.0
8,9,None,None,False,20485.880000000005,50,3982837980,38.3313756,26.0952786,3,26.0952786,38.3313756,,260,POINT (26.0952786 38.3313756),4000.0
8,10,None,None,False,5854.92,51,976675664,38.3342166,26.1325993,3,26.1325993,38.3342166,,16,POINT (26.1325993 38.3342166),5000.0
8,10,None,None,False,5854.92,51,976675665,38.3364173,26.1333939,3,26.1333939,38.3364173,,19,POINT (26.1333939 38.3364173),4800.0
