,Unnamed: 0,gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total,node_count,lane_length,percent_residential_roads_(by_length)
54,54,17,9,,,38.526167665,38.54814511,26.082298325,26.10914925,68200.0,18,33805.563999999984,None
55,55,5,10,,,38.262438325,38.28441577,26.10914925,26.136000175,1200.0,1,1454.5039999999983,None
56,56,6,10,,,38.28441577,38.306393215,26.10914925,26.136000175,46800.0,11,9033.032,None
57,57,7,10,,,38.306393215,38.32837066,26.10914925,26.136000175,224000.0,48,26126.307,None
58,58,8,10,,,38.32837066,38.350348105,26.10914925,26.136000175,9800.0,2,5854.92,None
59,59,9,10,,,38.350348105,38.37232555,26.10914925,26.136000175,56400.0,15,15856.488999999996,None
60,60,10,10,,,38.37232555,38.394302995,26.10914925,26.136000175,144200.0,31,20594.211,None
61,61,11,10,,,38.394302995,38.41628044,26.10914925,26.136000175,66400.0,15,26084.533000000018,None
62,62,12,10,,,38.41628044,38.438257885,26.10914925,26.136000175,4800.0,1,10388.267000000014,None
63,63,14,10,,,38.46023533,38.482212775,26.10914925,26.136000175,102000.0,21,15804.028999999991,None
64,64,15,10,,,38.482212775,38.50419022,26.10914925,26.136000175,45600.0,9,8866.534,None
65,65,6,11,,,38.28441577,38.306393215,26.136000175,26.1628511,6600.0,2,4397.400000000001,None
66,66,7,11,,,38.306393215,38.32837066,26.136000175,26.1628511,61200.0,15,18451.528,None
67,67,8,11,,,38.32837066,38.350348105,26.136000175,26.1628511,107000.0,26,18873.864,None
68,68,9,11,,,38.350348105,38.37232555,26.136000175,26.1628511,155200.0,33,4059.003,None
69,69,10,11,,,38.37232555,38.394302995,26.136000175,26.1628511,16200.0,3,3260.807,None
70,70,11,11,,,38.394302995,38.41628044,26.136000175,26.1628511,22800.0,4,546.232,None
